"Ign","Team","Multikills"
"Kakarot","NAOS Esports",25
"Lightningfast","Global Esports",25
"GwangUh","Tartarus (ex)",25
"Knight","Pentagon",25
"zunba","On Sla2ers (si)",25
"Tuli","9z Team (si)",25
"SamuraiDeeper","Crest Gaming ZST (ex)",25
"bdog","Shopify Rebellion",25
"DEATHMAKER","Velocity Gaming",25
"Suka","Fancy United Esports (ex)",25
"Jemkin","BLUE BEES.ESP (ex)",25
"Pro","South Built Esports (ex)",25
"sheydos","Gambit Esports (ex)",25
"Vibhor","Velocity Gaming (ex)",25
"Addicted","Sharks Esports (ex)",24
"hyouka","Reignite",24
"Harry","Brimstone (si)",24
"Suggest","DetonatioN Gaming White (ex)",24
"frz","Sharks Esports (ex)",24
"sakurai","Hexad (ex)",24
"shelbyN","EBRO Gaming (ex)",24
"Unnsto","EBRO Gaming (ex)",24
"2GE","Rex Regum Qeon",24
"Envy","FENNEL (ex)",24
"GOLD","Desperado (si)",24
"SoGaTe","Tartarus (ex)",24
"Akame","Jadeite",24
"skrawl","Bonkers(OCE) (ex)",24
"SkRossi","Global Esports",24
"Halbae","World Game Star (ex)",23
"NeruFi","Crest Gaming ZST",23
"Luna","IXA",23
"GodDead","On Sla2ers (si)",22
"Dszera","Team Vikings (ex)",22
"SungJin","CNJ Esports (ex)",22
"Dhimorutoo","Reignite (ex)",22
"Den2","Spear Gaming (ex)",22
"jotinha","SunXet Club (ex)",22
"SEIDER","FunPlus Phoenix (si)",22
"Felix","Brimstone (si)",22
"NoMan","Oblivion Force (ex)",22
"KuuKai","Crest Gaming ZST (ex)",22
"Shuzz","SCARZ (ex)",22
"ParkJJong","Team GP (ex)",21
"Art","Sengoku Gaming (ex)",21
"GangPin","Sengoku Gaming (ex)",21
"Brofeld","Hexad (ex)",21
"Bazzi","On Sla2ers (si)",21
"WKN","Meta Gaming (ex)",21
"hellff","Velocity Gaming",21
"jEEE","NAOS Esports",21
"tinggg2k5","CERBERUS Esports",21
"k1Ng","On Sla2ers (si)",21
"Teerapong","FW Esports",21
"kvzx","NAOS Esports",20
"d3ffo","Gambit Esports (ex)",20
"Derialy","FENNEL (ex)",20
"Eliza","GoNGo Prince (ex)",20
"CyderX","SuperMassive (ex)",20
"Pay","Veronica7 (ex)",20
"alyaL","CERBERUS Esports (ex)",20
"Sk9Na","Team GP (ex)",20
"ClarK","World Game Star (ex)",20
"Pooky","CNJ Esports (ex)",20
"flainzz","Stars Horizon",20
"Vera","No Namers (ex)",20
"Flax","Hexad (ex)",19
"Has1ra14","Maru Gaming (ex)",19
"Shun","No Namers (ex)",19
"hsk","DetonatioN Gaming White",19
"TS","On Sla2ers (si)",19
"ZmjjKK","EDward Gaming",19
"skillZ","Global Esports",19
"TORANECO","Hexad (ex)",19
"blurred","NAOS Esports",19
"dzii","Gaimin Gladiators (ex)",19
"TENSAI","FENNEL (ex)",19
"SeolHo","Spear Gaming (ex)",18
"RgLMeister","Keyd Stars (si)",18
"nephh","Gaimin Gladiators (ex)",18
"ryota-","SCARZ (ex)",18
"artn","Gaimin Gladiators (ex)",18
