"Ign","Team","Defusals"
"JUGi","FOKUS","5"
"Holbreak","EBRO Gaming (ex)","5"
"XiSTOU","SuperMassive (ex)","5"
"Xander","FUSION","5"
"Minimise","Bonkers(OCE) (ex)","5"
"skuba","Knights (ex)","5"
"Zander","Version1 (Inactive) (ex)","5"
"DaeGi","Tartarus (ex)","5"
"HaReeee","REJECT (ex)","5"
"Rainy","Griffin E-Sports","5"
"f1cio","Fancy United Esports","5"
"CyderX","SuperMassive (ex)","5"
"Art","Sengoku Gaming (ex)","5"
"mnz","IXA","5"
"olzerr","PAMPAS (ex)","5"
"Boo","LDN UTD (ex)","5"
"SkRossi","Global Esports","4"
"TiGG","Shopify Rebellion (ex)","4"
"supamen","Rise (ex)","4"
"zombs","Sentinels (ex)","4"
"neptune","Rise (ex)","4"
"rDeeW","Bonkers(OCE) (ex)","4"
"thiefy","Sengoku Gaming (ex)","4"
"Bonecold","Acend (ex)","4"
"Moothie","CNJ Esports (ex)","4"
"AslaN","BIG (ex)","4"
"corey","TSM (ex)","4"
"Bazzi","On Sla2ers (si)","4"
"WRONSKI","ORDER (ex)","4"
"hyouka","Reignite","4"
"ryota-","SCARZ (ex)","4"
"C1nder","SCARZ (ex)","4"
"disk0","ORDER (ex)","4"
"GodDead","On Sla2ers (si)","4"
"Fung3","Griffin E-Sports","4"
"Glovee","SuperMassive (ex)","4"
"Flynch","Persija Esports (ex)","4"
"bnj","9z Team (si)","4"
"ChAlalala","FULL SENSE (ex)","4"
"Fross","SunXet Club","4"
"RoaN","SunXet Club (ex)","4"
"BRNWOWZK1","INGAMING Esports (ex)","4"
"eKo","Reignite (ex)","4"
"Yacine","Guild Esports","4"
"Famouz","Persija Esports (ex)","4"
"ringring","CNJ Esports","4"
"jotinha","SunXet Club (ex)","4"
"dgzin","FURIA","4"
"Shun","No Namers (ex)","4"
"GwangUh","Tartarus (ex)","4"
"Vibhor","Velocity Gaming (ex)","4"
"deLb","Alter Ego","4"
"Dszera","Team Vikings (ex)","4"
"flainzz","INGAMING Esports (ex)","4"
"jzz","MIBR","4"
"flippy","South Built Esports (ex)","4"
"NAOS JA","South Built Esports (ex)","4"
"blurred","NAOS Esports","4"
"KuuKai","Crest Gaming ZST (ex)","4"
"Maple","ORDER (ex)","4"
"GOLD","Desperado (ex)","4"
"hypathor","Oblivion Force","4"
"SID","VPZ","4"
"SoGaTe","Team GP (ex)","4"
"SoGaTe","Tartarus (ex)","4"
"RHZ","Keyd Stars (si)","3"
"KILLDREAMST","Sharks Esports (ex)","3"
"LEXY","Bleed Esports (ex)","3"
"YRSelect","Griffin E-Sports (si)","3"
"Dcop","FUSION","3"
"Has1ra14","Maru Gaming (ex)","3"
"Sơn KeKe","Fancy United Esports (ex)","3"
"Redgar","Gambit Esports (ex)","3"
"Pro","South Built Esports (ex)","3"
"azys","South Built Esports (ex)","3"
"kobra","Sengoku Gaming (ex)","3"
"Kaminari","Hexad (ex)","3"
"RIA","ややーず (ex)","3"
"TenzouEz","DeToNator (ex)","3"
"Vera","No Namers (ex)","3"
"d3ffo","Gambit Esports (ex)","3"
"sheydos","Gambit Esports (ex)","3"
"Redneval","CERBERUS Esports (ex)","3"
"yoman","Next eSports (ex)","3"
"nAts","Gambit Esports (ex)","3"
"Fantasy","Team T5","3"
"Anker","Jadeite (ex)","3"
"Chronicle","Gambit Esports (ex)","3"
"frz","Sharks Esports (ex)","3"
"Rabbet","Rex Regum Qeon","3"
"Ethan","100 Thieves (ex)","3"
"prozin","Sharks Esports","3"
"Moose","Shopify Rebellion","3"
"flainzz","Stars Horizon","3"
"koalanoob","Ghost Gaming (ex)","3"
"Envy","FENNEL (ex)","3"
"shelbyN","EBRO Gaming (ex)","3"
"rDeeW","ORDER (ex)","3"
"Izzy","SuperMassive","3"
"Kanpeki","Sentinels (ex)","3"
"柳ヶ瀬鈴乃","IXA (ex)","3"
"Vici","Sengoku Gaming","3"
"TS","On Sla2ers (si)","3"
"zunba","On Sla2ers (si)","3"
"Eugene","DAMWON Gaming","3"
"tinggg2k5","CERBERUS Esports","3"
"Apoth","Evil Geniuses","3"
"Kaspe","BIG (ex)","3"
"seven","TSM (ex)","3"
"artzin","Stars Horizon (ex)","3"
"wyz","FUSION","3"
"YaBoiDre","Evil Geniuses (ex)","3"
"WKN","Meta Gaming (ex)","3"
"david","PAMPAS (ex)","3"
"Dobsha","E-Xolos LAZER (ex)","3"
"bdog","Shopify Rebellion","3"
"Felix","Brimstone (si)","3"
"M4sh","EVA:e (ex)","3"
"Pooky","CNJ Esports (ex)","3"
"hellff","Velocity Gaming","3"
"Lawrence","GoNGo Prince","3"
"HellrangeR","Global Esports","3"
"MatiS","EBRO Gaming (ex)","3"
"ParkJJong","Team GP (ex)","3"
"Luna","IXA","3"
"leonzhett","PAMPAS (ex)","3"
"EROC","EVA:e (ex)","3"
"Anthem","SCARZ (ex)","3"
"DDcream","Pentagon","3"
"something","BLUE BEES.ESP (ex)","3"
"something","Sengoku Gaming","3"
"Tuli","Movistar Optix (ex)","3"
"cNed","Acend (ex)","3"
"Brave","SuperMassive (ex)","3"
"k1Ng","On Sla2ers (si)","3"
"diewijAs","PAMPAS (ex)","2"
"luckeRRR","BIG (ex)","2"
"Haodong","EDward Gaming","2"
"luckeRRR","BIG (ex)","2"
"10X","Brimstone (si)","2"
"Destrian","LDN UTD (ex)","2"
"v1xen","Ninjas in Pyjamas (si)","2"
"Ijin","Storks Phalanx (ex)","2"
"pollo","Team Vikings (ex)","2"
"こころん","looking for a name","2"
"FREY","Gaimin Gladiators (ex)","2"
"TENSAI","FENNEL (ex)","2"
"raafa","Liberty (ex)","2"
"RgLMeister","Keyd Stars (si)","2"
