"Player Id","Ign","Team"
4479,"1rc","Cursed Ascension"
24669,"1R connie","1Rule"
24666,"1R dest","1Rule"
24667,"1R Doze","1Rule"
463,"1rosha","Poison"
20140,"1RWND","Playwell"
5193,"1saakix","le panes"
5336,"1Samael","CosVer Gaming"
17453,"1SickButton","Fearless Female"
22961,"1ssues","Enraged Mob"
5232,"1stDiablo","Atomic México"
8680,"1Steufmehl","FieryWall Gaming"
5236,"1stFurious","Atomic México"
11738,"1Tap","ATREUS"
14382,"1TaPGoD","Revenant Esports"
16186,"1Texi","Deez Nuts"
26033,"1Toasty","UA Crimson"
10814,"1uke","KuCyJIbKu"
1300,"1ukey","McTeam"
14321,"1uv0104","枝崽粉丝团"
1911,"1van",""
9353,"1WNS","Ath esport"
30029,"2004","No ORG F"
21544,"200iq","Most Wanted"
8590,"20fps","ThiccWRECK"
31002,"20s KajuX","TwentyStars"
22858,"20skid","Dark Circle"
30493,"20s Mic","TwentyStars"
30492,"20s yelloww","TwentyStars"
29814,"211","Ghetto Artist"
12356,"21bom","Team Name EU"
26527,"22K liu","22K's"
26526,"22K Milk","22K's"
26528,"22K Nyx","Genesis Gaming FEM"
22137,"22tRickz","Masquerade"
22825,"당근마켓사기경력23회","miracle victory"
24061,"23r3n4","FLAWLESS BR"
21318,"244","Coinflip"
24124,"24z","Dookie Doo Esports"
30983,"250kmh peek","Ensemble Floles"
2451,"2525Hunter	","SunSister Dive"
8987,"2766","Sunsparks"
7876,"28cm","GreyFace"
20407,"28iq","KEKW"
8582,"2AM","Amarok Esports"
4111,"2DIAN0","All Gamers"
20701,"2Dms","CrossFogo"
22806,"2eZ 4dibb 桜","Cloud Nein"
3473,"2ez4MPI","Konoha"
27617,"2F Hela","2Faced"
27619,"2F nyla","2Faced"
27618,"2F rue","2Faced"
9124,"2GE","Rex Regum Qeon"
4297,"2h5","Lethal Chaos"
14875,"2Kaim",""
13673,"2kovv","Laudy"
15229,"2kTor",""
15568,"2KY","SchwarzerLand"
32828,"2Limuru","SFTM CLUB"
23194,"2lita",""
23819,"2MxrcH","Request Skin SAGA"
32234,"2pacTyrone","Emacity"
31551,"2pacTyroneSmith","Emacity"
21061,"2Percent","CSGG"
70,"2 Piece",""
31017,"2RA","Alemdar e-Sports"
16370,"2Ral","Ninja Esport"
12929,"2RAL","Team DIE"
13311,"2RUSH","Terra Esports"
15181,"2sisi2kek","ValorantEXEC"
10496,"2Tap","WOLFPACK (HK)"
7553,"2w1ns","XYZ"
27982,"2wavy","Adore Academy"
8800,"2x2",""
675,"2zzy",""
28531,"300 mg caffeine","13Lucky"
17019,"30iq","Proxymine"
19458,"32joints","Toilet Paper"
28410,"3333333333333333","Gfuel abuserz"
30854,"333 jay","Half Evil"
30391,"333LC","UG Seagulls"
7320,"333#ryan","chess on crack"
8068,"345Y",""
10588,"369","aim_botz"
27803,"3715","Lady-Killer"
26739,"39 dayo","TZ Gaming"
17362,"3an","Team Black Fire"
25173,"3bon","AriaSheeP"
25785,"3DWN","REIGN GC"
24643,"3Face","Dominatus Skywolf"
13438,"3laa","Baited"
3362,"3nable",""
21947,"3NZi",""
31783,"3pei太","AIGIS"
16427,"3Poils2Q","Chosen Five"
25548,"3RD Nana","3RD LEVEL"
23648,"3rm1n",""
6212,"3t3v4ld0","ATK PILANTRA"
26394,"3T4R",""
16657,"3vilArt","Very Laze"
30710,"3VN DIOR","3VN"
3997,"3ZRA","M8 Esports"
27094,"401 dmg","Team Poland"
15629,"40pingSterry","SETOUCHI ENLIFE"
32406,"412","Lost Winter"
441,"4193726","Dambis"
19201,"41UK0",""
887,"428Light",""
32705,"47 CheR0Z","TBA"
15081,"49x",""
33225,"4AM aNts","Four Angry Men"
33228,"4AM Bing9z","Four Angry Men"
33227,"4AM Sui","Four Angry Men"
10700,"4armani","Overwatch"
15695,"4cm","No Name (HK)"
5285,"4DR","É PEGADINHA"
7952,"4E7Z","Starlan Gaming Club"
13710,"4EGENCH","Last Chance"
2380,"4FuNNie2k","BlackJack Esports"
30605,"4FUNPLAYER","rich asf"
14952,"4goz","StrongUnion"
21885,"4Gruch","Szach Mat"
20364,"4Head","Winstrike"
16932,"4kxxx",""
12402,"4Magician","Uns Random ae"
3962,"4PACK","Grind City"
198,"4qu1la","Team Q"
21761,"4RL Ariel","4Real Hurricane"
21759,"4RL pixie","4Real Hurricane"
24202,"4ster","Capacity"
22183,"4Tapping","St. Clair Saints Varsity"
13106,"4tlas","RAIN E-SPORTS"
27926,"4tsukii","The Rockinhas"
28016,"4woodanet","Fenerbahçe Esports"
32506,"4zekken","FIRST TIME TO PLAY"
