"Ign","Team","Damage"
"XXiF","Knights (ex)","45316"
"Pepper","IGZIST (ex)","44711"
"mNdS","MIBR (ex)","44166"
"koalanoob","Ghost Gaming (ex)","44107"
"Maple","ORDER (ex)","43426"
"WRONSKI","ORDER (ex)","43385"
"Hyzee","Fancy United Esports (ex)","42996"
"Kishi","CERBERUS Esports (ex)","42749"
"baddyG","FunPlus Phoenix (ex)","42743"
"JohnOlsen","FULL SENSE","41671"
"Fung3","Griffin E-Sports","41623"
"Johnqt","Ghost Gaming (ex)","41496"
"BandiCoot","E-Xolos LAZER","41173"
"D1E","Movistar Optix","40772"
"curry","Cloud9 (ex)","40677"
"zennakukinn","BLUE BEES.ESP (ex)","40461"
"W1nner","Griffin E-Sports","40405"
"Delend","Made in Thailand (ex)","40309"
"rDeeW","ORDER (ex)","40172"
"Dispenser","Team Secret","40168"
"asteriskk","Persija Esports","39925"
"jfoen","E-Xolos LAZER","39888"
"YRSelect","Griffin E-Sports (si)","39420"
"disk0","ORDER (ex)","39325"
"aproto","Ghost Gaming (ex)","38971"
"rion","Crazy Raccoon","38745"
"brawk","Ghost Gaming (ex)","38626"
"allow","Jadeite (ex)","38585"
"Texta","ORDER (ex)","38444"
"Wenty","Tartarus (ex)","38419"
"roseaufy","Persija Esports","38350"
"JUGi","FOKUS","38275"
"DaeGi","Tartarus (ex)","38106"
"GOLD","Desperado (ex)","38012"
"Dcop","FUSION","37710"
"Rainy","Griffin E-Sports","37201"
"poem","IGZIST","36873"
"akashi","CERBERUS Esports (ex)","36744"
"Jady","Natus Vincere (ex)","36611"
"RIPablo","IGZIST","36504"
"Xandrite","NORTHEPTION (ex)","36237"
"f1cio","Fancy United Esports","36142"
"Lok1","CERBERUS Esports (ex)","36113"
"Fantasy","Team T5","36054"
"Ethan","100 Thieves (ex)","35961"
"neptune","Rise (ex)","35720"
"ANDROID","NRG Esports (ex)","35355"
"MOLSI","LDN UTD (ex)","35072"
"Kr1stal","BLUE BEES.ESP (ex)","34790"
"v1nNy","Gamelanders Blue (ex)","34677"
"YaBoiDre","Evil Geniuses (ex)","34657"
"Derrek","Rise (ex)","34613"
"Xander","FUSION","34254"
"Frosty","Knights (ex)","34072"
"Xdll","BLUE BEES.ESP (ex)","34054"
"XiSTOU","SuperMassive (ex)","33874"
"Izzy","SuperMassive","33859"
"musashi","BIG (ex)","33771"
"KimGyuTae","Desperado","33659"
"Hiko","100 Thieves (ex)","33489"
"wyz","FUSION","33364"
"MatiS","EBRO Gaming (ex)","33277"
"gMd","TSM (ex)","33055"
"gob b","BIG (ex)","33030"
"Foxy9","Reignite (ex)","32984"
"Anker","Jadeite (ex)","32954"
"azys","South Built Esports (ex)","32805"
"NAOS JA","South Built Esports (ex)","32477"
"Fross","SunXet Club","32430"
"feqew","LDN UTD (ex)","32413"
"Jremy","Team Secret","32204"
"Sơn KeKe","Fancy United Esports (ex)","31914"
"Torrify","FUSION (ex)","31720"
"THEE","FULL SENSE","31537"
"david","PAMPAS (ex)","31400"
"bucher","FOKUS (ex)","31352"
"Kanpeki","Sentinels (ex)","31336"
"b3ta","Made in Thailand","31147"
"fenNy","SunXet Club","31026"
"Subroza","TSM (ex)","30829"
"Brave","SuperMassive (ex)","30822"
"rubkkoide","PAMPAS (ex)","30756"
"iluri","FOKUS (ex)","30755"
"YaBoiLewis","FOKUS","30694"
"poised","Rise (ex)","30662"
"LAMMYSNAX","FULL SENSE (ex)","30588"
"Boo","LDN UTD (ex)","30563"
"Retla","Bleed Esports (ex)","30501"
"corey","TSM (ex)","30389"
"vong","FOKUS (ex)","30298"
"Mited","FUSION","30277"
"Zellsis","Sentinels (ex)","30261"
"RgLMeister","INGAMING Esports (ex)","29975"
"Bonecold","Acend (ex)","29557"
"seven","TSM (ex)","29543"
"supamen","Rise (ex)","29536"
"Jady","M3 Champions","29395"
"diewijAs","PAMPAS (ex)","29249"
"bmVz","Fancy United Esports (ex)","29243"
"ParkJJong","Tartarus (ex)","29105"
"SylFy","Jadeite (ex)","29008"
"PTC","FULL SENSE (ex)","28803"
"DOGAO","Movistar Optix","28734"
"raafa","Liberty (ex)","28614"
"Shanks","Rise (ex)","28586"
"pho","Evil Geniuses (ex)","28537"
"ChAlalala","FULL SENSE (ex)","28534"
"Destrian","LDN UTD (ex)","27908"
"rochet","SunXet Club (ex)","27871"
"BRNWOWZK1","INGAMING Esports (ex)","27737"
"LucasVade","Meta Gaming (ex)","27634"
"PapiChulo","South Built Esports (ex)","27587"
"SoGaTe","Tartarus (ex)","27498"
"KILLDREAMST","Sharks Esports (ex)","27437"
"NANZIN","INGAMING Esports (ex)","27340"
"Sushi","EBRO Gaming (ex)","27335"
"NicoMachine","Meta Gaming (ex)","27137"
"Kaspe","BIG (ex)","27076"
"Dreamas","LDN UTD (ex)","26964"
"flippy","South Built Esports (ex)","26750"
"D1E","Meta Gaming (ex)","26570"
"kiles","Acend (ex)","26342"
"Nozz","Bonkers(OCE) (ex)","26319"
"tixx","Bonkers(OCE) (ex)","26085"
"CyderX","SuperMassive (ex)","26085"
"badsitoww","Meta Gaming (ex)","25965"
"Holbreak","EBRO Gaming (ex)","25861"
"leonzhett","PAMPAS (ex)","25802"
"Glovee","SuperMassive (ex)","25793"
"jotinha","SunXet Club (ex)","25711"
"Jemkin","Crest Gaming ZST (ex)","25709"
"Dreamas","Team Liquid (ex)","25521"
"Brinks","Gamelanders Blue (si)","25434"
"gaabxx","Sharks Esports (ex)","25344"
"RoaN","SunXet Club (ex)","25226"
"Rossy","TSM (ex)","25118"
"eKo","Reignite (ex)","25045"
"frz","Sharks Esports (ex)","24964"
