"Ign","Team","Agent","Picks","Matches","Percentage"
"PEPA","Team Vikings (ex)","Astra",5,9,"55.56"
"wyz","FUSION","Viper",5,14,"35.71"
"sheydos","M3 Champions","Breach",5,81,"6.17"
"LEXY","Bleed Esports (ex)","Sage",5,24,"20.83"
"sheydos","M3 Champions (ex)","Breach",5,81,"6.17"
"Shanks","Rise (ex)","Chamber",5,12,"41.67"
"Rain","CNJ Esports","KAY/O",5,18,"27.78"
"SEVERiNE","Onic Esports (ex)","Omen",5,38,"13.16"
"luckeRRR","BIG (ex)","Fade",5,24,"20.83"
"luckeRRR","BIG (ex)","Fade",5,24,"20.83"
"lukzera","TBK Esports","Brimstone",5,38,"13.16"
"SEIDER","FunPlus Phoenix (si)","Viper",5,10,"50.00"
"Secret","Desperado (ex)","Neon",5,21,"23.81"
"Secret","Desperado (ex)","Raze",5,21,"23.81"
"mada","Luminosity Gaming (ex)","Skye",5,33,"15.15"
"pleets","Los Grandes","Sage",5,19,"26.32"
"SamuraiDeeper","Crest Gaming ZST (ex)","Sova",5,9,"55.56"
"Saadhak","LOUD","Sage",5,67,"7.46"
"s0m","NRG Esports","KAY/O",5,39,"12.82"
"mazin","FURIA","Sage",5,49,"10.20"
"mazin","FURIA","Skye",5,49,"10.20"
"s0m","NRG Esports","Omen",5,39,"12.82"
"RyZzi","Desperado (ex)","Jett",5,21,"23.81"
"Medusa","REJECT (ex)","Raze",5,31,"16.13"
"Medusa","REJECT (ex)","Killjoy",5,31,"16.13"
"ryota-","SCARZ (ex)","Sova",5,5,"100.00"
"poised","FaZe Clan","Fade",5,37,"13.51"
"BerserX","BOOM Esports","Chamber",5,45,"11.11"
"rubkkoide","PAMPAS (ex)","KAY/O",5,11,"45.45"
"rubkkoide","PAMPAS (ex)","Breach",5,11,"45.45"
"Quick","FURIA","Killjoy",5,49,"10.20"
"prozin","Sharks Esports","KAY/O",5,9,"55.56"
"Alfajer","FNATIC","Neon",5,45,"11.11"
"Witz","Team Secret (ex)","Chamber",5,24,"20.83"
"C0M","Evil Geniuses","Breach",5,23,"21.74"
"Moves","Maru Gaming (ex)","Fade",5,32,"15.63"
"Moves","Team T5 (ex)","Raze",5,22,"22.73"
"chase","Gamelanders Blue (ex)","Sova",5,24,"20.83"
"Cloud","Natus Vincere (ex)","Skye",5,35,"14.29"
"zunba","On Sla2ers (si)","Astra",5,6,"83.33"
"CLZ","FENNEL","Astra",5,7,"71.43"
"W1nner","Griffin E-Sports","KAY/O",5,16,"31.25"
"crws","XERXIA Esports (ex)","Skye",5,61,"8.20"
"Amaterasu","Velocity Gaming","KAY/O",5,6,"83.33"
"vow","Team T5 (ex)","Killjoy",5,22,"22.73"
"D1E","Movistar Optix","Killjoy",5,14,"35.71"
"d3ffo","M3 Champions (ex)","KAY/O",5,34,"14.71"
"d4v41","Paper Rex","KAY/O",5,61,"8.20"
"mwzera","Keyd Stars (ex)","Skye",5,60,"8.33"
"Vera","No Namers (ex)","Jett",5,5,"100.00"
"Xandrite","NORTHEPTION (ex)","Astra",5,14,"35.71"
"dapr","Sentinels (ex)","Fade",5,38,"13.16"
"dazzLe","Luminosity Gaming (ex)","Skye",5,33,"15.15"
"Dcop","FUSION","Fade",5,14,"35.71"
"Anker","Jadeite (ex)","Sova",5,12,"41.67"
"Delta","Maru Gaming (ex)","KAY/O",5,22,"22.73"
"DeNaro","MIBR (ex)","Sova",5,17,"29.41"
"DeNaro","MIBR (ex)","Fade",5,17,"29.41"
"Anthem","SCARZ (ex)","Jett",5,5,"100.00"
"Dep","ZETA DIVISION","Neon",5,63,"7.94"
"NANZIN","Stars Horizon","Breach",5,8,"62.50"
"mixwell","G2 Esports (Inactive) (ex)","Neon",5,52,"9.62"
"blaZek1ng","BOOM Esports","Brimstone",5,45,"11.11"
"dgzin","FURIA","Jett",5,15,"33.33"
"Akame","Jadeite","Sage",5,8,"62.50"
"dgzin","FURIA","Chamber",5,15,"33.33"
"Apoth","Evil Geniuses","Brimstone",5,23,"21.74"
"nAts","M3 Champions (ex)","Cypher",5,81,"6.17"
"dimasick","Team Liquid","Sova",5,26,"19.23"
"dimasick","Team Liquid","Sage",5,26,"19.23"
"dinkzj","Natus Vincere (ex)","Breach",5,35,"14.29"
"nAts","M3 Champions (ex)","Chamber",5,81,"6.17"
"NcSlasher","Onic Esports (ex)","Brimstone",5,38,"13.16"
"DOGAO","Movistar Optix","Killjoy",5,13,"38.46"
"v1xen","Keyd Stars (ex)","Astra",5,25,"20.00"
"Dszera","Team Vikings (ex)","Sova",5,9,"55.56"
"eeiu","NRG Esports (ex)","Breach",5,39,"12.82"
"Reformed","Evil Geniuses","Skye",5,35,"14.29"
"Eeyore","Persija Esports","Killjoy",5,16,"31.25"
"rite2ace","Velocity Gaming (ex)","Sova",5,6,"83.33"
"EndU","Team GP","Killjoy",5,6,"83.33"
"Art","Sengoku Gaming (ex)","Viper",5,11,"45.45"
"artn","Gaimin Gladiators (ex)","Omen",5,6,"83.33"
"Ethan","100 Thieves (ex)","Skye",5,13,"38.46"
"trexx","Guild Esports","Jett",5,54,"9.26"
"trexx","Guild Esports","Sova",5,54,"9.26"
"Famouz","BOOM Esports (ex)","Raze",5,18,"27.78"
"Famouz","BOOM Esports (ex)","Sova",5,18,"27.78"
"Felix","HolyMolly (ex)","Breach",5,26,"19.23"
"Feniz","E-Xolos LAZER","Raze",5,16,"31.25"
"ableJ","FURIA (ex)","Breach",5,34,"14.71"
"Torrify","FUSION (ex)","Raze",5,12,"41.67"
"Zander","Version1 (Inactive) (ex)","Viper",5,21,"23.81"
"feqew","OG LDN UTD (ex)","Jett",5,21,"23.81"
"tixx","Bonkers(OCE) (ex)","Brimstone",5,8,"62.50"
"flainzz","INGAMING Esports (ex)","Cypher",5,9,"55.56"
"NicoMachine","Meta Gaming (ex)","Jett",5,10,"50.00"
"tinggg2k5","CERBERUS Esports","Raze",5,7,"71.43"
"Flax","Hexad (ex)","Sova",5,6,"83.33"
"Mistic","FNATIC (ex)","Omen",5,69,"7.25"
"thiefy","Sengoku Gaming (ex)","Killjoy",5,7,"71.43"
"THEE","FULL SENSE","Chamber",5,11,"45.45"
"Nivera","Team Liquid (ex)","Breach",5,75,"6.67"
"AsLanM4shadoW","BBL Esports","Chamber",5,26,"19.23"
"YRSelect","Griffin E-Sports (si)","Viper",5,16,"31.25"
"frostmind","BOOM Esports (ex)","Cypher",5,27,"18.52"
"Astell","Crazy Raccoon","Breach",5,40,"12.50"
"NoriseN","REJECT (ex)","Breach",5,21,"23.81"
"Astell","Crazy Raccoon","Astra",5,40,"12.50"
"YESicaN","Fancy United Esports","Skye",5,17,"29.41"
"NoriseN","REJECT (ex)","Skye",5,21,"23.81"
"Asuna","100 Thieves","Sage",5,55,"9.09"
"Asuna","100 Thieves","Jett",5,55,"9.09"
"gustt1nha","Los Grandes (ex)","KAY/O",5,19,"26.32"
"GwangUh","Tartarus (ex)","Breach",5,14,"35.71"
"HANLING","9z Team (ex)","Jett",5,32,"15.63"
"Nozwerr","FURIA (ex)","Fade",5,49,"10.20"
"Sylvan","World Game Star","Brimstone",5,59,"8.47"
"Nozz","Bonkers(OCE) (ex)","Raze",5,8,"62.50"
"axeLuvY","Alter Ego (ex)","Omen",5,22,"22.73"
"Has1ra14","CNJ Esports","Sova",5,18,"27.78"
"Has1ra14","CNJ Esports","Sage",5,18,"27.78"
"SylFy","Jadeite (ex)","Viper",5,12,"41.67"
"Has1ra14","CNJ Esports","Fade",5,18,"27.78"
"Hiko","100 Thieves (ex)","Sova",5,13,"38.46"
"AcMe","Veronica7","Astra",5,5,"100.00"
"Nyang","Gamelanders Blue","Omen",5,24,"20.83"
"Xdll","BLUE BEES.ESP (ex)","Fade",5,13,"38.46"
"iNTRO","DAMWON Gaming (si)","Omen",5,22,"22.73"
"SungJin","Spear Gaming (ex)","Brimstone",5,23,"21.74"
"Jamppi","Team Liquid","Sova",5,75,"6.67"
"oitaN","IGZIST","Killjoy",5,19,"26.32"
"Bonecold","Acend (ex)","Sova",5,13,"38.46"
"Jemkin","BLUE BEES.ESP (ex)","Raze",5,6,"83.33"
"rDeeW","Bonkers(OCE) (ex)","Chamber",5,8,"62.50"
"Jemkin","Crest Gaming ZST (ex)","Jett",5,7,"71.43"
"Subroza","TSM (ex)","Skye",5,10,"50.00"
"Jeong Hi","Maru Gaming (ex)","Astra",5,32,"15.63"
"akashi","CERBERUS Esports (ex)","Fade",5,15,"33.33"
"ringring","CNJ Esports","Sova",5,6,"83.33"
"jfoen","E-Xolos LAZER","KAY/O",5,16,"31.25"
"JinboongE","Brimstone (ex)","KAY/O",5,7,"71.43"
"Johnqt","Ghost Gaming (ex)","Sage",5,15,"33.33"
"stellar","100 Thieves","Killjoy",5,42,"11.90"
"JonahP","The Guard","Omen",5,55,"9.09"
"JoXJo","NORTHEPTION (ex)","KAY/O",5,40,"12.50"
"BabyJ","100 Thieves (ex)","Cypher",5,5,"100.00"
"Starxo","Acend","Neon",5,37,"13.51"
"MOLSI","LDN UTD (ex)","Sova",5,12,"41.67"
"jzz","MIBR","Neon",5,17,"29.41"
"Starxo","Acend","Skye",5,37,"13.51"
"Starxo","Acend","Omen",5,37,"13.51"
"Starxo","Acend","Sage",5,37,"13.51"
"xnfri","NORTHEPTION (ex)","Sova",5,40,"12.50"
"Kadoom","Made in Thailand","Raze",5,28,"17.86"
"Kadoom","Made in Thailand","Neon",5,28,"17.86"
"Kanpeki","Sentinels (ex)","KAY/O",5,11,"45.45"
"keloqz","G2 Esports (Inactive) (ex)","Jett",5,5,"100.00"
"Rb","DRX","Killjoy",5,91,"5.49"
"SoGaTe","Team GP (ex)","Astra",5,6,"83.33"
"SoGaTe","Tartarus (ex)","Omen",5,14,"35.71"
"BandiCoot","E-Xolos LAZER","Brimstone",5,16,"31.25"
"Khalil","FURIA","Killjoy",5,49,"10.20"
"BandiCoot","E-Xolos LAZER","Omen",5,16,"31.25"
"SoGaTe","Tartarus (ex)","Brimstone",5,14,"35.71"
"pAura","BBL Esports (ex)","Breach",5,22,"22.73"
"KILLDREAMST","Sharks Esports (ex)","Viper",5,9,"55.56"
"Tio","Movistar Optix","Brimstone",4,27,"14.81"
"fl1pzjder","BOOM Esports (ex)","Skye",4,45,"8.89"
"Fisker","FAV gaming (ex)","Reyna",4,23,"17.39"
"Yun","Pentagon","Skye",4,5,"80.00"
"Nexi","Rex Regum Qeon (ex)","Chamber",4,8,"50.00"
"RIPablo","IGZIST","Omen",4,19,"21.05"
"xand","Ninjas in Pyjamas (ex)","Killjoy",4,66,"6.06"
"sushiboys","XERXIA Esports (ex)","Raze",4,61,"6.56"
"Felix","HolyMolly (ex)","Omen",4,26,"15.38"
"Felix","HolyMolly (ex)","Sage",4,26,"15.38"
"Kant","VPZ (ex)","Reyna",4,4,"100.00"
"neth","Crazy Raccoon","KAY/O",4,40,"10.00"
"hyouka","Reignite","Viper",4,10,"40.00"
"Felix","Brimstone (si)","Sova",4,7,"57.14"
"hypathor","Oblivion Force","Sova",4,4,"100.00"
"neth","Crazy Raccoon","Sage",4,40,"10.00"
"Famouz","BOOM Esports (ex)","Chamber",4,18,"22.22"
"Famouz","BOOM Esports (ex)","KAY/O",4,18,"22.22"
"supamen","Rise (ex)","Astra",4,12,"33.33"
"Exy","DAMWON Gaming","Skye",4,58,"6.90"
"Zander","Version1 (Inactive) (ex)","Brimstone",4,21,"19.05"
"Nyang","Gamelanders Blue","Sage",4,24,"16.67"
"Exy","DAMWON Gaming","Sage",4,58,"6.90"
"lenne","Bleed Esports (ex)","Fade",4,37,"10.81"
"Exy","DAMWON Gaming","Breach",4,58,"6.90"
"neth","Crazy Raccoon","Raze",4,40,"10.00"
"Art","Sengoku Gaming (ex)","Astra",4,11,"36.36"
"zeek","Acend (ex)","Omen",4,28,"14.29"
"Eliza","GoNGo Prince (ex)","Astra",4,7,"57.14"
"Twisten","BIG (ex)","Cypher",4,25,"16.00"
"ec1s","100 Thieves (ex)","Astra",4,5,"80.00"
"dzii","Gaimin Gladiators (ex)","Jett",4,6,"66.67"
"bezn1","Ninjas in Pyjamas (ex)","Omen",4,66,"6.06"
"DubsteP","Team Secret","KAY/O",4,27,"14.81"
"blurred","NAOS Esports","Jett",4,6,"66.67"
"MONSTEERR","Acend (ex)","Cypher",4,24,"16.67"
"Obnoks","BIG (ex)","Sage",4,25,"16.00"
"iNTRO","DAMWON Gaming (si)","Breach",4,22,"18.18"
"iNTRO","DAMWON Gaming (si)","Killjoy",4,22,"18.18"
"10X","HolyMolly (ex)","Raze",4,26,"15.38"
"SungJin","Spear Gaming (ex)","Chamber",4,23,"17.39"
"shion","Liberty (ex)","Breach",4,20,"20.00"
"SungJin","Spear Gaming (ex)","KAY/O",4,23,"17.39"
"blaZek1ng","BOOM Esports","Fade",4,45,"8.89"
"v1xen","Keyd Stars (ex)","Omen",4,25,"16.00"
"NcSlasher","Onic Esports (ex)","Skye",4,38,"10.53"
"v1xen","Ninjas in Pyjamas (ex)","Brimstone",4,24,"16.67"
"Dobsha","E-Xolos LAZER (ex)","Raze",4,7,"57.14"
"aproto","Ghost Gaming (ex)","Astra",4,15,"26.67"
"blaZek1ng","BOOM Esports","Skye",4,45,"8.89"
"shion","Liberty (ex)","KAY/O",4,20,"20.00"
"disk0","ORDER (ex)","Raze",4,16,"25.00"
"nAts","M3 Champions (ex)","Chamber",4,81,"4.94"
"vaiZ","Leviatán (ex)","Viper",4,35,"11.43"
"Jady","M3 Champions","Skye",4,12,"33.33"
"vaiZ","Leviatán (ex)","Chamber",4,35,"11.43"
"Obnoks","BIG (ex)","Chamber",4,25,"16.00"
"vakk","Acend","Breach",4,24,"16.67"
"diewijAs","PAMPAS (ex)","Killjoy",4,11,"36.36"
"Shiro","Onic Esports (ex)","Breach",4,38,"10.53"
"Redgar","M3 Champions (ex)","Breach",4,81,"4.94"
"dicey","FaZe Clan","Sage",4,37,"10.81"
"Apoth","Evil Geniuses","Astra",4,23,"17.39"
"Jamppi","Team Liquid","Skye",4,75,"5.33"
"Reformed","Evil Geniuses","Fade",4,35,"11.43"
"NAOS JA","South Built Esports (ex)","Jett",4,11,"36.36"
"Derrek","100 Thieves","Sage",4,42,"9.52"
"Derialy","NORTHEPTION","Neon",4,26,"15.38"
"Derialy","NORTHEPTION","Sage",4,26,"15.38"
"XXiF","Knights (ex)","Raze",4,17,"23.53"
"vakk","Acend","Skye",4,24,"16.67"
"Lakia","IGZIST (ex)","Raze",4,19,"21.05"
"oitaN","IGZIST","Viper",4,19,"21.05"
"vakk","Acend","Fade",4,24,"16.67"
"rDeeW","ORDER (ex)","Chamber",4,16,"25.00"
"NakJi","Maru Gaming (ex)","Sage",4,58,"6.90"
"jcStani","100 Thieves (ex)","Astra",4,8,"50.00"
"zombs","Sentinels (ex)","Omen",4,19,"21.05"
"DeNaro","MIBR (ex)","Breach",4,17,"23.53"
"Delz1k","KRÜ Esports (ex)","Sova",4,73,"5.48"
"Rb","DRX","Sage",4,91,"4.40"
"Sơn KeKe","Fancy United Esports (ex)","Astra",4,12,"33.33"
"L1NK","Team Liquid (ex)","Brimstone",4,38,"10.53"
"deLb","Alter Ego","Jett",4,22,"18.18"
"ParkJJong","Team GP (ex)","Skye",4,6,"66.67"
"SoGaTe","Tartarus (ex)","Viper",4,14,"28.57"
"b3ta","Made in Thailand","Brimstone",4,11,"36.36"
"NagZ","KRÜ Esports","Killjoy",4,73,"5.48"
"Jeong Hi","DAMWON Gaming (ex)","KAY/O",4,27,"14.81"
"Anker","Jadeite (ex)","Breach",4,12,"33.33"
"myssen","Liberty","Viper",4,20,"20.00"
"david","PAMPAS (ex)","Jett",4,11,"36.36"
"shroud","Sentinels","Viper",4,8,"50.00"
"Daveeys","E-Xolos LAZER (ex)","Raze",4,16,"25.00"
"vanity","Cloud9","Brimstone",4,47,"8.51"
"dapr","Sentinels (ex)","Sage",4,38,"10.53"
"Reita","REJECT (ex)","Viper",4,31,"12.90"
"kvzx","NAOS Esports","Sova",4,6,"66.67"
"ZmjjKK","EDward Gaming","Chamber",4,5,"80.00"
"pAura","BBL Esports (ex)","Sage",4,22,"18.18"
"Kush","Alter Ego","KAY/O",4,22,"18.18"
"Vibhor","Velocity Gaming (ex)","Omen",4,6,"66.67"
"Reita","REJECT (ex)","Chamber",4,31,"12.90"
"D1E","Meta Gaming (ex)","Chamber",4,10,"40.00"
"ANGE1","FunPlus Phoenix (ex)","Breach",4,85,"4.71"
"B4nnba","Pentagon","Chamber",4,5,"80.00"
"SicK","Sentinels (ex)","Astra",4,24,"16.67"
"JinboongE","HolyMolly (ex)","Breach",4,26,"15.38"
"BlackWiz","NORTHEPTION","Brimstone",4,40,"10.00"
"STYRON","Gaimin Gladiators (ex)","Sova",4,6,"66.67"
"mittiii","FENNEL (ex)","Raze",4,7,"57.14"
"curry","Cloud9 (ex)","Fade",4,17,"23.53"
"curry","Cloud9 (ex)","Viper",4,17,"23.53"
"W1nner","Griffin E-Sports","Breach",4,16,"25.00"
"crashies","OpTic Gaming (ex)","Viper",4,111,"3.60"
"Wavy","CNJ Esports","Raze",4,24,"16.67"
"Munchkin","Crazy Raccoon (ex)","Reyna",4,26,"15.38"
"stellar","100 Thieves","KAY/O",4,42,"9.52"
"Wavy","CNJ Esports","Skye",4,24,"16.67"
"Retla","Bleed Esports (ex)","Skye",4,10,"40.00"
"BABYBAY","FaZe Clan","Chamber",4,37,"10.81"
"Chronicle","M3 Champions (ex)","Killjoy",4,81,"4.94"
"Chronicle","M3 Champions (ex)","Killjoy",4,81,"4.94"
"kiles","Acend (ex)","Killjoy",4,13,"30.77"
"Rainy","Griffin E-Sports","Sova",4,16,"25.00"
"REV1","Pentagon","Jett",4,5,"80.00"
"Rb","DRX","Chamber",4,91,"4.40"
"Mited","FUSION","Sova",4,14,"28.57"
"chase","Gamelanders Blue (ex)","Raze",4,24,"16.67"
"wippie","Version1 (Inactive) (ex)","Sage",4,21,"19.05"
"wippie","Version1 (Inactive) (ex)","Chamber",4,21,"19.05"
"C1nder","SCARZ (ex)","Killjoy",4,5,"80.00"
"RHZ","Keyd Stars (ex)","Skye",4,29,"13.79"
"bucher","FOKUS (ex)","Viper",4,12,"33.33"
"WIX","Maru Gaming (ex)","Skye",4,58,"6.90"
"10X","HolyMolly (ex)","Sova",4,26,"15.38"
"JonahP","The Guard","Chamber",4,55,"7.27"
"braveaf","FNATIC (ex)","Sage",4,20,"20.00"
"Zerost","BLUE BEES.ESP (ex)","Killjoy",4,7,"57.14"
"pr0xy","Spear Gaming (ex)","Astra",4,30,"13.33"
"BP","Veronica7","Breach",4,5,"80.00"
"pyth","Bleed Esports (ex)","Cypher",4,37,"10.81"
"RgLMeister","Keyd Stars (si)","Omen",4,6,"66.67"
"Moose","Luminosity Gaming (ex)","Sage",4,33,"12.12"
"Moose","Luminosity Gaming (ex)","Brimstone",4,33,"12.12"
"BORKUM","Team Secret","Brimstone",4,27,"14.81"
"pyth","Bleed Esports (ex)","Chamber",4,37,"10.81"
"Rossy","TSM (ex)","Sova",4,10,"40.00"
"bezn1","Ninjas in Pyjamas (ex)","Breach",4,66,"6.06"
"Kr1stal","BLUE BEES.ESP (ex)","Sage",4,13,"30.77"
"Minimise","Bonkers(OCE) (ex)","Skye",4,8,"50.00"
"Meteor","NORTHEPTION (ex)","Neon",4,40,"10.00"
"Moose","Luminosity Gaming (ex)","Killjoy",4,33,"12.12"
"Russ","Guild Esports (ex)","Viper",4,47,"8.51"
"Meiy","Crazy Raccoon","Reyna",4,40,"10.00"
"BerserX","BOOM Esports","Raze",4,45,"8.89"
"kon4n","TBK Esports (ex)","Sage",4,38,"10.53"
"adverso","Leviatán (ex)","Sage",4,71,"5.63"
"ryotzz","TBK Esports","Breach",4,38,"10.53"
"Zest","DRX","Brimstone",4,91,"4.40"
"ryotzz","TBK Esports","KAY/O",4,38,"10.53"
"poised","FaZe Clan","Skye",4,37,"10.81"
"Medusa","REJECT (ex)","Viper",4,31,"12.90"
"Benkai","Paper Rex","Sage",4,61,"6.56"
"jzz","MIBR","Chamber",4,17,"23.53"
"pAura","BBL Esports (ex)","Cypher",4,22,"18.18"
"Starxo","Acend","Astra",4,37,"10.81"
"baddyG","FunPlus Phoenix (ex)","Omen",4,16,"25.00"
"MOLSI","OG LDN UTD (ex)","Sova",4,21,"19.05"
"Maverick","Stars Horizon (ex)","Brimstone",4,8,"50.00"
"bang","100 Thieves","Breach",4,50,"8.00"
"Rainy","Griffin E-Sports","KAY/O",4,16,"25.00"
"Benecia","CNJ Esports","Astra",4,24,"16.67"
"Saadhak","LOUD","Chamber",4,67,"5.97"
"marin","SCARZ (ex)","Astra",4,5,"80.00"
"Maple","ORDER (ex)","Sova",4,16,"25.00"
"ParkJJong","Tartarus (ex)","Breach",4,14,"28.57"
"Sayf","Guild Esports (ex)","Killjoy",4,54,"7.41"
"bdog","Shopify Rebellion","Chamber",4,4,"100.00"
"Secret","Desperado (ex)","KAY/O",4,21,"19.05"
"QutionerX","BBL Esports","Neon",4,26,"15.38"
"mitch","Cloud9 (ex)","Cypher",4,47,"8.51"
"lukzera","TBK Esports","Viper",4,38,"10.53"
"KILLDREAMST","Sharks Esports (ex)","Astra",4,9,"44.44"
"SeolHo","Spear Gaming (ex)","Astra",4,7,"57.14"
"Bazzi","On Sla2ers (si)","Jett",4,6,"66.67"
"Klaus","KRÜ Esports","Fade",4,73,"5.48"
"pho","Evil Geniuses (ex)","Sova",4,12,"33.33"
"ParkJJong","Tartarus (ex)","Sova",4,14,"28.57"
"Monyet","Onic Esports (ex)","Raze",4,38,"10.53"
"badsitoww","Meta Gaming (ex)","Jett",4,10,"40.00"
"LOB","FAV gaming","Sova",4,23,"17.39"
"Phantom","FAV gaming","Viper",4,23,"17.39"
"zombs","Sentinels (ex)","Viper",4,19,"21.05"
"Shao","FunPlus Phoenix (ex)","Jett",4,95,"4.21"
"SylFy","Jadeite (ex)","Astra",4,12,"33.33"
"Harry","Brimstone (si)","Chamber",4,7,"57.14"
"Redgar","M3 Champions","Breach",4,81,"4.94"
"soulcas","Team Liquid","KAY/O",4,75,"5.33"
"Lightningfast","Global Esports","Raze",4,5,"80.00"
"aimDLL","BBL Esports","Brimstone",4,26,"15.38"
"Klaus","KRÜ Esports","KAY/O",4,73,"5.48"
"leonzhett","PAMPAS (ex)","Fade",4,11,"36.36"
"Boaster","FNATIC","Sage",4,69,"5.80"
"Yacine","Guild Esports","Raze",4,7,"57.14"
"HANN","World Game Star","Raze",4,56,"7.14"
"SyouTa","Crest Gaming ZST (ex)","Viper",4,9,"44.44"
"T3xture","DAMWON Gaming (ex)","Chamber",4,56,"7.14"
"Tacolilla","Leviatán","Skye",4,71,"5.63"
"GwangUh","Maru Gaming (ex)","Viper",4,26,"15.38"
"gtnziN","MIBR (ex)","Sage",4,17,"23.53"
"mNdS","MIBR (ex)","Brimstone",4,17,"23.53"
"Nozwerr","FURIA (ex)","Killjoy",4,49,"8.16"
"Boaster","FNATIC","Breach",4,69,"5.80"
"Haxball","VPZ","Astra",4,4,"100.00"
"noxxy","Alter Ego (si)","Skye",4,22,"18.18"
"gMd","TSM (ex)","Astra",4,10,"40.00"
"bnj","Ninjas in Pyjamas (ex)","Brimstone",4,34,"11.76"
"YESicaN","Fancy United Esports","Viper",4,17,"23.53"
"Glovee","SuperMassive (ex)","Viper",4,11,"36.36"
"mNdS","MIBR (ex)","Viper",4,17,"23.53"
"Astell","Crazy Raccoon","KAY/O",4,40,"10.00"
"gio","Movistar Optix","Breach",4,27,"14.81"
"SUTHER","9z Team (ex)","Chamber",4,32,"12.50"
"NoriseN","REJECT (ex)","Sova",4,21,"19.05"
"AYRIN","XSET (ex)","Sage",4,66,"6.06"
"NoMan","Oblivion Force (ex)","Jett",4,4,"100.00"
"HellrangeR","Global Esports","Breach",4,5,"80.00"
"Fung3","Griffin E-Sports","Killjoy",4,16,"25.00"
"Boaster","FNATIC","Skye",4,69,"5.80"
"Hermes","Brimstone (ex)","Astra",4,7,"57.14"
"Mizu","9z Team","Fade",4,37,"10.81"
"frz","Sharks Esports (ex)","Cypher",4,9,"44.44"
"RIPablo","IGZIST","Viper",4,19,"21.05"
"Texta","ORDER (ex)","Viper",4,16,"25.00"
"frostmind","BOOM Esports (ex)","Brimstone",4,27,"14.81"
"Fross","SunXet Club","Astra",4,11,"36.36"
"sheydos","M3 Champions (ex)","KAY/O",4,81,"4.94"
"YRSelect","Griffin E-Sports (si)","Brimstone",4,16,"25.00"
"10X","HolyMolly (ex)","Viper",4,26,"15.38"
"TiGG","Luminosity Gaming (ex)","KAY/O",4,33,"12.12"
"YRSelect","Griffin E-Sports (si)","Astra",4,16,"25.00"
"flainzz","Stars Horizon","Cypher",4,8,"50.00"
"Misaya","Sengoku Gaming","Sage",3,11,"27.27"
"roseaufy","Persija Esports","Viper",3,16,"18.75"
"Mistic","FNATIC (ex)","Brimstone",3,69,"4.35"
"Mited","FUSION","Skye",3,14,"21.43"
"mittiii","FENNEL (ex)","Jett",3,7,"42.86"
"RoaN","SunXet Club (ex)","Sage",3,11,"27.27"
"Mizu","9z Team","Sage",3,37,"8.11"
"mNdS","MIBR (ex)","Sage",3,17,"17.65"
"rion","Crazy Raccoon","Viper",3,14,"21.43"
"MOLSI","LDN UTD (ex)","Raze",3,12,"25.00"
"aimDLL","BBL Esports","Astra",3,26,"11.54"
"Rico","EVA:e (ex)","Chamber",3,3,"100.00"
"RHZ","Keyd Stars (si)","Breach",3,6,"50.00"
"MONSTEERR","Acend (ex)","Killjoy",3,24,"12.50"
"10X","Brimstone (si)","Viper",3,7,"42.86"
"Moothie","CNJ Esports (ex)","Reyna",3,18,"16.67"
"RgLMeister","INGAMING Esports (ex)","Astra",3,9,"33.33"
"Biju","IXA (ex)","Astra",3,5,"60.00"
"Retla","Bleed Esports (ex)","Sage",3,10,"30.00"
"Retla","Bleed Esports (ex)","Killjoy",3,10,"30.00"
"murizzz","Keyd Stars (ex)","Neon",3,60,"5.00"
"musashi","BIG (ex)","Breach",3,12,"25.00"
"musashi","BIG (ex)","Killjoy",3,12,"25.00"
"musashi","BIG (ex)","Chamber",3,12,"25.00"
"myssen","Liberty","Cypher",3,20,"15.00"
"myssen","Liberty","Sage",3,20,"15.00"
"이토히로부비부빗","Team T5 (ex)","Astra",3,6,"50.00"
"NANZIN","Stars Horizon","Sova",3,8,"37.50"
"xand","Ninjas in Pyjamas (ex)","KAY/O",3,66,"4.55"
"Reformed","Evil Geniuses","Killjoy",3,35,"8.57"
"neth","Crazy Raccoon","Brimstone",3,40,"7.50"
"Nexi","Rex Regum Qeon (ex)","Cypher",3,8,"37.50"
"NicoMachine","Meta Gaming (ex)","KAY/O",3,10,"30.00"
"Nivera","Team Liquid (ex)","Brimstone",3,75,"4.00"
"Nizzy","Fancy United Esports","Chamber",3,5,"60.00"
"bnj","9z Team (si)","Fade",3,7,"42.86"
"nobody","EDward Gaming","Fade",3,5,"60.00"
"Redgar","M3 Champions","Skye",3,81,"3.70"
"Nozwerr","FURIA (ex)","Viper",3,49,"6.12"
"nukkye","G2 Esports (Inactive) (ex)","Jett",3,57,"5.26"
"Redgar","M3 Champions (ex)","Skye",3,81,"3.70"
"Obnoks","BIG (ex)","Sova",3,25,"12.00"
"Obnoks","BIG (ex)","Killjoy",3,25,"12.00"
"Obnoks","BIG (ex)","KAY/O",3,25,"12.00"
"Redgar","Gambit Esports (ex)","Sova",3,5,"60.00"
"PADO","Veronica7 (ex)","Skye",3,5,"60.00"
"Bonecold","Acend (ex)","Brimstone",3,13,"23.08"
"Bonecold","Acend (ex)","Omen",3,13,"23.08"
"PapiChulo","South Built Esports (ex)","Cypher",3,10,"30.00"
"Boo","LDN UTD (ex)","Viper",3,12,"25.00"
