"Ign","Team","Acs","Matches"
"skillZ","Global Esports",203,5
"SUYGETSU","FunPlus Phoenix (ex)",203,85
"Hermes","HolyMolly (ex)",203,26
"JessieVash","Team Secret",202,27
"Mizu","9z Team",202,37
"Muj","BBL Esports (ex)",202,2
"Lawrence","GoNGo Prince",202,7
"Kongared","Made in Thailand",202,28
"zepher","Crest Gaming ZST (si)",202,1
"D1E","Meta Gaming (ex)",202,10
"foxz","XERXIA Esports (ex)",202,61
"fenNy","SunXet Club",202,11
"LucasVade","Meta Gaming (ex)",202,10
"RyZzi","Desperado (ex)",201,21
"Tuli","9z Team (si)",201,7
"corey","TSM (ex)",201,10
"Anker","Jadeite (ex)",201,12
"Derrek","Rise (ex)",201,12
"Sacy","LOUD (ex)",201,67
"zeddy","Natus Vincere (ex)",201,22
"rite2ace","Velocity Gaming (ex)",201,6
"WIX","Maru Gaming (ex)",201,58
"kobra","Crest Gaming ZST",201,2
"HaReeee","REJECT (ex)",201,10
"rion","Crazy Raccoon",201,14
"vaiZ","Leviatán (ex)",200,35
"Moves","Team T5 (ex)",200,22
"mazin","FURIA",200,49
"zepher","REJECT (ex)",200,31
"Ripper","Oasis Gaming",200,2
"gaabxx","Sharks Esports (ex)",200,9
"blaZek1ng","BOOM Esports",200,45
"coco","Oasis Gaming",200,4
"BerserX","BOOM Esports",200,45
"Torrify","FUSION (ex)",200,12
"C1nder","SCARZ (ex)",200,5
"NicoMachine","Meta Gaming (ex)",200,10
"NANZIN","INGAMING Esports (ex)",199,9
"Brave","SuperMassive (ex)",199,11
"shion","Liberty (ex)",199,20
"zunba","On Sla2ers (ex)",199,55
"Jonn","Ninjas in Pyjamas (ex)",199,66
"Has1ra14","CNJ Esports",199,18
"diewijAs","PAMPAS (ex)",199,11
"tehbotol","BOOM Esports (ex)",198,45
"seven","TSM (ex)",198,10
"lenne","Bleed Esports (ex)",198,37
"YaBoiDre","Evil Geniuses (ex)",198,12
"Rain","CNJ Esports",198,18
"Dcop","FUSION",198,14
"Texta","ORDER (ex)",198,16
"SungJin","CNJ Esports (ex)",198,6
"Valll","Focus e-Sports (ex)",198,2
"JonahP","The Guard",197,55
"Witz","Team Secret (ex)",197,24
"pyth","Bleed Esports (ex)",197,37
"bezn1","Ninjas in Pyjamas (ex)",197,66
"keloqz","G2 Esports (Inactive) (ex)",197,5
"Lore","Focus e-Sports (ex)",197,2
"Luke","World Game Star",197,54
"Ethan","NRG Esports (ex)",197,26
"Johnqt","Ghost Gaming (ex)",197,15
"Pepper","IGZIST (ex)",197,19
"hellff","Velocity Gaming",197,6
