"Ign","Team","Opponents","Clutches","Clutch Failures"
"Pro","South Built Esports (ex)",,4,23
"Sacy","LOUD (ex)",,27,156
"JessieVash","Team Secret",,9,52
"braveaf","FNATIC (ex)",,9,52
"Shiro","Onic Esports (ex)",,20,116
"vow","Team T5 (ex)",,10,58
"Moves","Team T5 (ex)",,10,58
"NcSlasher","Onic Esports (ex)",,11,64
"AYRIN","XSET (ex)",,23,134
"Boaster","FNATIC",,21,124
"eeiu","NRG Esports (ex)",,19,113
"Pay","Veronica7 (ex)",,1,6
"fenNy","SunXet Club",,4,24
"pouoxo","TRIDENT (ex)",,1,6
"Zellsis","Sentinels (ex)",,3,18
"Amaterasu","Velocity Gaming",,1,6
"hellff","Velocity Gaming",,3,18
"MerRy","Storks Phalanx (ex)",,2,12
"DippER","VPZ (ex)",,1,6
"zunba","On Sla2ers (si)",,1,6
"RELAXING","TRIDENT (ex)",,1,6
"Retla","Bleed Esports (ex)",,4,24
"Lore","Focus e-Sports (ex)",,1,6
"Yacine","Guild Esports",,1,6
"micr0","South Built Esports (ex)",,2,12
"v1xen","Ninjas in Pyjamas (ex)",,13,78
"K1LLERS","Fancy United Esports (ex)",,1,6
"Felix","Brimstone (si)",,3,18
"Vera","No Namers (ex)",,1,6
"YESicaN","Fancy United Esports",,6,36
"PapiChulo","South Built Esports (ex)",,5,30
"BcJ","XSET (ex)",,21,126
"Lightningfast","Global Esports",,1,6
"invy","Oasis Gaming (ex)",,2,12
"nAts","Gambit Esports (ex)",,2,12
"Wenty","Tartarus (si)",,1,6
"L1NK","Team Liquid (ex)",,17,103
"Laz","ZETA DIVISION",,21,128
"sushiboys","XERXIA Esports (ex)",,19,116
"matheuzin","TBK Esports",,18,110
"effys","Version1 (Inactive) (ex)",,8,49
"Derialy","NORTHEPTION",,7,43
"DeNaro","MIBR (ex)",,7,43
"SUYGETSU","FunPlus Phoenix (ex)",,37,228
"ryotzz","TBK Esports",,12,74
"mada","Luminosity Gaming (ex)",,6,37
"dazzLe","Luminosity Gaming (ex)",,12,74
"foxz","XERXIA Esports (ex)",,23,142
"neth","Crazy Raccoon",,11,68
"Astell","Crazy Raccoon",,14,87
"vickt0r","Movistar Optix",,9,56
"QutionerX","BBL Esports",,8,50
"Chronicle","M3 Champions (ex)",,11,69
"poised","FaZe Clan",,11,69
"aspas","LOUD",,14,88
"T3xture","DAMWON Gaming (ex)",,14,88
"Hyzee","Fancy United Esports (ex)",,7,44
"Apoth","Evil Geniuses",,10,63
"Hoody","G2 Esports (Inactive) (ex)",,13,82
"mitch","Cloud9 (ex)",,16,101
"chase","Gamelanders Blue (ex)",,6,38
"LEXY","Bleed Esports (ex)",,3,19
"Dep","ZETA DIVISION",,17,108
"Turko","BBL Esports",,8,51
"YaBoiDre","Evil Geniuses (ex)",,7,45
"Minty","FAV gaming",,7,45
"s0m","NRG Esports",,9,58
"bnj","9z Team (si)",,2,13
"Johnqt","Ghost Gaming (ex)",,4,26
"Enzo","FNATIC (ex)",,22,143
"Sayaplayer","The Guard (ex)",,14,91
"DubsteP","Team Secret",,8,52
"ZmjjKK","EDward Gaming",,2,13
"cauanzin","Ninjas in Pyjamas (ex)",,24,156
"Cloud","Natus Vincere (ex)",,10,65
"pr0xy","Spear Gaming (ex)",,12,78
"Rabbet","Rex Regum Qeon",,2,13
"frz","Sharks Esports (ex)",,4,26
"Bangnan","Team T5 (ex)",,5,33
"Cryocells","XSET (ex)",,20,133
"Sayf","Guild Esports (ex)",,20,133
"SoGaTe","Team GP (ex)",,3,20
"blaZek1ng","BOOM Esports",,18,120
"Lmemore","Onic Esports (ex)",,14,94
"MOLSI","OG LDN UTD (ex)",,7,47
"neT","The Guard",,16,108
"d4v41","Paper Rex",,20,135
"gtnziN","MIBR (ex)",,4,27
"stellar","100 Thieves",,18,122
"SungJin","Spear Gaming (ex)",,10,68
"redwater877","Team T5",,5,34
"mNdS","MIBR (ex)",,6,41
