"Ign","Team","Spend"
"godko","Desperado (ex)","1069250"
"Bangnan","Team T5 (ex)","1063250"
"NoriseN","REJECT (ex)","1061150"
"Zander","Version1 (Inactive) (ex)","1048850"
"CTC","Los Grandes (ex)","1040350"
"Rain","CNJ Esports","1040350"
"krain","Liberty","1036350"
"zombs","Sentinels (ex)","1025150"
"jzz","MIBR","1012550"
"prince","Los Grandes (ex)","996400"
"gtnziN","MIBR (ex)","993900"
"RND","Los Grandes (ex)","987800"
"mNdS","MIBR (ex)","980000"
"Has1ra14","CNJ Esports","974400"
"gustt1nha","Los Grandes (ex)","969200"
"Hyzee","Fancy United Esports (ex)","966750"
"pleets","Los Grandes","959550"
"Dispenser","Team Secret","944500"
"DeNaro","MIBR (ex)","941550"
"YESicaN","Fancy United Esports","939500"
"Lakia","IGZIST (ex)","925900"
"Eeyore","Persija Esports","925800"
"Famouz","Persija Esports (ex)","925750"
"Moothie","CNJ Esports (ex)","914800"
"ban","Knights (ex)","911450"
"jfoen","E-Xolos LAZER","909350"
"Delend","Made in Thailand (ex)","906700"
"frz","MIBR","895400"
"poem","IGZIST","895000"
"BandiCoot","E-Xolos LAZER","891300"
"Pepper","IGZIST (ex)","886350"
"XXiF","Knights (ex)","884800"
"Frosty","Knights (ex)","883400"
"Flynch","Persija Esports (ex)","871650"
"Genghsta","Knights (ex)","867350"
"Feniz","E-Xolos LAZER","865950"
"skuba","Knights (ex)","860500"
"dgzin","FURIA","858950"
"roseaufy","Persija Esports","858100"
"NiSMO","Ghost Gaming (ex)","857850"
"asteriskk","Persija Esports","857200"
"Fantasy","Team T5","853600"
"oitaN","IGZIST","848000"
"curry","Cloud9 (ex)","846650"
"Daveeys","E-Xolos LAZER (ex)","841100"
"SiuFatBB","Griffin E-Sports","822950"
"koalanoob","Ghost Gaming (ex)","822550"
"baddyG","FunPlus Phoenix (ex)","816850"
"brawk","Ghost Gaming (ex)","812200"
"RIPablo","IGZIST","806900"
"W1nner","Griffin E-Sports","801350"
"Rainy","Griffin E-Sports","796100"
"GOLD","Desperado (ex)","793950"
"aproto","Ghost Gaming (ex)","792950"
"v1nNy","Gamelanders Blue (ex)","783450"
"D1E","Movistar Optix","781750"
"YRSelect","Griffin E-Sports (si)","780600"
"Johnqt","Ghost Gaming (ex)","774600"
"Maple","ORDER (ex)","771850"
"KimGyuTae","Desperado","764300"
"Fung3","Griffin E-Sports","760750"
"Dcop","FUSION","757400"
"akashi","CERBERUS Esports (ex)","751450"
"Jady","Natus Vincere (ex)","748600"
"Texta","ORDER (ex)","748200"
"WRONSKI","ORDER (ex)","747050"
"wyz","FUSION","745100"
"Mited","FUSION","744750"
"rion","Crazy Raccoon","744650"
"Xander","FUSION","743500"
"zennakukinn","BLUE BEES.ESP (ex)","737750"
"Lok1","CERBERUS Esports (ex)","731350"
"Xandrite","NORTHEPTION (ex)","729400"
"f1cio","Fancy United Esports","727200"
"disk0","ORDER (ex)","719250"
"Xdll","BLUE BEES.ESP (ex)","712250"
"YaBoiLewis","FOKUS","711700"
"rDeeW","ORDER (ex)","709800"
"LEXY","Bleed Esports (ex)","708650"
"Jady","M3 Champions","707450"
"Kishi","CERBERUS Esports (ex)","702600"
"Kr1stal","BLUE BEES.ESP (ex)","698700"
"Kaspe","BIG (ex)","695400"
"JUGi","FOKUS","688700"
"vong","FOKUS (ex)","688300"
"gob b","BIG (ex)","687550"
"DOGAO","Movistar Optix","687350"
"ANDROID","NRG Esports (ex)","686350"
"b3ta","Made in Thailand","676400"
"Hiko","100 Thieves (ex)","670700"
"neptune","Rise (ex)","668600"
"bucher","FOKUS (ex)","665000"
"Brave","SuperMassive (ex)","664100"
"iluri","FOKUS (ex)","660450"
"DaeGi","Tartarus (ex)","660200"
"rochet","SunXet Club (ex)","652400"
"kiles","Acend (ex)","651650"
"YaBoiDre","Evil Geniuses (ex)","645650"
"Ethan","100 Thieves (ex)","643400"
"JohnOlsen","FULL SENSE","641700"
"poised","Rise (ex)","640900"
"ParkJJong","Tartarus (ex)","640250"
"supamen","Rise (ex)","638000"
"Bonecold","Acend (ex)","637700"
"PTC","FULL SENSE (ex)","636350"
"GwangUh","Tartarus (ex)","635100"
"Kanpeki","Sentinels (ex)","633550"
"pho","Evil Geniuses (ex)","629050"
"Dreamas","Team Liquid (ex)","628900"
"Shanks","Rise (ex)","627700"
"Glovee","SuperMassive (ex)","626700"
"Torrify","FUSION (ex)","625750"
"SoGaTe","Tartarus (ex)","624600"
"LEXY","Bleed Esports (ex)","623650"
"musashi","BIG (ex)","621400"
"XiSTOU","SuperMassive (ex)","619200"
"Izzy","SuperMassive","618450"
"Subroza","TSM (ex)","617050"
"allow","Jadeite (ex)","616400"
"Derrek","Rise (ex)","614700"
"luckeRRR","BIG (ex)","613950"
"luckeRRR","BIG (ex)","613950"
"CyderX","SuperMassive (ex)","610350"
"Anker","Jadeite (ex)","608250"
"SylFy","Jadeite (ex)","604750"
"RoaN","SunXet Club (ex)","604000"
"Dreamas","LDN UTD (ex)","603750"
"Sơn KeKe","Fancy United Esports (ex)","602000"
"gMd","TSM (ex)","602000"
"Fross","SunXet Club","600600"
"fenNy","SunXet Club","596750"
"Wenty","Tartarus (ex)","596200"
"THEE","FULL SENSE","592300"
"Zellsis","Sentinels (ex)","591150"
"feqew","LDN UTD (ex)","590200"
"Destrian","LDN UTD (ex)","588350"
"jotinha","SunXet Club (ex)","588200"
"Boo","LDN UTD (ex)","583050"
"azys","South Built Esports (ex)","582600"
"LAMMYSNAX","FULL SENSE (ex)","581950"
"MOLSI","LDN UTD (ex)","580900"
"diewijAs","PAMPAS (ex)","580800"
"raafa","Liberty (ex)","578750"
"seven","TSM (ex)","577550"
"Holbreak","EBRO Gaming (ex)","573950"
"bmVz","Fancy United Esports (ex)","572700"
"Brinks","Gamelanders Blue (si)","568450"
"david","PAMPAS (ex)","568100"
"NAOS JA","South Built Esports (ex)","567600"
"Unnsto","EBRO Gaming (ex)","560350"
"ChAlalala","FULL SENSE (ex)","559800"
"Rossy","TSM (ex)","556450"
"pdr","INGAMING Esports (ex)","553300"
"corey","TSM (ex)","553250"
"Retla","Bleed Esports (ex)","552900"
"rubkkoide","PAMPAS (ex)","549550"
"shelbyN","EBRO Gaming (ex)","547050"
"MatiS","EBRO Gaming (ex)","544100"
"Sushi","EBRO Gaming (ex)","542550"
"shroud","Sentinels","541600"
"WKN","Meta Gaming (ex)","540050"
"NicoMachine","Meta Gaming (ex)","538500"
"BRNWOWZK1","INGAMING Esports (ex)","538450"
"Peloncito","E-Xolos LAZER","538350"
"D1E","Meta Gaming (ex)","538250"
"leonzhett","PAMPAS (ex)","536700"
"olzerr","PAMPAS (ex)","535950"
"SyouTa","Crest Gaming ZST (ex)","528500"
"Foxy9","Reignite (ex)","526300"
"badsitoww","Meta Gaming (ex)","526300"
"flippy","South Built Esports (ex)","521050"
"NANZIN","INGAMING Esports (ex)","514950"
"Misaya","Sengoku Gaming","512050"
"tixx","Bonkers(OCE) (ex)","509000"
"LucasVade","Meta Gaming (ex)","508550"
"SamuraiDeeper","Crest Gaming ZST (ex)","506600"
"PapiChulo","South Built Esports (ex)","506350"
"kurozooted","Reignite","505700"
"flainzz","INGAMING Esports (ex)","497900"
"NeruFi","Crest Gaming ZST","496900"
"Minimise","Bonkers(OCE) (ex)","495000"
"Jremy","Team Secret","494950"
"prozin","Sharks Esports","494800"
"SEIDER","FunPlus Phoenix (si)","484550"
"Nozz","Bonkers(OCE) (ex)","484250"
"KILLDREAMST","Sharks Esports (ex)","484000"
"RgLMeister","INGAMING Esports (ex)","481200"
"Pro","South Built Esports (ex)","480350"
"hyouka","Reignite","472350"
"kellyS","Rex Regum Qeon (ex)","469900"
"Art","Sengoku Gaming (ex)","468300"
"frz","Sharks Esports (ex)","464250"
"glym","Liberty (ex)","463750"
"jcStani","100 Thieves (ex)","463350"
"v1xen","Ninjas in Pyjamas (si)","462000"
"Yacine","Guild Esports","458400"
"eKo","Reignite (ex)","457000"
"rDeeW","Bonkers(OCE) (ex)","455500"
"Lawrence","GoNGo Prince","448950"
"HaReeee","REJECT (ex)","443500"
"Addicted","Sharks Esports (ex)","442500"
"Brofeld","Jadeite","438550"
"artzin","Stars Horizon (ex)","437850"
"skrawl","Bonkers(OCE) (ex)","435050"
"KuuKai","Crest Gaming ZST (ex)","433750"
"Akame","Jadeite","430300"
"gaabxx","Sharks Esports (ex)","428800"
"swag","Team Vikings (ex)","426650"
"Redneval","CERBERUS Esports (ex)","423050"
"Maverick","Stars Horizon (ex)","416300"
"2GE","Rex Regum Qeon","415500"
"pdr","Stars Horizon (ex)","415300"
"Dszera","Team Vikings (ex)","415250"
"Draxii","Rex Regum Qeon (ex)","414600"
"Jemkin","Crest Gaming ZST (ex)","413900"
"UdoTan","GoNGo Prince (ex)","409650"
"PEPA","Team Vikings (ex)","407800"
"Tuli","9z Team (si)","403450"
"Eliza","GoNGo Prince (ex)","401800"
"Nexi","Rex Regum Qeon (ex)","400950"
"Veroneze","Team Vikings (ex)","400300"
"Wenty","GoNGo Prince (ex)","400200"
"pollo","Team Vikings (ex)","396100"
"NANZIN","Stars Horizon","393150"
"iNTRO","DAMWON Gaming (ex)","390650"
"Dobsha","E-Xolos LAZER (ex)","388050"
"bnj","9z Team (si)","386550"
"flainzz","Stars Horizon","383400"
"Dhimorutoo","Reignite (ex)","378100"
"Jemkin","BLUE BEES.ESP (ex)","375900"
"Daicute","CERBERUS Esports (ex)","374950"
"TENSAI","FENNEL (ex)","373950"
"mittiii","FENNEL (ex)","373550"
"Felix","Brimstone (si)","372850"
"CLZ","FENNEL","367200"
"something","BLUE BEES.ESP (ex)","366350"
"10X","Brimstone (si)","366200"
"Rabbet","Rex Regum Qeon","363000"
"Harry","Brimstone (si)","353000"
"tinggg2k5","CERBERUS Esports","352750"
"Envy","FENNEL (ex)","351100"
"TORANECO","BLUE BEES.ESP (ex)","349350"
"Hermes","Brimstone (ex)","349050"
"Derialy","FENNEL (ex)","347650"
"JinboongE","Brimstone (ex)","346900"
"hellff","Velocity Gaming","345900"
"Zerost","BLUE BEES.ESP (ex)","342750"
"alyaL","CERBERUS Esports (ex)","341950"
"Amaterasu","Velocity Gaming","338550"
"Kaminari","Hexad (ex)","336200"
"SeolHo","Spear Gaming (ex)","335550"
"d3ffo","Gambit Esports (ex)","335150"
"Rawkus","Sentinels (ex)","334300"
"ringring","CNJ Esports","331500"
"sheydos","Gambit Esports (ex)","329500"
"Nizzy","Fancy United Esports","326000"
"Suka","Fancy United Esports (ex)","325800"
"DEATHMAKER","Velocity Gaming","322700"
"rite2ace","Velocity Gaming (ex)","321800"
"blurred","NAOS Esports","320700"
"Den2","Spear Gaming (ex)","318100"
"bdog","Shopify Rebellion","316700"
"mada","Shopify Rebellion","316200"
"Vibhor","Velocity Gaming (ex)","315500"
"nAts","Gambit Esports (ex)","315200"
"이토히로부비부빗","Team T5 (ex)","311700"
"DaeGi","Team GP (ex)","309050"
"L1NK","Acend (ex)","307550"
"GangPin","Sengoku Gaming (ex)","306900"
"Redgar","Gambit Esports (ex)","306900"
"dazzLe","Shopify Rebellion","305500"
"GOLD","Desperado (si)","303900"
"Pooky","CNJ Esports (ex)","303550"
"Flax","Hexad (ex)","303250"
"nephh","Gaimin Gladiators (ex)","300650"
"dzii","Gaimin Gladiators (ex)","299600"
"TiGG","Shopify Rebellion (ex)","298650"
"TORANECO","Hexad (ex)","298650"
"REV1","Pentagon","296950"
"EndU","Team GP","296900"
"Sk9Na","Team GP (ex)","296000"
"Brofeld","Hexad (ex)","295150"
"Chronicle","Gambit Esports (ex)","293850"
"Gunny","GoNGo Prince","293650"
"kobra","Sengoku Gaming (ex)","293150"
"sakurai","Hexad (ex)","292400"
"Lightningfast","Global Esports","290950"
"jEEE","NAOS Esports","290900"
"Shuzz","SCARZ (ex)","288400"
"kvzx","NAOS Esports","288100"
"Moose","Shopify Rebellion","286600"
"C1nder","SCARZ (ex)","285300"
"nobody","EDward Gaming","285200"
"GodDead","On Sla2ers (si)","284450"
"FREY","Gaimin Gladiators (ex)","283850"
"Kakarot","NAOS Esports","281700"
"DDcream","Pentagon","281300"
"SoGaTe","Team GP (ex)","280350"
"artn","Gaimin Gladiators (ex)","280350"
"thiefy","Sengoku Gaming (ex)","279950"
"Eugene","DAMWON Gaming","278850"
"KappA","Global Esports","278800"
"STYRON","Gaimin Gladiators (ex)","277900"
"Anthem","SCARZ (ex)","276450"
"marin","SCARZ (ex)","276100"
"柳ヶ瀬鈴乃","IXA (ex)","275600"
"Knight","Pentagon","275100"
"killua","FW Esports","275050"
"Teerapong","FW Esports","274600"
"Yun","Pentagon","274450"
"skillZ","Global Esports","273450"
"Majestyy","FW Esports","273300"
"RgLMeister","Keyd Stars (si)","272800"
"k1Ng","On Sla2ers (si)","272600"
"TS","On Sla2ers (si)","271850"
"ryota-","SCARZ (ex)","271300"
"ParkJJong","Team GP (ex)","270400"
"Apinya","FW Esports (ex)","269950"
"RHZ","Keyd Stars (si)","268500"
"SkRossi","Global Esports","267650"
"keloqz","G2 Esports (Inactive) (ex)","264850"
"Haodong","EDward Gaming","264400"
"ZmjjKK","EDward Gaming","262550"
"zunba","On Sla2ers (si)","262350"
"Estrella","Desperado (ex)","261900"
"Swee","IXA","260250"
"Biju","IXA (ex)","258600"
"B4nnba","Pentagon","257050"
"HellrangeR","Global Esports","256500"
"Ijin","Storks Phalanx (ex)","255700"
"Luna","IXA","254050"
"Dualing","Storks Phalanx (ex)","253600"
"Tempz","No Namers (ex)","253000"
"ec1s","100 Thieves (ex)","252950"
"Pay","Veronica7 (ex)","252900"
"DxN","No Namers (ex)","249850"
"Vera","No Namers (ex)","249750"
"Bazzi","On Sla2ers (si)","248100"
"NoMan","Oblivion Force (ex)","248050"
"BabyJ","100 Thieves (ex)","248050"
"CHICHOO","EDward Gaming","247400"
"FuriousMeow","Oblivion Force","245700"
"AcMe","Veronica7","245250"
"rez1v","Storks Phalanx","245100"
"BP","Veronica7","244550"
