"Ign","Team","Agent","Rounds","Wins","Percentage"
"Turko","BBL Esports","Sova",56,27,"48.21"
"leaf","Cloud9","Raze",112,54,"48.21"
"Jonn","Ninjas in Pyjamas (ex)","Fade",83,40,"48.19"
"soulcas","Team Liquid","Astra",220,106,"48.18"
"DubsteP","Team Secret","KAY/O",81,39,"48.15"
"kon4n","TBK Esports (ex)","Skye",81,39,"48.15"
"zekken","XSET (ex)","Neon",106,51,"48.11"
"f1cio","Fancy United Esports","Chamber",79,38,"48.10"
"sushiboys","XERXIA Esports (ex)","Fade",52,25,"48.08"
"Eeyore","Persija Esports","Killjoy",75,36,"48.00"
"Deryeon","Bleed Esports (ex)","Jett",175,84,"48.00"
"HellrangeR","Global Esports","Breach",50,24,"48.00"
"Secret","Desperado (ex)","KAY/O",75,36,"48.00"
"f0rsakeN","Paper Rex","Yoru",146,70,"47.95"
"Akame","Jadeite","Sage",73,35,"47.95"
"foxz","XERXIA Esports (ex)","Sage",48,23,"47.92"
"LucasVade","Meta Gaming (ex)","Cypher",48,23,"47.92"
"M4sh","EVA:e (ex)","Skye",48,23,"47.92"
"Victor","OpTic Gaming (ex)","Skye",46,22,"47.83"
"Famouz","Persija Esports (ex)","Raze",161,77,"47.83"
"flyuh","FaZe Clan (ex)","Breach",46,22,"47.83"
"mazin","FURIA","Skye",69,33,"47.83"
"PapiChulo","South Built Esports (ex)","Killjoy",46,22,"47.83"
"SicK","Sentinels (ex)","Skye",46,22,"47.83"
"gio","Movistar Optix","KAY/O",69,33,"47.83"
"dinkzj","Natus Vincere (ex)","Viper",46,22,"47.83"
"flyuh","FaZe Clan (ex)","Sova",115,55,"47.83"
"Redgar","M3 Champions","Sova",228,109,"47.81"
"Redgar","M3 Champions (ex)","Sova",228,109,"47.81"
"Daveeys","E-Xolos LAZER (ex)","Chamber",136,65,"47.79"
"Tuli","9z Team (si)","Raze",90,43,"47.78"
"stellar","100 Thieves","Killjoy",88,42,"47.73"
"KuuKai","Crest Gaming ZST (ex)","Skye",88,42,"47.73"
"Boo","OG LDN UTD (ex)","Astra",44,21,"47.73"
"Duno","Natus Vincere (ex)","Fade",109,52,"47.71"
"GwangUh","Maru Gaming (ex)","Astra",107,51,"47.66"
"FNS","OpTic Gaming (ex)","Killjoy",149,71,"47.65"
"ableJ","FURIA (ex)","Sage",42,20,"47.62"
"f0rsakeN","Paper Rex","Chamber",42,20,"47.62"
"Will","100 Thieves (ex)","Jett",63,30,"47.62"
"akashi","CERBERUS Esports (ex)","Fade",63,30,"47.62"
"XiSTOU","SuperMassive (ex)","Killjoy",105,50,"47.62"
"BerserX","BOOM Esports","Neon",124,59,"47.58"
"SEVERiNE","Onic Esports (ex)","KAY/O",82,39,"47.56"
"murizzz","Keyd Stars (ex)","KAY/O",122,58,"47.54"
"aimDLL","BBL Esports","Astra",61,29,"47.54"
"Minty","FAV gaming","Chamber",40,19,"47.50"
"tuyz","TBK Esports (ex)","Chamber",120,57,"47.50"
"Den2","Spear Gaming (ex)","Skye",40,19,"47.50"
"Rainy","Griffin E-Sports","Fade",40,19,"47.50"
"Sayf","Guild Esports (ex)","Jett",158,75,"47.47"
"Meiy","Crazy Raccoon","Reyna",59,28,"47.46"
"Jonn","Ninjas in Pyjamas (ex)","Neon",276,131,"47.46"
"Meteor","NORTHEPTION (ex)","Neon",78,37,"47.44"
"Russ","Guild Esports (ex)","Skye",133,63,"47.37"
"cNed","Acend (ex)","Sage",57,27,"47.37"
"bdog","Luminosity Gaming (ex)","Jett",95,45,"47.37"
"supamen","FaZe Clan","Omen",57,27,"47.37"
"bezn1","Ninjas in Pyjamas (ex)","Omen",76,36,"47.37"
"gustt1nha","Los Grandes (ex)","Fade",148,70,"47.30"
"TS","On Sla2ers (ex)","Skye",55,26,"47.27"
"neth","Crazy Raccoon","Omen",110,52,"47.27"
"LOB","FAV gaming","Sage",91,43,"47.25"
"jawgemo","Evil Geniuses","Fade",36,17,"47.22"
"Boostio","Evil Geniuses","Phoenix",36,17,"47.22"
"SeolHo","Spear Gaming (ex)","KAY/O",36,17,"47.22"
"YaBoiDre","Evil Geniuses (ex)","Chamber",72,34,"47.22"
"Kakarot","NAOS Esports","KAY/O",36,17,"47.22"
"C0M","Evil Geniuses","Killjoy",36,17,"47.22"
"nephh","Gaimin Gladiators (ex)","Breach",36,17,"47.22"
"cNed","Acend (ex)","Chamber",125,59,"47.20"
"Witz","Team Secret (ex)","Chamber",89,42,"47.19"
"Exy","DAMWON Gaming","Astra",172,81,"47.09"
"Asuna","100 Thieves","KAY/O",34,16,"47.06"
"zeek","Acend (ex)","KAY/O",153,72,"47.06"
"leonzhett","PAMPAS (ex)","Sova",68,32,"47.06"
"Nizzy","Fancy United Esports","Chamber",34,16,"47.06"
"dimasick","Team Liquid","Brimstone",83,39,"46.99"
"trent","The Guard","Sova",83,39,"46.99"
"tex","NRG Esports (ex)","Chamber",149,70,"46.98"
"pdr","INGAMING Esports (ex)","Skye",66,31,"46.97"
"kiNgg","Leviatán","Raze",115,54,"46.96"
"CTC","Los Grandes (ex)","Raze",81,38,"46.91"
"Tio","Movistar Optix","Astra",162,76,"46.91"
"KuuKai","Crest Gaming ZST (ex)","Chamber",32,15,"46.88"
"Moose","Shopify Rebellion","Brimstone",32,15,"46.88"
"Xeppaa","Cloud9","Sage",32,15,"46.88"
"chase","Gamelanders Blue (ex)","Raze",32,15,"46.88"
"GangPin","Sengoku Gaming (ex)","Neon",32,15,"46.88"
"Destrian","OG LDN UTD (ex)","Brimstone",32,15,"46.88"
"dazzLe","Shopify Rebellion","Breach",32,15,"46.88"
"Jamppi","Team Liquid","Omen",64,30,"46.88"
"Brinks","Gamelanders Blue (si)","Skye",32,15,"46.88"
"mada","Shopify Rebellion","Neon",32,15,"46.88"
"TiGG","Shopify Rebellion (ex)","KAY/O",32,15,"46.88"
"NakJi","Maru Gaming (ex)","Raze",124,58,"46.77"
"curry","Cloud9 (ex)","Viper",77,36,"46.75"
"Leo","Guild Esports (ex)","Sova",154,72,"46.75"
"zekken","XSET (ex)","Sova",30,14,"46.67"
"WIX","Maru Gaming (ex)","Skye",60,28,"46.67"
"Cloud","Natus Vincere (ex)","Sage",30,14,"46.67"
"Apoth","Evil Geniuses","Astra",60,28,"46.67"
"b3ta","Made in Thailand","Omen",30,14,"46.67"
"deLb","Alter Ego","Jett",30,14,"46.67"
"RgLMeister","Keyd Stars (ex)","Brimstone",45,21,"46.67"
"aimDLL","BBL Esports","Brimstone",30,14,"46.67"
"10X","HolyMolly (ex)","Raze",30,14,"46.67"
"SungJin","CNJ Esports (ex)","Reyna",60,28,"46.67"
"Esperanza","DAMWON Gaming","Skye",88,41,"46.59"
"C0M","Evil Geniuses","Sova",73,34,"46.58"
"Surf","XERXIA Esports (ex)","Jett",320,149,"46.56"
"Jamppi","Team Liquid","Sage",58,27,"46.55"
"AsLanM4shadoW","BBL Esports","Reyna",43,20,"46.51"
"Sushi","EBRO Gaming (ex)","Cypher",43,20,"46.51"
"FREY","Gaimin Gladiators (ex)","Chamber",43,20,"46.51"
"Meddo","G2 Esports (Inactive) (ex)","Breach",86,40,"46.51"
"Tuli","Movistar Optix (ex)","Reyna",43,20,"46.51"
"sScary","XERXIA Esports (ex)","Omen",43,20,"46.51"
"gMd","TSM (ex)","Fade",28,13,"46.43"
"Obnoks","BIG (ex)","Skye",84,39,"46.43"
"2GE","Rex Regum Qeon","Fade",28,13,"46.43"
"corey","TSM (ex)","Jett",28,13,"46.43"
"Nexi","Rex Regum Qeon (ex)","Killjoy",28,13,"46.43"
"Draxii","Rex Regum Qeon (ex)","Omen",28,13,"46.43"
"SicK","Sentinels (ex)","KAY/O",28,13,"46.43"
"mazin","FURIA","Omen",28,13,"46.43"
"jawgemo","Evil Geniuses","Neon",28,13,"46.43"
"tixx","Bonkers(OCE) (ex)","Astra",28,13,"46.43"
"Moves","Team T5 (ex)","Sova",69,32,"46.38"
"trent","The Guard","Fade",110,51,"46.36"
"SEIDER","FunPlus Phoenix (si)","Viper",41,19,"46.34"
"JessieVash","Team Secret","Fade",41,19,"46.34"
"Pay","Veronica7 (ex)","Raze",41,19,"46.34"
"TENSAI","FENNEL (ex)","Skye",41,19,"46.34"
"vakk","Acend","Breach",41,19,"46.34"
"AslaN","BIG (ex)","Omen",41,19,"46.34"
"prince","Los Grandes (ex)","Breach",108,50,"46.30"
"jawgemo","Evil Geniuses","Jett",121,56,"46.28"
"Jeong Hi","DAMWON Gaming (ex)","Astra",67,31,"46.27"
"killua","FW Esports","Neon",67,31,"46.27"
"mitch","Cloud9 (ex)","Killjoy",93,43,"46.24"
"TenZ","Sentinels","Jett",199,92,"46.23"
"FNS","OpTic Gaming (ex)","Fade",199,92,"46.23"
"kon4n","TBK Esports (ex)","Neon",65,30,"46.15"
"pr0xy","Spear Gaming (ex)","Skye",26,12,"46.15"
"Fuzari","Gamelanders Blue (ex)","Chamber",26,12,"46.15"
"HANLING","9z Team (ex)","Jett",65,30,"46.15"
"bnj","Ninjas in Pyjamas (ex)","Brimstone",26,12,"46.15"
"SEVERiNE","Onic Esports (ex)","Omen",26,12,"46.15"
"柳ヶ瀬鈴乃","IXA (ex)","Sova",26,12,"46.15"
"Zellsis","Version1 (Inactive) (ex)","Breach",26,12,"46.15"
"skuba","Knights (ex)","Astra",26,12,"46.15"
"deigara","9z Team","Killjoy",26,12,"46.15"
"pyth","Bleed Esports (ex)","Chamber",39,18,"46.15"
"Reformed","Evil Geniuses","Brimstone",26,12,"46.15"
"Derialy","NORTHEPTION","Killjoy",104,48,"46.15"
"liazzi","Liberty","Raze",130,60,"46.15"
"AslaN","BIG (ex)","Viper",26,12,"46.15"
"bezn1","Ninjas in Pyjamas (ex)","Fade",26,12,"46.15"
"david","PAMPAS (ex)","Jett",39,18,"46.15"
"Wenty","GoNGo Prince (ex)","Chamber",26,12,"46.15"
"AsLanM4shadoW","BBL Esports","Sage",26,12,"46.15"
"Leazo","9z Team","Omen",52,24,"46.15"
"jzz","MIBR","Neon",65,30,"46.15"
"Haodong","EDward Gaming","Skye",26,12,"46.15"
"Creative","GoNGo Prince","Sova",26,12,"46.15"
"BcJ","XSET (ex)","Sage",26,12,"46.15"
"SUTHER","9z Team (ex)","Reyna",26,12,"46.15"
"zeddy","Natus Vincere (ex)","Omen",115,53,"46.09"
"gtnziN","MIBR (ex)","KAY/O",102,47,"46.08"
"Boo","OG LDN UTD (ex)","Sage",76,35,"46.05"
"L1NK","Team Liquid (ex)","Brimstone",63,29,"46.03"
"ScreaM","Team Liquid (ex)","Skye",63,29,"46.03"
"matheuzin","TBK Esports","Chamber",50,23,"46.00"
"Jamppi","Team Liquid","Skye",87,40,"45.98"
"murizzz","Keyd Stars (ex)","Chamber",85,39,"45.88"
"ringring","CNJ Esports","Sova",24,11,"45.83"
"hyouka","Reignite","Breach",24,11,"45.83"
"侵略者","ややーず","Sage",24,11,"45.83"
"Starxo","Acend","Fade",24,11,"45.83"
"mixwell","G2 Esports (Inactive) (ex)","Sage",24,11,"45.83"
"Bazzi","On Sla2ers (ex)","Skye",24,11,"45.83"
"Quick","FURIA","Skye",24,11,"45.83"
"nukkye","G2 Esports (Inactive) (ex)","Chamber",24,11,"45.83"
"Kakarot","NAOS Esports","Neon",24,11,"45.83"
"AsLanM4shadoW","BBL Esports","Astra",24,11,"45.83"
"neptune","Rise (ex)","Raze",24,11,"45.83"
"foxz","XERXIA Esports (ex)","Phoenix",24,11,"45.83"
"dapr","Sentinels (ex)","Killjoy",48,22,"45.83"
"Smoggy","EDward Gaming","KAY/O",24,11,"45.83"
"L1NK","Acend (ex)","Omen",24,11,"45.83"
"DubsteP","Team Secret","Raze",24,11,"45.83"
"DubsteP","Team Secret","Yoru",24,11,"45.83"
"Retla","Bleed Esports (ex)","Skye",24,11,"45.83"
"Jremy","Team Secret","Fade",24,11,"45.83"
"BABYBAY","FaZe Clan","Chamber",24,11,"45.83"
"kellyS","Rex Regum Qeon (ex)","Jett",24,11,"45.83"
"SicK","Sentinels (ex)","Omen",24,11,"45.83"
"Duno","Natus Vincere (ex)","Omen",48,22,"45.83"
"sScary","XERXIA Esports (ex)","Viper",24,11,"45.83"
"hatty","ややーず (ex)","Cypher",24,11,"45.83"
"jawgemo","Evil Geniuses","Chamber",24,11,"45.83"
"Pooky","CNJ Esports (ex)","Killjoy",24,11,"45.83"
"Wavy","CNJ Esports","Breach",24,11,"45.83"
"CHICHOO","EDward Gaming","Viper",24,11,"45.83"
"shion","Liberty (ex)","Fade",24,11,"45.83"
"Medusa","REJECT (ex)","Fade",24,11,"45.83"
"Zellsis","Sentinels (ex)","KAY/O",24,11,"45.83"
"BandiCoot","E-Xolos LAZER","Astra",24,11,"45.83"
"FifTy","DeToNator","Cypher",24,11,"45.83"
"Chronicle","M3 Champions (ex)","Raze",48,22,"45.83"
"Wavy","CNJ Esports","Fade",24,11,"45.83"
"myssen","Liberty","Fade",24,11,"45.83"
"zeddy","Natus Vincere (ex)","Viper",24,11,"45.83"
"Chronicle","M3 Champions (ex)","Raze",48,22,"45.83"
"frostmind","BOOM Esports (ex)","Brimstone",24,11,"45.83"
"Dhimorutoo","Reignite (ex)","Brimstone",24,11,"45.83"
"krain","Liberty","Chamber",24,11,"45.83"
"liazzi","Liberty","Neon",24,11,"45.83"
"Yacine","Guild Esports","Jett",24,11,"45.83"
"trexx","Guild Esports","Neon",24,11,"45.83"
"JessieVash","Team Secret","Breach",24,11,"45.83"
"Defectio","ややーず (ex)","Jett",24,11,"45.83"
"ShahZaM","Sentinels (ex)","Breach",24,11,"45.83"
"Brinks","Gamelanders Blue (si)","Fade",24,11,"45.83"
"gio","Movistar Optix","Reyna",24,11,"45.83"
"Quick","FURIA","Neon",24,11,"45.83"
"GLAB zey","NAOS Esports (ex)","Chamber",24,11,"45.83"
"SungJin","CNJ Esports (ex)","Jett",24,11,"45.83"
"Ethan","NRG Esports (ex)","Sova",24,11,"45.83"
"Hoody","G2 Esports (Inactive) (ex)","Neon",24,11,"45.83"
"Kr1stal","BLUE BEES.ESP (ex)","Skye",24,11,"45.83"
"Boostio","Evil Geniuses","Jett",24,11,"45.83"
"TenZ","Sentinels","Yoru",24,11,"45.83"
"xand","Ninjas in Pyjamas (ex)","KAY/O",24,11,"45.83"
"s0m","NRG Esports","Chamber",24,11,"45.83"
"Leo","Guild Esports (ex)","Viper",24,11,"45.83"
"gob b","BIG (ex)","Sage",24,11,"45.83"
"Boostio","Evil Geniuses","Cypher",48,22,"45.83"
"dinkzj","Natus Vincere (ex)","Fade",48,22,"45.83"
"s0m","NRG Esports","Omen",118,54,"45.76"
"Shyy","Leviatán","Skye",70,32,"45.71"
"Akame","Jadeite","Sova",35,16,"45.71"
"TENNN","ZETA DIVISION","Skye",81,37,"45.68"
"eeiu","NRG Esports (ex)","Fade",127,58,"45.67"
"Amaterasu","Velocity Gaming","KAY/O",92,42,"45.65"
"Moves","Team T5 (ex)","Raze",46,21,"45.65"
"wannafly","Made in Thailand","Killjoy",92,42,"45.65"
"Wenty","GoNGo Prince (ex)","Killjoy",46,21,"45.65"
"Hoody","G2 Esports (Inactive) (ex)","KAY/O",46,21,"45.65"
"Famouz","Persija Esports (ex)","Skye",46,21,"45.65"
"Twisten","BIG (ex)","Raze",103,47,"45.63"
"Marved","OpTic Gaming","Astra",366,167,"45.63"
"YaBoiLewis","FOKUS","KAY/O",68,31,"45.59"
"QutionerX","BBL Esports","Chamber",68,31,"45.59"
"foxz","XERXIA Esports (ex)","Sova",79,36,"45.57"
"DaeGi","Tartarus (ex)","Jett",112,51,"45.54"
"dinkzj","Natus Vincere (ex)","Cypher",112,51,"45.54"
"corey","TSM (ex)","Chamber",66,30,"45.45"
"effys","Version1 (Inactive) (ex)","Breach",44,20,"45.45"
"Hate","DAMWON Gaming (ex)","Breach",110,50,"45.45"
"asteriskk","Persija Esports","Brimstone",119,54,"45.38"
"hazed","NRG Esports (ex)","Astra",97,44,"45.36"
"noxxy","Alter Ego (si)","Chamber",75,34,"45.33"
"Zyppan","FunPlus Phoenix (ex)","Skye",64,29,"45.31"
"Cloud","Natus Vincere (ex)","Raze",64,29,"45.31"
"Bangnan","DAMWON Gaming (ex)","Chamber",64,29,"45.31"
"nukkye","G2 Esports (Inactive) (ex)","Raze",128,58,"45.31"
"keznit","KRÜ Esports (ex)","Chamber",53,24,"45.28"
"mazin","FURIA","Raze",95,43,"45.26"
"Luke","World Game Star","Killjoy",95,43,"45.26"
"TORANECO","BLUE BEES.ESP (ex)","Omen",42,19,"45.24"
"d3ffo","M3 Champions (ex)","KAY/O",84,38,"45.24"
"deigara","9z Team","Breach",84,38,"45.24"
"Medusa","REJECT (ex)","Killjoy",42,19,"45.24"
"FNS","OpTic Gaming (ex)","Breach",230,104,"45.22"
"HANLING","9z Team (ex)","Skye",73,33,"45.21"
"ban","Knights (ex)","Jett",62,28,"45.16"
"Secret","Desperado (ex)","Raze",113,51,"45.13"
"Moves","Maru Gaming (ex)","Breach",82,37,"45.12"
"murizzz","Keyd Stars (ex)","Neon",60,27,"45.00"
"ShahZaM","Sentinels (ex)","Sova",158,71,"44.94"
"godko","Desperado (ex)","Skye",49,22,"44.90"
"WIX","Maru Gaming (ex)","Chamber",116,52,"44.83"
"kon4n","TBK Esports (ex)","Breach",96,43,"44.79"
"fl1pzjder","BOOM Esports (ex)","Viper",67,30,"44.78"
"Asuna","100 Thieves","Raze",67,30,"44.78"
"Khalil","FURIA","Chamber",114,51,"44.74"
"Derrek","100 Thieves","Fade",76,34,"44.74"
"koldamenta","Guild Esports","Astra",170,76,"44.71"
"Alfajer","FNATIC","Sage",47,21,"44.68"
"Kongared","Made in Thailand","Breach",47,21,"44.68"
"XXiF","Knights (ex)","Sage",112,50,"44.64"
"blaZek1ng","BOOM Esports","Fade",65,29,"44.62"
"JUGi","FOKUS","Jett",83,37,"44.58"
"Turko","BBL Esports","Sage",110,49,"44.55"
"Bonecold","Acend (ex)","Brimstone",54,24,"44.44"
"pAura","BBL Esports (ex)","Cypher",36,16,"44.44"
"SEVERiNE","Onic Esports (ex)","Chamber",72,32,"44.44"
"SiuFatBB","Griffin E-Sports","Jett",36,16,"44.44"
"MAGNUM","FNATIC (ex)","Viper",99,44,"44.44"
"poised","Rise (ex)","Cypher",63,28,"44.44"
"dicey","FaZe Clan","Chamber",237,105,"44.30"
"Tuli","Movistar Optix (ex)","Jett",113,50,"44.25"
"AvovA","G2 Esports (Inactive) (ex)","Brimstone",52,23,"44.23"
"jzz","MIBR","Raze",43,19,"44.19"
"Maverick","Stars Horizon (ex)","Omen",43,19,"44.19"
"HaReeee","REJECT (ex)","Chamber",43,19,"44.19"
"JinboongE","Brimstone (ex)","Skye",43,19,"44.19"
"rion","Crazy Raccoon","Cypher",43,19,"44.19"
"tex","NRG Esports (ex)","KAY/O",68,30,"44.12"
"pyth","Bleed Esports (ex)","Cypher",59,26,"44.07"
"neT","The Guard","Viper",84,37,"44.05"
"myssen","Liberty","Breach",75,33,"44.00"
"Minty","FAV gaming","Skye",125,55,"44.00"
"NicoMachine","Meta Gaming (ex)","KAY/O",66,29,"43.94"
"Torrify","FUSION (ex)","Raze",66,29,"43.94"
"Destrian","OG LDN UTD (ex)","Fade",148,65,"43.92"
"fl1pzjder","BOOM Esports (ex)","Skye",41,18,"43.90"
"Exy","DAMWON Gaming","Skye",41,18,"43.90"
"Subroza","TSM (ex)","Skye",73,32,"43.84"
"Starxo","Acend","Neon",89,39,"43.82"
"Rain","CNJ Esports","Raze",112,49,"43.75"
"Klaus","KRÜ Esports","Sova",48,21,"43.75"
"Rabbet","Rex Regum Qeon","Fade",39,17,"43.59"
"TENSAI","FENNEL (ex)","Sage",39,17,"43.59"
"Fantasy","Team T5","Omen",177,77,"43.50"
"JitboyS","FW Esports (ex)","Chamber",23,10,"43.48"
"K1LLERS","Fancy United Esports (ex)","Jett",23,10,"43.48"
"Boo","LDN UTD (ex)","KAY/O",46,20,"43.48"
"Rossy","TSM (ex)","Sova",23,10,"43.48"
"Art","Sengoku Gaming (ex)","Brimstone",23,10,"43.48"
"Nivera","Team Liquid (ex)","Brimstone",23,10,"43.48"
"D1E","Movistar Optix","Astra",23,10,"43.48"
"Wonjina","Next eSports","Skye",23,10,"43.48"
"D1E","Meta Gaming (ex)","Sage",23,10,"43.48"
"ardiis","FunPlus Phoenix (ex)","Breach",23,10,"43.48"
"sushiboys","XERXIA Esports (ex)","Sova",23,10,"43.48"
"JhoW","Keyd Stars (ex)","Viper",23,10,"43.48"
"TenzouEz","DeToNator (ex)","Skye",23,10,"43.48"
"Estrella","Desperado (ex)","Viper",23,10,"43.48"
"curry","Cloud9 (ex)","Omen",23,10,"43.48"
"crws","XERXIA Esports (ex)","Astra",23,10,"43.48"
"MOLSI","LDN UTD (ex)","Raze",23,10,"43.48"
"Subroza","TSM (ex)","Astra",23,10,"43.48"
"Nozwerr","FURIA (ex)","KAY/O",23,10,"43.48"
"Brinks","Gamelanders Blue (si)","KAY/O",23,10,"43.48"
"Secret","Desperado (ex)","Skye",23,10,"43.48"
"luckeRRR","BIG (ex)","Omen",46,20,"43.48"
"mixwell","G2 Esports (Inactive) (ex)","KAY/O",46,20,"43.48"
"Kiuuuu","Oblivion Force","Killjoy",23,10,"43.48"
"luckeRRR","BIG (ex)","Omen",46,20,"43.48"
"TiGG","Shopify Rebellion (ex)","Sage",23,10,"43.48"
"Mistic","FNATIC (ex)","KAY/O",46,20,"43.48"
"Starxo","Acend","Omen",23,10,"43.48"
"Brofeld","Jadeite","Chamber",23,10,"43.48"
"pr0xy","Spear Gaming (ex)","Yoru",23,10,"43.48"
"Khalil","FURIA","Cypher",23,10,"43.48"
"v1xen","Keyd Stars (ex)","Astra",23,10,"43.48"
"zekken","XSET (ex)","Sage",46,20,"43.48"
"CHIMEI","Oblivion Force","Chamber",23,10,"43.48"
"popogachi","Crazy Raccoon","Skye",23,10,"43.48"
"trexx","Guild Esports","Chamber",23,10,"43.48"
"bmVz","Fancy United Esports (ex)","Skye",23,10,"43.48"
"FuriousMeow","Oblivion Force","Omen",23,10,"43.48"
"hsk","DetonatioN Gaming White","KAY/O",23,10,"43.48"
"DaeGi","Tartarus (si)","Raze",23,10,"43.48"
"wannafly","Made in Thailand","Sage",23,10,"43.48"
"Redgar","M3 Champions","Brimstone",46,20,"43.48"
"Astell","Crazy Raccoon","Astra",23,10,"43.48"
"Teerapong","FW Esports","Skye",46,20,"43.48"
"SylFy","Jadeite (ex)","Omen",23,10,"43.48"
"Redgar","M3 Champions (ex)","Brimstone",46,20,"43.48"
"Benecia","CNJ Esports","Astra",23,10,"43.48"
"mwzera","Keyd Stars (ex)","KAY/O",23,10,"43.48"
"musashi","BIG (ex)","Fade",23,10,"43.48"
"wippie","Version1 (Inactive) (ex)","Viper",23,10,"43.48"
"TENNN","ZETA DIVISION","Killjoy",23,10,"43.48"
"Has1ra14","CNJ Esports","Neon",23,10,"43.48"
"something","Sengoku Gaming","Chamber",23,10,"43.48"
"badsitoww","Meta Gaming (ex)","Reyna",23,10,"43.48"
"blaZek1ng","BOOM Esports","Omen",23,10,"43.48"
"shroud","Sentinels","Astra",23,10,"43.48"
"ParkJJong","Tartarus (si)","Fade",23,10,"43.48"
"fl1pzjder","BOOM Esports (ex)","Fade",23,10,"43.48"
"zennakukinn","BLUE BEES.ESP (ex)","Sage",23,10,"43.48"
"Meddo","G2 Esports (Inactive) (ex)","Sova",23,10,"43.48"
"Siro","looking for a name (ex)","Breach",23,10,"43.48"
"soulcas","Team Liquid","Breach",23,10,"43.48"
"chase","Gamelanders Blue (ex)","Sova",23,10,"43.48"
"Tuli","Movistar Optix (ex)","Neon",46,20,"43.48"
"Lawrence","GoNGo Prince","Reyna",23,10,"43.48"
"Sơn KeKe","Fancy United Esports (ex)","Viper",23,10,"43.48"
"L1NK","Acend (ex)","Skye",23,10,"43.48"
"Jady","Natus Vincere (ex)","Viper",23,10,"43.48"
"foxz","XERXIA Esports (ex)","Yoru",23,10,"43.48"
"Mazino","KRÜ Esports (ex)","Skye",76,33,"43.42"
"Chronicle","M3 Champions (ex)","Brimstone",194,84,"43.30"
"Chronicle","M3 Champions (ex)","Brimstone",194,84,"43.30"
"GwangUh","Tartarus (ex)","Breach",37,16,"43.24"
"QutionerX","BBL Esports","Neon",74,32,"43.24"
"roseaufy","Persija Esports","Sova",37,16,"43.24"
"SUTHER","9z Team (ex)","Killjoy",111,48,"43.24"
"YRSelect","Griffin E-Sports (si)","Astra",81,35,"43.21"
"Fuzari","Gamelanders Blue (ex)","Killjoy",44,19,"43.18"
"TiGG","Luminosity Gaming (ex)","Omen",132,57,"43.18"
"mada","Luminosity Gaming (ex)","Skye",95,41,"43.16"
"Sushi","EBRO Gaming (ex)","Killjoy",58,25,"43.10"
"valyn","The Guard (ex)","Omen",246,106,"43.09"
"valyn","The Guard","Omen",246,106,"43.09"
"bezn1","Ninjas in Pyjamas (ex)","KAY/O",144,62,"43.06"
"Obnoks","BIG (ex)","Chamber",56,24,"42.86"
"SUTHER","9z Team (ex)","Sage",35,15,"42.86"
"alyaL","CERBERUS Esports (ex)","Skye",42,18,"42.86"
"Khalil","FURIA","Reyna",49,21,"42.86"
"Derke","FNATIC","Jett",35,15,"42.86"
"Kanpeki","Sentinels (ex)","KAY/O",75,32,"42.67"
"Rain","CNJ Esports","KAY/O",68,29,"42.65"
"luckeRRR","BIG (ex)","Fade",122,52,"42.62"
"KimGyuTae","Desperado","Reyna",61,26,"42.62"
"luckeRRR","BIG (ex)","Fade",122,52,"42.62"
"Fung3","Griffin E-Sports","Chamber",61,26,"42.62"
"Jinggg","Paper Rex","KAY/O",47,20,"42.55"
"jcStani","100 Thieves (ex)","Chamber",47,20,"42.55"
"Leo","Guild Esports (ex)","Breach",47,20,"42.55"
"Holbreak","EBRO Gaming (ex)","Skye",188,80,"42.55"
"olzerr","PAMPAS (ex)","Omen",47,20,"42.55"
"prozin","Sharks Esports","Breach",40,17,"42.50"
"LEXY","Bleed Esports (si)","Breach",40,17,"42.50"
"ANGE1","FunPlus Phoenix (ex)","KAY/O",40,17,"42.50"
"AsLanM4shadoW","BBL Esports","Chamber",73,31,"42.47"
"crws","XERXIA Esports (ex)","KAY/O",106,45,"42.45"
"D1E","Movistar Optix","Killjoy",66,28,"42.42"
"Kr1stal","BLUE BEES.ESP (ex)","Chamber",59,25,"42.37"
"ANGE1","FunPlus Phoenix (ex)","Yoru",111,47,"42.34"
"BcJ","XSET (ex)","Sova",104,44,"42.31"
"Lok1","CERBERUS Esports (ex)","Astra",149,63,"42.28"
"shion","Liberty (ex)","KAY/O",45,19,"42.22"
"SkRossi","Global Esports","Chamber",45,19,"42.22"
"Feniz","E-Xolos LAZER","Killjoy",45,19,"42.22"
"Hiko","100 Thieves (ex)","Viper",45,19,"42.22"
"Delta","Maru Gaming (ex)","Breach",45,19,"42.22"
"jawgemo","Evil Geniuses","Raze",64,27,"42.19"
"Kishi","CERBERUS Esports (ex)","Breach",114,48,"42.11"
"Phantom","FAV gaming","Viper",57,24,"42.11"
"Vibhor","Velocity Gaming (ex)","Omen",69,29,"42.03"
"10X","HolyMolly (ex)","Brimstone",69,29,"42.03"
"supamen","FaZe Clan","Astra",81,34,"41.98"
"artn","Gaimin Gladiators (ex)","Omen",62,26,"41.94"
"david","PAMPAS (ex)","Raze",86,36,"41.86"
"RND","Los Grandes (ex)","Chamber",86,36,"41.86"
"chase","Gamelanders Blue (ex)","KAY/O",153,64,"41.83"
"bazz","FAV gaming","Astra",79,33,"41.77"
"JoXJo","NORTHEPTION (ex)","Breach",151,63,"41.72"
"10X","HolyMolly (ex)","Chamber",36,15,"41.67"
"WIX","Maru Gaming (ex)","Fade",36,15,"41.67"
