"Ign","Team","Agent","Rounds","Wins","Percentage"
"Xeppaa","Cloud9","Skye",38,23,"60.53"
"Shiro","Onic Esports (ex)","Sova",38,23,"60.53"
"Derrek","100 Thieves","Sage",81,49,"60.49"
"Famouz","BOOM Esports (ex)","Sova",43,26,"60.47"
"Sơn KeKe","Fancy United Esports (ex)","KAY/O",43,26,"60.47"
"tixx","Bonkers(OCE) (ex)","Brimstone",43,26,"60.47"
"Nozz","Bonkers(OCE) (ex)","Raze",43,26,"60.47"
"Russ","Guild Esports (ex)","Sage",134,81,"60.45"
"stellar","100 Thieves","Viper",131,79,"60.31"
"Lmemore","Onic Esports (ex)","Chamber",103,62,"60.19"
"Astell","Crazy Raccoon","Killjoy",138,83,"60.14"
"adverso","Leviatán (ex)","Viper",105,63,"60.00"
"noxxy","Alter Ego (si)","Fade",40,24,"60.00"
"Maple","ORDER (ex)","Skye",35,21,"60.00"
"ANGE1","FunPlus Phoenix (ex)","Viper",65,39,"60.00"
"keznit","KRÜ Esports (ex)","KAY/O",85,51,"60.00"
"NcSlasher","Onic Esports (ex)","Astra",122,73,"59.84"
"vaiZ","Leviatán (ex)","Cypher",119,71,"59.66"
"foxz","XERXIA Esports (ex)","Fade",94,56,"59.57"
"WRONSKI","ORDER (ex)","Jett",37,22,"59.46"
"Shyy","Leviatán","KAY/O",133,79,"59.40"
"flippy","South Built Esports (ex)","Breach",59,35,"59.32"
"zepher","REJECT (ex)","Chamber",59,35,"59.32"
"Alfajer","FNATIC","Killjoy",167,99,"59.28"
"BerserX","BOOM Esports","Chamber",54,32,"59.26"
"Laz","ZETA DIVISION","Chamber",336,199,"59.23"
"kiNgg","Leviatán","Neon",225,133,"59.11"
"Envy","FENNEL (ex)","Killjoy",22,13,"59.09"
"Mizu","9z Team","Jett",22,13,"59.09"
"AslaN","BIG (ex)","Brimstone",22,13,"59.09"
"Medusa","Crest Gaming ZST (si)","Neon",22,13,"59.09"
"Eugene","DAMWON Gaming","Raze",22,13,"59.09"
"mnz","IXA","Sage",22,13,"59.09"
"MOLSI","OG LDN UTD (ex)","Sova",22,13,"59.09"
"Moves","Maru Gaming (ex)","Sova",22,13,"59.09"
"musashi","BIG (ex)","Chamber",22,13,"59.09"
"Melser","Leviatán (ex)","Sage",22,13,"59.09"
"Starxo","Acend","Chamber",22,13,"59.09"
"Starxo","Acend","Raze",22,13,"59.09"
"takej","Crest Gaming ZST (si)","Astra",22,13,"59.09"
"mada","Luminosity Gaming (ex)","Jett",22,13,"59.09"
"Dreamas","Team Liquid (ex)","Sage",44,26,"59.09"
"AvovA","G2 Esports (Inactive) (ex)","KAY/O",22,13,"59.09"
"valyn","The Guard","Brimstone",44,26,"59.09"
"frz","Sharks Esports (ex)","Killjoy",22,13,"59.09"
"valyn","The Guard (ex)","Brimstone",44,26,"59.09"
"skrawl","Bonkers(OCE) (ex)","Viper",44,26,"59.09"
"SicK","Sentinels (ex)","Raze",22,13,"59.09"
"Leo","Guild Esports (ex)","Chamber",22,13,"59.09"
"heat","Keyd Stars (ex)","Jett",110,65,"59.09"
"B1ngSu","Veronica7","Chamber",22,13,"59.09"
"sheydos","Gambit Esports (ex)","KAY/O",22,13,"59.09"
"dephh","XSET (ex)","Sage",22,13,"59.09"
"SEIDER","FunPlus Phoenix (si)","Omen",44,26,"59.09"
"BcJ","XSET (ex)","Breach",22,13,"59.09"
"Kaminari","Hexad (ex)","Reyna",22,13,"59.09"
"sushiboys","XERXIA Esports (ex)","Raze",22,13,"59.09"
"CTC","Los Grandes (ex)","Yoru",22,13,"59.09"
"trexx","Guild Esports","Killjoy",22,13,"59.09"
"TiGG","Luminosity Gaming (ex)","Sova",22,13,"59.09"
"s0m","NRG Esports","Raze",44,26,"59.09"
"RyZzi","Desperado (ex)","Jett",22,13,"59.09"
"Reita","Crest Gaming ZST (si)","Fade",22,13,"59.09"
"rez1v","Storks Phalanx","Cypher",22,13,"59.09"
"d4v41","Paper Rex","KAY/O",22,13,"59.09"
"penny","Version1 (Inactive) (ex)","Jett",83,49,"59.04"
"stax","DRX","Breach",144,85,"59.03"
"Zander","Version1 (Inactive) (ex)","Astra",61,36,"59.02"
"blaZek1ng","BOOM Esports","Astra",112,66,"58.93"
"Benkai","Paper Rex","Sage",58,34,"58.62"
"Yun","Pentagon","Skye",41,24,"58.54"
"popogachi","Crazy Raccoon","Sova",328,192,"58.54"
"takej","REJECT (ex)","Reyna",65,38,"58.46"
"Rb","DRX","Neon",142,83,"58.45"
"PTC","FULL SENSE (ex)","Skye",151,88,"58.28"
"SUYGETSU","FunPlus Phoenix (ex)","Killjoy",134,78,"58.21"
"Meiy","Crazy Raccoon","Skye",122,71,"58.20"
"AloNeFillz","Made in Thailand","Sage",122,71,"58.20"
"MaKo","DRX","Astra",299,174,"58.19"
"zunba","On Sla2ers (ex)","Brimstone",86,50,"58.14"
"Tacolilla","Leviatán","Chamber",222,129,"58.11"
"soulcas","Team Liquid","Fade",265,154,"58.11"
"bezn1","Ninjas in Pyjamas (ex)","Killjoy",136,79,"58.09"
"iNTRO","DAMWON Gaming (si)","Omen",62,36,"58.06"
"braveaf","FNATIC (ex)","Sage",62,36,"58.06"
"Derke","FNATIC","Raze",62,36,"58.06"
"Victor","OpTic Gaming (ex)","Raze",62,36,"58.06"
"d4v41","Paper Rex","Sage",81,47,"58.02"
"Kr1stal","BLUE BEES.ESP (ex)","Sage",69,40,"57.97"
"Redgar","M3 Champions (ex)","Omen",195,113,"57.95"
"Redgar","M3 Champions","Omen",195,113,"57.95"
"Delz1k","KRÜ Esports (ex)","Omen",76,44,"57.89"
"Hate","DAMWON Gaming (ex)","Sage",38,22,"57.89"
"neT","The Guard","Breach",83,48,"57.83"
"Zest","DRX","Sova",332,192,"57.83"
"Monyet","Onic Esports (ex)","Jett",109,63,"57.80"
"baddyG","FunPlus Phoenix (ex)","Astra",45,26,"57.78"
"Witz","Team Secret (ex)","Skye",45,26,"57.78"
"Tacolilla","Leviatán","Jett",45,26,"57.78"
"matheuzin","TBK Esports","Sage",45,26,"57.78"
"Luke","World Game Star","Breach",71,41,"57.75"
"adverso","Leviatán (ex)","Sova",227,131,"57.71"
"Enzo","FNATIC (ex)","Fade",189,109,"57.67"
"Esperanza","DAMWON Gaming","Sova",111,64,"57.66"
"kiNgg","Leviatán","KAY/O",111,64,"57.66"
"ScreaM","Team Liquid (ex)","Raze",281,162,"57.65"
"bdog","Luminosity Gaming (ex)","Chamber",85,49,"57.65"
