"Team","Map","Comp","Picks"
"100 Thieves","Split","Astra, Chamber, Raze, Skye, Viper",1
"100 Thieves","Split","Cypher, Omen, Raze, Sage, Skye",1
"9z Team","Ascent","Chamber, Fade, KAY/O, Omen, Raze",1
"9z Team","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"9z Team","Ascent","Jett, Killjoy, Omen, Reyna, Sova",1
"9z Team","Bind","Breach, Brimstone, Raze, Sage, Sova",1
"9z Team","Bind","Breach, Brimstone, Raze, Skye, Viper",1
"9z Team","Breeze","Chamber, Fade, KAY/O, Sova, Viper",1
"9z Team","Breeze","Chamber, KAY/O, Skye, Sova, Viper",1
"9z Team","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"9z Team","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"9z Team","Split","Breach, Chamber, Omen, Raze, Skye",1
"Acend","Bind","Brimstone, KAY/O, Raze, Skye, Viper",1
"Acend","Breeze","Astra, Chamber, KAY/O, Sova, Viper",1
"Acend","Breeze","Jett, Omen, Skye, Sova, Viper",1
"Acend","Fracture","Breach, Brimstone, Chamber, Jett, Viper",1
"Acend","Haven","Breach, Chamber, Fade, Omen, Raze",1
"Acend","Haven","Breach, Fade, Jett, Killjoy, Omen",1
"Acend","Split","Breach, Chamber, Cypher, Omen, Raze",1
"Acend","Split","Chamber, Cypher, Omen, Raze, Sage",1
"Alter Ego","Haven","Cypher, Neon, Omen, Reyna, Skye",1
"Alter Ego","Icebox","Chamber, KAY/O, Raze, Sova, Viper",1
"Alter Ego","Split","Cypher, Fade, KAY/O, Omen, Raze",1
"Alter Ego","Split","Cypher, Fade, Omen, Raze, Skye",1
"AWS","Ascent","Astra, Cypher, Jett, Reyna, Sova",1
"AWS","Haven","Astra, Cypher, Jett, Skye, Sova",1
"BBL Esports","Ascent","Astra, Chamber, KAY/O, Sage, Sova",1
"BBL Esports","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"BBL Esports","Bind","Brimstone, Chamber, Sage, Skye, Viper",1
"BBL Esports","Breeze","Chamber, KAY/O, Neon, Sova, Viper",1
"BBL Esports","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"BBL Esports","Haven","Breach, Chamber, Jett, Omen, Sova",1
"BBL Esports","Haven","Breach, Fade, Jett, Killjoy, Omen",1
"BBL Esports","Icebox","Jett, Killjoy, Sage, Sova, Viper",1
"BBL Esports","Split","Astra, Breach, Cypher, Jett, Sage",1
"BBL Esports","Split","Breach, Chamber, Omen, Raze, Sage",1
"BIG","Ascent","Astra, Cypher, Jett, KAY/O, Sova",1
"BIG","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"BIG","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"BIG","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"BIG","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"BIG","Split","Astra, Cypher, Jett, Sage, Skye",1
"Bleed Esports","Ascent","Fade, Jett, KAY/O, Omen, Sage",1
"Bleed Esports","Breeze","Astra, Chamber, Skye, Sova, Viper",1
"Bleed Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Bleed Esports","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"Bleed Esports","Fracture","Breach, Brimstone, Chamber, Jett, Raze",1
"Bleed Esports","Fracture","Breach, Chamber, Neon, Raze, Viper",1
"Bleed Esports","Haven","Cypher, Jett, Omen, Skye, Sova",1
"Bleed Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Bleed Esports","Icebox","Cypher, Jett, Sage, Sova, Viper",1
"Bleed Esports","Split","Breach, Brimstone, Cypher, Jett, Sage",1
"Bleed Esports","Split","Jett, Killjoy, Omen, Raze, Sage",1
"BLUE BEES.ESP","Ascent","Astra, Cypher, Jett, KAY/O, Sova",1
"BLUE BEES.ESP","Ascent","Fade, Jett, KAY/O, Omen, Sage",1
"BLUE BEES.ESP","Bind","Astra, Jett, Skye, Sova, Viper",1
"BLUE BEES.ESP","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"BLUE BEES.ESP","Haven","Breach, Chamber, Omen, Raze, Skye",1
"Bonkers(OCE)","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Bonkers(OCE)","Fracture","Astra, Breach, Cypher, Raze, Viper",1
"Bonkers(OCE)","Split","Astra, Raze, Sage, Skye, Viper",1
"BOOM Esports","Bind","Breach, Brimstone, Chamber, Neon, Skye",1
"BOOM Esports","Bind","Brimstone, Chamber, Raze, Skye, Viper",1
"BOOM Esports","Bind","Brimstone, Jett, Skye, Sova, Viper",1
"BOOM Esports","Fracture","Breach, Brimstone, Chamber, Neon, Raze",1
"BOOM Esports","Haven","Astra, Breach, Cypher, Jett, Sova",1
"BOOM Esports","Haven","Breach, Chamber, Neon, Omen, Skye",1
"BOOM Esports","Haven","Breach, Chamber, Neon, Omen, Sova",1
"BOOM Esports","Pearl","Chamber, Fade, Neon, Omen, Viper",1
"BOOM Esports","Split","Astra, Killjoy, Raze, Sage, Skye",1
"BOOM Esports","Split","Chamber, Fade, Omen, Raze, Viper",1
"Brimstone","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"Brimstone","Bind","Astra, Raze, Sage, Skye, Viper",1
"Brimstone","Haven","Astra, Breach, Chamber, Jett, Skye",1
"Brimstone","Split","Astra, KAY/O, Raze, Sage, Viper",1
"CERBERUS Esports","Ascent","Astra, Chamber, Fade, KAY/O, Raze",1
"CERBERUS Esports","Ascent","Breach, Chamber, Jett, Omen, Sova",1
"CERBERUS Esports","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"CERBERUS Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"CERBERUS Esports","Split","Astra, Breach, Chamber, Raze, Sage",1
"Cloud9","Ascent","Astra, Chamber, Fade, Jett, KAY/O",1
"Cloud9","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"Cloud9","Ascent","Chamber, Jett, KAY/O, Omen, Sova",1
"Cloud9","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"Cloud9","Bind","Breach, Brimstone, Raze, Sova, Viper",1
"Cloud9","Breeze","Cypher, KAY/O, Neon, Sova, Viper",1
"Cloud9","Haven","Breach, Chamber, Fade, Omen, Raze",1
"Cloud9","Haven","Breach, Chamber, Jett, Omen, Skye",1
"Cloud9","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Cloud9","Split","Astra, Breach, Chamber, Killjoy, Raze",1
"Cloud9","Split","Breach, Chamber, KAY/O, Omen, Raze",1
"Cloud9","Split","Breach, Chamber, Killjoy, Omen, Raze",1
"CNJ Esports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"CNJ Esports","Bind","Astra, Breach, Jett, Killjoy, Sova",1
"CNJ Esports","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"CNJ Esports","Haven","Astra, Breach, Chamber, Neon, Skye",1
"CNJ Esports","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"Crazy Raccoon","Ascent","Fade, KAY/O, Killjoy, Omen, Raze",1
"Crazy Raccoon","Bind","Astra, Breach, Chamber, Jett, Sova",1
"Crazy Raccoon","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Crazy Raccoon","Fracture","Astra, Breach, Chamber, Jett, Skye",1
"Crazy Raccoon","Haven","Astra, Chamber, Jett, Reyna, Sova",1
"Crazy Raccoon","Haven","Breach, Killjoy, Omen, Raze, Skye",1
"Crazy Raccoon","Icebox","Chamber, KAY/O, Sage, Sova, Viper",1
"Crazy Raccoon","Split","Jett, Killjoy, Omen, Sage, Skye",1
"Crest Gaming ZST","Ascent","Jett, Killjoy, Omen, Skye, Sova",1
"Crest Gaming ZST","Bind","Astra, Chamber, Raze, Sage, Skye",1
"Crest Gaming ZST","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Crest Gaming ZST","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"Crest Gaming ZST","Fracture","Astra, Breach, Chamber, Fade, Neon",1
"Crest Gaming ZST","Haven","Breach, Brimstone, Jett, Killjoy, Skye",1
"Crest Gaming ZST","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"Crest Gaming ZST","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"DAMWON Gaming","Ascent","Breach, Chamber, KAY/O, Omen, Sova",1
"DAMWON Gaming","Ascent","Fade, Jett, KAY/O, Omen, Sova",1
"DAMWON Gaming","Bind","Astra, Chamber, Raze, Skye, Viper",1
"DAMWON Gaming","Bind","Astra, Jett, Sage, Skye, Viper",1
"DAMWON Gaming","Bind","Breach, Brimstone, Chamber, Jett, Skye",1
"DAMWON Gaming","Bind","Breach, Brimstone, Raze, Sage, Skye",1
"DAMWON Gaming","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"DAMWON Gaming","Breeze","Astra, Chamber, KAY/O, Sova, Viper",1
"DAMWON Gaming","Fracture","Astra, Breach, Chamber, Cypher, Neon",1
"DAMWON Gaming","Fracture","Astra, Breach, Cypher, Jett, Viper",1
"DAMWON Gaming","Haven","Breach, Chamber, Neon, Omen, Sova",1
"DAMWON Gaming","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"DAMWON Gaming","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"DAMWON Gaming","Split","Astra, Jett, Reyna, Sage, Viper",1
"Desperado","Ascent","Astra, Jett, Raze, Reyna, Sova",1
"Desperado","Ascent","Astra, Jett, Reyna, Sage, Sova",1
"Desperado","Bind","Astra, Breach, Jett, Raze, Sova",1
"Desperado","Bind","Astra, Jett, KAY/O, Neon, Skye",1
"Desperado","Bind","Astra, Jett, KAY/O, Neon, Sova",1
"Desperado","Bind","Astra, Jett, Neon, Raze, Skye",1
"Desperado","Bind","Astra, Jett, Neon, Reyna, Sova",1
"Desperado","Bind","Astra, Raze, Skye, Sova, Viper",1
"Desperado","Breeze","Chamber, Jett, Reyna, Sova, Viper",1
"Desperado","Breeze","Jett, Neon, Reyna, Sova, Viper",1
"Desperado","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"Desperado","Haven","Astra, Cypher, Jett, Raze, Reyna",1
"Desperado","Haven","Astra, Jett, Killjoy, Raze, Skye",1
"Desperado","Split","Astra, Jett, KAY/O, Reyna, Skye",1
"DetonatioN Gaming White","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"DetonatioN Gaming White","Breeze","Jett, Reyna, Skye, Sova, Viper",1
"DetonatioN Gaming White","Fracture","Astra, Breach, Cypher, Raze, Sage",1
"DetonatioN Gaming White","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"DeToNator","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"DeToNator","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"DeToNator","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"DRX","Ascent","Astra, Fade, Jett, KAY/O, Killjoy",1
"DRX","Bind","Astra, Chamber, Raze, Skye, Viper",1
"DRX","Bind","Astra, Fade, Raze, Skye, Viper",1
"DRX","Bind","Astra, Raze, Sage, Skye, Viper",1
"DRX","Bind","Astra, Raze, Skye, Sova, Viper",1
"DRX","Bind","Brimstone, Raze, Skye, Sova, Viper",1
"DRX","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"DRX","Fracture","Breach, Brimstone, Chamber, Neon, Sage",1
"DRX","Fracture","Breach, Brimstone, Chamber, Raze, Viper",1
"DRX","Icebox","Chamber, Fade, KAY/O, Sage, Viper",1
"DRX","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"DRX","Icebox","Jett, Killjoy, Sage, Sova, Viper",1
"DRX","Split","Astra, KAY/O, Raze, Sage, Viper",1
"DRX","Split","KAY/O, Omen, Raze, Sage, Viper",1
"EBRO Gaming","Bind","Astra, Jett, Skye, Sova, Viper",1
"EBRO Gaming","Fracture","Astra, Breach, Raze, Skye, Viper",1
"EDward Gaming","Bind","Astra, Breach, Fade, Jett, Raze",1
"EDward Gaming","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"EDward Gaming","Haven","Breach, Chamber, Fade, Jett, Omen",1
"EDward Gaming","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"EDward Gaming","Pearl","Astra, Chamber, Fade, KAY/O, Viper",1
"EVA:e","Breeze","Astra, Chamber, Skye, Sova, Viper",1
"Evil Geniuses","Ascent","Astra, Fade, KAY/O, Killjoy, Phoenix",1
"Evil Geniuses","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"Evil Geniuses","Ascent","Chamber, Fade, Jett, Omen, Sova",1
"Evil Geniuses","Ascent","Chamber, Fade, KAY/O, Omen, Sova",1
"Evil Geniuses","Ascent","Chamber, KAY/O, Omen, Raze, Sova",1
"Evil Geniuses","Bind","Breach, Brimstone, Chamber, Fade, Raze",1
"Evil Geniuses","Breeze","Chamber, KAY/O, Neon, Sova, Viper",1
"Evil Geniuses","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"Evil Geniuses","Haven","Astra, Breach, Chamber, Fade, Raze",1
"Evil Geniuses","Haven","Breach, Brimstone, Chamber, Jett, Sova",1
"Evil Geniuses","Split","Astra, Chamber, Raze, Skye, Viper",1
"E-Xolos LAZER","Ascent","Chamber, Jett, KAY/O, Omen, Sova",1
"E-Xolos LAZER","Fracture","Breach, Brimstone, Cypher, Jett, Raze",1
"E-Xolos LAZER","Haven","Chamber, Fade, KAY/O, Omen, Raze",1
"E-Xolos LAZER","Split","Jett, Omen, Raze, Skye, Viper",1
"Fancy United Esports","Ascent","Astra, Breach, Chamber, KAY/O, Omen",1
"Fancy United Esports","Bind","Astra, Chamber, Omen, Skye, Viper",1
"Fancy United Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"Fancy United Esports","Icebox","Chamber, Fade, KAY/O, Omen, Viper",1
"Fancy United Esports","Split","Astra, Breach, Chamber, Omen, Raze",1
"Fancy United Esports","Split","Astra, Breach, Neon, Raze, Viper",1
"FAV gaming","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"FAV gaming","Ascent","Astra, Jett, Killjoy, Reyna, Sova",1
"FAV gaming","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"FAV gaming","Bind","Astra, Breach, Jett, Raze, Skye",1
"FAV gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"FAV gaming","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"FAV gaming","Haven","Astra, Cypher, Jett, Reyna, Sova",1
"FAV gaming","Split","Cypher, Jett, Omen, Raze, Sage",1
"FaZe Clan","Ascent","Astra, Chamber, Jett, Skye, Sova",1
"FaZe Clan","Ascent","Chamber, KAY/O, Omen, Phoenix, Sova",1
"FaZe Clan","Fracture","Breach, Brimstone, Chamber, Fade, Raze",1
"FENNEL","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"FENNEL","Haven","Astra, Breach, Jett, Killjoy, Sova",1
"FENNEL","Icebox","Jett, Killjoy, Skye, Sova, Viper",1
"FNATIC","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"FNATIC","Bind","Astra, Raze, Skye, Sova, Viper",1
"FNATIC","Bind","Brimstone, Raze, Skye, Sova, Viper",1
"FNATIC","Breeze","Breach, Chamber, Neon, Sova, Viper",1
"FNATIC","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"FNATIC","Haven","Astra, Breach, Chamber, Fade, Raze",1
"FNATIC","Haven","Breach, Jett, Killjoy, Omen, Sova",1
"FNATIC","Icebox","Chamber, KAY/O, Sage, Sova, Viper",1
"FNATIC","Split","Omen, Raze, Sage, Skye, Viper",1
"Focus e-Sports","Bind","Astra, Chamber, Jett, Skye, Viper",1
"Focus e-Sports","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"FOKUS","Fracture","Astra, Breach, Cypher, Neon, Raze",1
"FOKUS","Icebox","Chamber, Jett, KAY/O, Sova, Viper",1
"FOKUS","Icebox","Jett, KAY/O, Killjoy, Sova, Viper",1
"FOKUS","Split","Cypher, Omen, Raze, Reyna, Sage",1
"FULL SENSE","Haven","Astra, Breach, Chamber, Jett, Sova",1
"FULL SENSE","Split","Astra, Cypher, Jett, Raze, Skye",1
"FunPlus Phoenix","Ascent","Cypher, Fade, Jett, KAY/O, Omen",1
"FunPlus Phoenix","Ascent","Cypher, Jett, Omen, Sage, Sova",1
"FunPlus Phoenix","Bind","Astra, Breach, Jett, Raze, Skye",1
"FunPlus Phoenix","Bind","Astra, Raze, Skye, Sova, Viper",1
"FunPlus Phoenix","Bind","Brimstone, Cypher, Fade, KAY/O, Raze",1
"FunPlus Phoenix","Bind","Brimstone, KAY/O, Raze, Sage, Viper",1
"FunPlus Phoenix","Bind","Cypher, Fade, KAY/O, Omen, Raze",1
"FunPlus Phoenix","Breeze","Chamber, Fade, Jett, KAY/O, Viper",1
"FunPlus Phoenix","Breeze","Chamber, Fade, KAY/O, Viper, Yoru",1
"FunPlus Phoenix","Breeze","Jett, KAY/O, Omen, Sova, Viper",1
"FunPlus Phoenix","Fracture","Astra, Breach, Cypher, Jett, Raze",1
"FunPlus Phoenix","Fracture","Astra, Breach, Cypher, Raze, Viper",1
"FunPlus Phoenix","Fracture","Astra, Breach, Cypher, Raze, Yoru",1
"FunPlus Phoenix","Haven","Breach, Chamber, Fade, Omen, Raze",1
"FunPlus Phoenix","Haven","Chamber, Omen, Raze, Sage, Sova",1
"FunPlus Phoenix","Haven","Chamber, Omen, Raze, Sova, Viper",1
"FunPlus Phoenix","Haven","Jett, KAY/O, Killjoy, Omen, Sova",1
"FunPlus Phoenix","Icebox","Jett, KAY/O, Sage, Sova, Viper",1
"FunPlus Phoenix","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"FunPlus Phoenix","Pearl","Astra, Chamber, KAY/O, Sage, Skye",1
"FunPlus Phoenix","Pearl","Cypher, Fade, Omen, Raze, Viper",1
"FunPlus Phoenix","Split","Astra, Cypher, KAY/O, Raze, Viper",1
"FunPlus Phoenix","Split","Astra, Cypher, Raze, Sova, Viper",1
"FunPlus Phoenix","Split","Breach, Cypher, Fade, Omen, Raze",1
"FunPlus Phoenix","Split","Breach, Cypher, Omen, Raze, Sage",1
"FunPlus Phoenix","Split","Cypher, KAY/O, Omen, Raze, Sage",1
"FunPlus Phoenix","Split","KAY/O, Killjoy, Omen, Raze, Viper",1
"FURIA","Ascent","Chamber, Fade, Jett, KAY/O, Omen",1
"FURIA","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"FURIA","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"FURIA","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"FURIA","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"FURIA","Haven","Breach, Chamber, Fade, Omen, Raze",1
"FURIA","Haven","Chamber, Fade, Omen, Sage, Skye",1
"FURIA","Icebox","Chamber, KAY/O, Sage, Sova, Viper",1
"FURIA","Icebox","Chamber, Omen, Reyna, Sage, Sova",1
"FURIA","Icebox","Chamber, Reyna, Sage, Sova, Viper",1
"FURIA","Split","Chamber, Fade, Omen, Raze, Sage",1
"FURIA","Split","Chamber, Jett, Omen, Raze, Sage",1
"FURIA","Split","Chamber, Omen, Raze, Sage, Skye",1
"FUSION","Ascent","Chamber, Fade, Jett, KAY/O, Omen",1
"FUSION","Bind","Brimstone, Chamber, Raze, Skye, Viper",1
"FUSION","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"FUSION","Fracture","Breach, Brimstone, Chamber, Jett, Viper",1
"FUSION","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"FUSION","Haven","Breach, Brimstone, Chamber, Jett, KAY/O",1
"FUSION","Split","Astra, Chamber, Raze, Skye, Viper",1
"FW Esports","Bind","Breach, Brimstone, Chamber, Fade, Neon",1
"FW Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"FW Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"G2 Esports (Inactive)","Ascent","Astra, Chamber, Fade, KAY/O, Raze",1
"G2 Esports (Inactive)","Ascent","Chamber, KAY/O, Omen, Raze, Sova",1
"G2 Esports (Inactive)","Ascent","Cypher, Jett, Omen, Sage, Sova",1
"G2 Esports (Inactive)","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"G2 Esports (Inactive)","Bind","Astra, Raze, Sage, Skye, Viper",1
"G2 Esports (Inactive)","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"G2 Esports (Inactive)","Fracture","Breach, Brimstone, Chamber, KAY/O, Raze",1
"G2 Esports (Inactive)","Haven","Astra, Breach, Cypher, Jett, Sova",1
"G2 Esports (Inactive)","Haven","Breach, Chamber, Omen, Raze, Skye",1
"Gaimin Gladiators","Ascent","Chamber, Jett, KAY/O, Omen, Sova",1
"Gaimin Gladiators","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"Gambit Esports","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"Gambit Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Gambit Esports","Fracture","Breach, Brimstone, Cypher, Raze, Sage",1
"Gamelanders Blue","Ascent","Astra, Chamber, Fade, KAY/O, Sova",1
"Gamelanders Blue","Haven","Astra, Chamber, Jett, KAY/O, Sova",1
"Gamelanders Blue","Haven","Astra, Cypher, Jett, KAY/O, Sova",1
"Gamelanders Blue","Haven","Breach, Cypher, Neon, Omen, Sova",1
"Gamelanders Blue","Haven","Chamber, Jett, KAY/O, Omen, Sova",1
"Gamelanders Blue","Icebox","Jett, KAY/O, Sage, Sova, Viper",1
"Gamelanders Blue","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Gamelanders Blue","Split","Astra, Chamber, Raze, Skye, Viper",1
"Gamelanders Blue","Split","Chamber, Fade, Omen, Raze, Viper",1
"Ghost Gaming","Ascent","Astra, Chamber, Fade, KAY/O, Raze",1
"Ghost Gaming","Haven","Breach, Chamber, Jett, KAY/O, Omen",1
"Global Esports","Ascent","Astra, Breach, Chamber, KAY/O, Sova",1
"Global Esports","Bind","Breach, Brimstone, Chamber, Raze, Sova",1
"Global Esports","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"Global Esports","Haven","Astra, Breach, Chamber, Raze, Sova",1
"Global Esports","Split","Breach, Chamber, Fade, Omen, Raze",1
"GoNGo Prince","Bind","Astra, Chamber, Jett, Skye, Sova",1
"GoNGo Prince","Breeze","Chamber, Jett, Reyna, Sova, Viper",1
"GoNGo Prince","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"GoNGo Prince","Fracture","Astra, Breach, Jett, Raze, Viper",1
"GoNGo Prince","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"GoNGo Prince","Haven","Astra, Breach, Jett, Killjoy, Sova",1
"GoNGo Prince","Split","Astra, Jett, Sage, Skye, Viper",1
"Griffin E-Sports","Bind","Breach, Brimstone, Fade, Raze, Yoru",1
"Griffin E-Sports","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",1
"Griffin E-Sports","Haven","Fade, Jett, KAY/O, Killjoy, Omen",1
"Griffin E-Sports","Split","Astra, Breach, Cypher, Jett, Sage",1
"Griffin E-Sports","Split","Astra, Chamber, Raze, Skye, Viper",1
"Guild Esports","Ascent","Astra, Cypher, Jett, KAY/O, Sova",1
"Guild Esports","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"Guild Esports","Bind","Brimstone, KAY/O, Raze, Skye, Viper",1
"Guild Esports","Bind","Brimstone, Raze, Sage, Skye, Sova",1
"Guild Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Guild Esports","Fracture","Astra, Breach, Chamber, Raze, Viper",1
"Guild Esports","Fracture","Astra, Breach, Cypher, Jett, Raze",1
"Guild Esports","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",1
"Guild Esports","Fracture","Breach, Brimstone, Chamber, KAY/O, Raze",1
"Guild Esports","Fracture","Breach, Brimstone, Cypher, Jett, Raze",1
"Guild Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",1
"Guild Esports","Haven","Breach, Chamber, Jett, Omen, Sova",1
"Guild Esports","Haven","Breach, Chamber, Omen, Raze, Sova",1
"Guild Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Guild Esports","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Guild Esports","Icebox","Killjoy, Raze, Sage, Sova, Viper",1
"Guild Esports","Split","Astra, Cypher, Jett, Skye, Viper",1
"Guild Esports","Split","Astra, Cypher, Raze, Skye, Viper",1
"Guild Esports","Split","Astra, KAY/O, Raze, Sage, Viper",1
"Guild Esports","Split","Chamber, Fade, Omen, Raze, Viper",1
"GyoGun","Fracture","Astra, Breach, Jett, Reyna, Viper",1
"GyoGun","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Hexad","Breeze","Chamber, Jett, Reyna, Sova, Viper",1
"Hexad","Haven","Astra, Breach, Chamber, Jett, Skye",1
"Hexad","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Hexad","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"HolyMolly","Ascent","Brimstone, KAY/O, Killjoy, Sova, Viper",1
"HolyMolly","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"HolyMolly","Ascent","KAY/O, Killjoy, Omen, Sage, Yoru",1
"HolyMolly","Bind","Astra, Breach, Jett, Reyna, Sova",1
"HolyMolly","Bind","Astra, Raze, Sage, Skye, Viper",1
"HolyMolly","Bind","Brimstone, Jett, Skye, Sova, Viper",1
"IGZIST","Ascent","Astra, Jett, Killjoy, Skye, Sova",1
"IGZIST","Bind","Astra, Jett, Raze, Skye, Viper",1
"IGZIST","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"IGZIST","Haven","Breach, Chamber, Jett, Omen, Sova",1
"IGZIST","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"IGZIST","Split","Breach, Jett, Killjoy, Omen, Sage",1
"INGAMING Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",1
"INGAMING Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Insomnia","Bind","Astra, Jett, Raze, Skye, Sova",1
"Insomnia","Fracture","Breach, Brimstone, Chamber, Jett, KAY/O",1
"Insomnia","Icebox","Chamber, Reyna, Sage, Sova, Viper",1
"IXA","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"IXA","Icebox","Jett, Killjoy, Reyna, Sova, Viper",1
"IXA","Split","Astra, Chamber, Raze, Reyna, Sage",1
"Jadeite","Ascent","Astra, Jett, Killjoy, Skye, Sova",1
"Jadeite","Ascent","Chamber, Fade, KAY/O, Omen, Sage",1
"Jadeite","Bind","Breach, Brimstone, Fade, Raze, Yoru",1
"Jadeite","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"Jadeite","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"Jadeite","Split","Breach, Cypher, Omen, Raze, Sage",1
"K2 eSports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"K2 eSports","Icebox","Jett, Raze, Sage, Sova, Viper",1
"Keyd Stars","Ascent","Chamber, Fade, KAY/O, Omen, Raze",1
"Keyd Stars","Ascent","Chamber, KAY/O, Omen, Raze, Sova",1
"Keyd Stars","Bind","Astra, Chamber, Raze, Skye, Viper",1
"Keyd Stars","Bind","Chamber, Omen, Raze, Skye, Viper",1
"Keyd Stars","Fracture","Astra, Jett, KAY/O, Killjoy, Viper",1
"Keyd Stars","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Keyd Stars","Icebox","Chamber, Killjoy, Sage, Sova, Viper",1
"Keyd Stars","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Keyd Stars","Split","Astra, Chamber, Jett, Raze, Viper",1
