,Ign,Team,Acs,Matches_x,Headshot %,Bodyshot %,Legshot %,Matches_y,Clutches,Clutch Failures,Damage,Defusals,Headshots,Kills,Deaths,Assists,Kd,Multikills,Plants,Spend,Player Id
11,Redgar,Gambit Esports (ex),203.0,5.0,41.04,55.49,3.46,5.0,0.0,7.0,16305.0,3.0,71.0,83.0,85.0,33.0,0.98,17.0,12.0,306900.0,1964
12,Dualing,Storks Phalanx (ex),291.0,4.0,29.83,64.91,5.24,4.0,0.0,7.0,17376.0,1.0,74.0,93.0,70.0,20.0,1.33,29.0,3.0,253600.0,2311
13,kobra,Sengoku Gaming (ex),281.0,7.0,29.43,66.22,4.34,7.0,3.0,5.0,21433.0,3.0,88.0,120.0,84.0,15.0,1.43,31.0,2.0,293150.0,6773
14,JohnOlsen,FULL SENSE,279.0,11.0,29.02,66.85,4.11,11.0,2.0,11.0,41671.0,8.0,155.0,242.0,173.0,33.0,1.4,65.0,5.0,641700.0,2018
15,Lightningfast,Global Esports,272.0,5.0,25.99,68.8,5.19,5.0,1.0,6.0,18876.0,1.0,85.0,100.0,85.0,18.0,1.18,25.0,1.0,290950.0,1505
16,Lakia,IGZIST (ex),269.0,19.0,25.14,68.22,6.62,19.0,4.0,28.0,62589.0,7.0,220.0,327.0,256.0,103.0,1.28,84.0,18.0,925900.0,3521
17,Rico,EVA:e (ex),268.0,3.0,29.83,70.16,0.0,3.0,0.0,11.0,11595.0,1.0,37.0,68.0,43.0,9.0,1.58,17.0,5.0,146600.0,9553
18,Foxy9,Reignite (ex),266.0,10.0,29.68,61.91,8.39,10.0,1.0,19.0,32984.0,2.0,152.0,181.0,155.0,22.0,1.17,51.0,4.0,526300.0,10573
19,something,BLUE BEES.ESP (ex),265.0,7.0,22.38,72.26,5.35,7.0,0.0,11.0,24148.0,3.0,92.0,134.0,96.0,24.0,1.4,35.0,1.0,366350.0,15518
20,something,Sengoku Gaming,223.0,4.0,17.48,77.59,4.91,4.0,2.0,11.0,11173.0,3.0,32.0,60.0,62.0,7.0,0.97,15.0,3.0,214600.0,15518
21,hsk,DetonatioN Gaming White,263.0,4.0,16.98,74.71,8.3,4.0,1.0,8.0,13225.0,2.0,45.0,70.0,50.0,33.0,1.4,19.0,2.0,209250.0,23140
22,Ssun,Spear Gaming (ex),261.0,30.0,21.54,73.65,4.8,30.0,5.0,39.0,100703.0,8.0,399.0,536.0,489.0,107.0,1.1,151.0,12.0,1606650.0,15737
23,NoMan,Oblivion Force (ex),261.0,4.0,27.65,68.61,3.72,4.0,0.0,10.0,14018.0,1.0,52.0,77.0,71.0,15.0,1.08,22.0,1.0,248050.0,10510
24,Munchkin,Crazy Raccoon (ex),259.0,26.0,25.55,69.69,4.75,26.0,5.0,26.0,85495.0,11.0,312.0,460.0,367.0,99.0,1.25,115.0,12.0,1477500.0,876
25,Meteor,NORTHEPTION (ex),259.0,40.0,24.01,70.8,5.17,40.0,13.0,56.0,133469.0,9.0,520.0,747.0,616.0,133.0,1.21,199.0,10.0,2147300.0,12341
26,CLZ,FENNEL,257.0,7.0,25.72,66.74,7.52,7.0,2.0,18.0,23482.0,7.0,106.0,133.0,94.0,55.0,1.41,37.0,7.0,367200.0,10
27,keznit,KRÜ Esports (ex),257.0,70.0,22.07,71.42,6.5,70.0,22.0,99.0,244498.0,20.0,947.0,1260.0,1048.0,394.0,1.2,344.0,28.0,3852300.0,1725
28,Vera,No Namers (ex),257.0,5.0,27.89,68.24,3.86,5.0,1.0,6.0,17006.0,3.0,65.0,85.0,79.0,21.0,1.08,20.0,1.0,249750.0,23031
29,mittiii,FENNEL (ex),256.0,7.0,18.89,74.7,6.39,7.0,0.0,6.0,22356.0,6.0,65.0,125.0,110.0,29.0,1.14,35.0,2.0,373550.0,2706
30,T3xture,DAMWON Gaming (ex),256.0,56.0,27.79,67.68,4.52,56.0,14.0,88.0,185962.0,23.0,731.0,1032.0,824.0,162.0,1.25,284.0,21.0,2913000.0,4811
31,Anthem,SCARZ (ex),254.0,5.0,22.89,70.28,6.82,5.0,1.0,5.0,17671.0,3.0,57.0,101.0,82.0,20.0,1.23,29.0,2.0,276450.0,2114
32,f0rsakeN,Paper Rex,253.0,61.0,27.59,66.42,5.98,61.0,13.0,64.0,205251.0,19.0,844.0,1136.0,937.0,215.0,1.21,316.0,47.0,3315500.0,8386
33,Alfajer,FNATIC,251.0,45.0,27.43,68.53,4.03,45.0,16.0,62.0,162034.0,26.0,701.0,845.0,665.0,221.0,1.27,211.0,34.0,2603100.0,14543
34,Jemkin,Crest Gaming ZST (ex),250.0,7.0,39.33,58.55,2.1,7.0,9.0,17.0,25709.0,2.0,131.0,148.0,110.0,20.0,1.35,38.0,2.0,413900.0,23152
35,Jemkin,BLUE BEES.ESP (ex),232.0,6.0,23.85,70.81,5.32,6.0,4.0,12.0,21740.0,7.0,94.0,104.0,104.0,24.0,1.0,25.0,4.0,375900.0,23152
36,Derke,FNATIC,250.0,65.0,26.34,69.52,4.12,65.0,15.0,78.0,226291.0,25.0,804.0,1250.0,981.0,219.0,1.27,334.0,38.0,3438050.0,2937
37,thiefy,Sengoku Gaming (ex),248.0,7.0,25.29,70.63,4.06,7.0,3.0,15.0,19315.0,4.0,87.0,107.0,73.0,21.0,1.47,27.0,3.0,279950.0,2291
38,yay,OpTic Gaming (ex),248.0,111.0,24.67,71.44,3.87,111.0,33.0,237.0,368238.0,49.0,1011.0,2081.0,1551.0,299.0,1.34,546.0,45.0,5586050.0,2716
39,oitaN,IGZIST,247.0,19.0,26.53,68.25,5.21,19.0,4.0,46.0,56090.0,6.0,229.0,311.0,236.0,77.0,1.32,78.0,14.0,848000.0,2015
40,Jinggg,Paper Rex,247.0,61.0,19.62,75.18,5.19,61.0,10.0,53.0,205856.0,15.0,775.0,1077.0,978.0,336.0,1.1,291.0,76.0,3498950.0,432
41,mwzera,Keyd Stars (ex),247.0,60.0,17.45,77.57,4.97,60.0,29.0,106.0,213129.0,39.0,674.0,1089.0,906.0,396.0,1.2,279.0,41.0,3430000.0,81
42,leaf,Cloud9,247.0,47.0,22.73,70.97,6.29,47.0,16.0,54.0,159379.0,14.0,614.0,858.0,729.0,201.0,1.18,240.0,16.0,2686150.0,3599
43,aspas,LOUD,245.0,67.0,24.75,71.5,3.73,67.0,14.0,88.0,217774.0,23.0,835.0,1193.0,904.0,262.0,1.32,322.0,25.0,3430250.0,4748
44,SkRossi,Global Esports,243.0,5.0,23.61,72.68,3.7,5.0,1.0,15.0,16272.0,4.0,51.0,93.0,83.0,7.0,1.12,24.0,1.0,267650.0,1685
45,liazzi,Liberty,242.0,20.0,20.56,73.57,5.85,20.0,10.0,25.0,68018.0,9.0,260.0,352.0,318.0,91.0,1.11,88.0,11.0,1155100.0,4745
46,nukkye,G2 Esports (Inactive) (ex),242.0,57.0,19.92,74.33,5.73,57.0,21.0,117.0,199169.0,26.0,681.0,967.0,850.0,356.0,1.14,245.0,49.0,3188200.0,1826
47,Bangnan,Team T5 (ex),242.0,22.0,34.35,59.22,6.42,22.0,5.0,33.0,69934.0,1.0,326.0,380.0,330.0,74.0,1.15,109.0,19.0,1063250.0,6546
48,Bangnan,DAMWON Gaming (ex),213.0,28.0,35.95,54.77,9.27,28.0,4.0,31.0,80486.0,5.0,380.0,427.0,427.0,140.0,1.0,106.0,29.0,1455350.0,6546
49,heat,Keyd Stars (ex),242.0,60.0,32.09,62.8,5.1,60.0,17.0,133.0,206448.0,16.0,786.0,1140.0,909.0,163.0,1.25,299.0,19.0,3303250.0,5288
50,NiSMO,Ghost Gaming (ex),242.0,15.0,24.21,67.28,8.49,15.0,7.0,21.0,50337.0,9.0,208.0,266.0,226.0,112.0,1.18,71.0,24.0,857850.0,1780
51,Hate,Jadeite (ex),242.0,4.0,31.95,58.76,9.27,4.0,3.0,2.0,12998.0,1.0,62.0,67.0,56.0,17.0,1.2,15.0,5.0,181600.0,315
52,Hate,DAMWON Gaming (ex),153.0,28.0,36.71,57.77,5.5,28.0,11.0,59.0,59938.0,10.0,300.0,307.0,384.0,169.0,0.8,61.0,96.0,1389800.0,315
53,jzz,MIBR,241.0,17.0,26.25,68.41,5.33,17.0,5.0,14.0,59852.0,4.0,251.0,317.0,285.0,56.0,1.11,83.0,2.0,1012550.0,11296
54,MatiS,EBRO Gaming (ex),241.0,11.0,24.53,66.47,8.98,11.0,3.0,17.0,33277.0,3.0,131.0,185.0,167.0,37.0,1.11,56.0,7.0,544100.0,4605
55,Meiy,Crazy Raccoon,240.0,40.0,21.66,70.2,8.13,40.0,9.0,45.0,125843.0,17.0,490.0,700.0,567.0,168.0,1.23,190.0,37.0,2084050.0,1886
56,xand,Ninjas in Pyjamas (ex),240.0,66.0,23.72,71.22,5.04,66.0,19.0,133.0,213827.0,18.0,884.0,1191.0,1055.0,250.0,1.13,334.0,15.0,3707350.0,3203
57,dgzin,Gamelanders Blue (ex),240.0,24.0,25.98,70.35,3.65,24.0,9.0,45.0,78594.0,12.0,256.0,447.0,391.0,70.0,1.14,117.0,17.0,1391050.0,6038
58,dgzin,FURIA,228.0,15.0,29.53,65.0,5.45,15.0,5.0,15.0,48522.0,4.0,184.0,265.0,238.0,57.0,1.11,72.0,11.0,858950.0,6038
59,allow,Jadeite (ex),239.0,12.0,19.73,75.65,4.6,12.0,5.0,27.0,38585.0,6.0,120.0,207.0,191.0,39.0,1.08,51.0,8.0,616400.0,1746
60,Famouz,Persija Esports (ex),239.0,16.0,18.51,75.68,5.79,16.0,5.0,26.0,56510.0,4.0,195.0,282.0,271.0,81.0,1.04,78.0,8.0,925750.0,386
61,Famouz,BOOM Esports (ex),216.0,18.0,17.87,75.74,6.37,18.0,3.0,37.0,60496.0,5.0,185.0,296.0,283.0,118.0,1.05,70.0,12.0,1094100.0,386
62,Tuli,Movistar Optix (ex),238.0,27.0,22.73,71.71,5.55,27.0,5.0,37.0,90317.0,3.0,344.0,452.0,459.0,129.0,0.98,118.0,6.0,1514300.0,14764
63,Deryeon,Bleed Esports (ex),238.0,37.0,20.17,73.0,6.81,37.0,12.0,44.0,118248.0,9.0,382.0,665.0,609.0,136.0,1.09,175.0,12.0,2017650.0,6639
64,QutionerX,BBL Esports,238.0,26.0,23.87,70.27,5.84,26.0,8.0,50.0,84579.0,10.0,298.0,454.0,415.0,92.0,1.09,120.0,9.0,1467900.0,9643
65,JUGi,FOKUS,238.0,12.0,18.25,75.71,6.03,12.0,6.0,23.0,38275.0,5.0,115.0,216.0,202.0,55.0,1.07,55.0,3.0,688700.0,20802
66,penny,Version1 (Inactive) (ex),237.0,21.0,21.94,71.79,6.25,21.0,9.0,25.0,67169.0,10.0,214.0,367.0,294.0,79.0,1.25,104.0,4.0,1095750.0,26881
67,Redneval,CERBERUS Esports (ex),237.0,8.0,25.74,67.36,6.88,8.0,0.0,8.0,22814.0,3.0,86.0,131.0,134.0,20.0,0.98,34.0,4.0,423050.0,730
68,Monyet,Onic Esports (ex),237.0,38.0,23.28,72.54,4.17,38.0,11.0,42.0,129475.0,18.0,535.0,680.0,616.0,164.0,1.1,178.0,7.0,2175800.0,3377
69,dicey,FaZe Clan,236.0,37.0,28.91,68.21,2.87,37.0,13.0,93.0,129259.0,15.0,412.0,721.0,552.0,101.0,1.31,203.0,17.0,2062750.0,789
70,Jremy,Team Secret,236.0,10.0,22.42,72.63,4.93,10.0,7.0,28.0,32204.0,5.0,109.0,173.0,139.0,50.0,1.24,43.0,11.0,494950.0,2121
71,Cryocells,XSET (ex),236.0,66.0,24.95,71.91,3.13,66.0,20.0,133.0,208266.0,34.0,598.0,1240.0,918.0,158.0,1.35,331.0,31.0,3321050.0,1802
72,Bazzi,On Sla2ers (ex),236.0,55.0,14.96,76.77,8.26,49.0,12.0,92.0,140549.0,24.0,375.0,777.0,599.0,192.0,1.3,201.0,30.0,2330300.0,1075
73,ScreaM,Team Liquid (ex),235.0,75.0,30.61,64.26,5.11,75.0,17.0,129.0,260376.0,36.0,1166.0,1310.0,1154.0,366.0,1.14,359.0,55.0,4347650.0,1690
74,BuZz,DRX,235.0,91.0,26.02,68.35,5.62,91.0,29.0,140.0,281289.0,19.0,1236.0,1520.0,1195.0,379.0,1.27,408.0,51.0,4622950.0,1251
75,BABYBAY,FaZe Clan,235.0,37.0,17.61,75.3,7.08,37.0,8.0,57.0,129327.0,13.0,440.0,668.0,622.0,176.0,1.07,172.0,10.0,2316450.0,369
76,HANN,World Game Star,235.0,56.0,23.62,70.47,5.89,56.0,9.0,105.0,175982.0,14.0,685.0,920.0,857.0,190.0,1.07,237.0,19.0,2938950.0,2650
77,Wenty,Tartarus (ex),234.0,16.0,31.98,64.39,3.62,14.0,3.0,35.0,38419.0,5.0,150.0,213.0,201.0,26.0,1.06,53.0,8.0,596200.0,15738
78,Wenty,GoNGo Prince (ex),194.0,7.0,33.55,63.42,3.02,7.0,2.0,18.0,21048.0,1.0,100.0,107.0,118.0,27.0,0.91,26.0,7.0,400200.0,15738
79,Sayf,Guild Esports (ex),233.0,54.0,25.64,69.41,4.94,54.0,20.0,133.0,175592.0,24.0,628.0,988.0,778.0,198.0,1.27,260.0,36.0,2853800.0,1834
80,jawgemo,Evil Geniuses,233.0,35.0,21.54,71.49,6.96,35.0,7.0,39.0,115941.0,15.0,458.0,611.0,598.0,205.0,1.02,162.0,32.0,2175500.0,4157
81,Cloud,Natus Vincere (ex),233.0,35.0,28.72,66.77,4.49,35.0,10.0,65.0,121149.0,12.0,511.0,619.0,577.0,213.0,1.07,152.0,49.0,2088850.0,2983
82,Luna,IXA,233.0,5.0,26.85,67.35,5.78,5.0,4.0,9.0,15388.0,3.0,65.0,87.0,71.0,9.0,1.23,23.0,2.0,254050.0,17472
83,Kush,Alter Ego,233.0,22.0,25.28,69.1,5.6,22.0,11.0,54.0,70017.0,8.0,284.0,390.0,344.0,132.0,1.13,101.0,17.0,1248000.0,3358
84,Kadoom,Made in Thailand,233.0,28.0,24.89,67.86,7.24,28.0,9.0,28.0,91727.0,9.0,361.0,496.0,471.0,108.0,1.05,133.0,5.0,1623000.0,157
85,cNed,Acend (ex),232.0,37.0,27.22,66.64,6.13,37.0,4.0,86.0,114731.0,3.0,404.0,629.0,569.0,112.0,1.11,175.0,17.0,1974050.0,732
86,Minty,FAV gaming,232.0,23.0,22.94,69.42,7.62,23.0,7.0,45.0,69989.0,9.0,277.0,372.0,327.0,107.0,1.14,96.0,14.0,1152500.0,314
87,Feniz,E-Xolos LAZER,232.0,16.0,25.22,70.29,4.47,16.0,3.0,39.0,54235.0,9.0,220.0,281.0,246.0,81.0,1.14,77.0,13.0,865950.0,3274
88,ban,Knights (ex),232.0,17.0,27.38,69.48,3.12,17.0,2.0,39.0,49368.0,2.0,175.0,279.0,272.0,54.0,1.03,69.0,3.0,911450.0,3340
89,Reita,Crest Gaming ZST (si),231.0,1.0,33.92,62.5,3.57,1.0,3.0,0.0,3817.0,1.0,19.0,16.0,17.0,11.0,0.94,5.0,1.0,56900.0,2584
90,Reita,REJECT (ex),206.0,31.0,25.46,67.41,7.11,31.0,10.0,57.0,83952.0,10.0,340.0,434.0,422.0,190.0,1.03,101.0,33.0,1587650.0,2584
91,Knight,Pentagon,231.0,5.0,26.71,67.14,6.13,5.0,4.0,10.0,15682.0,2.0,74.0,87.0,74.0,41.0,1.18,25.0,6.0,275100.0,15485
92,K1llgrave,DeToNator (ex),231.0,3.0,26.34,70.05,3.59,3.0,3.0,4.0,10487.0,2.0,44.0,55.0,51.0,18.0,1.08,15.0,6.0,183050.0,9583
93,Laz,ZETA DIVISION,231.0,63.0,25.0,69.32,5.66,63.0,21.0,128.0,190067.0,35.0,720.0,1045.0,863.0,277.0,1.21,272.0,32.0,3121050.0,2212
94,Lmemore,Onic Esports (ex),231.0,38.0,32.63,63.08,4.28,38.0,14.0,94.0,124911.0,17.0,480.0,679.0,576.0,169.0,1.18,181.0,21.0,2096950.0,3583
95,H1BER,FNATIC (si),231.0,4.0,19.35,75.57,5.06,4.0,0.0,4.0,13097.0,2.0,42.0,63.0,73.0,22.0,0.86,16.0,2.0,222300.0,20
96,Sayaplayer,The Guard (ex),230.0,55.0,25.68,68.79,5.51,55.0,14.0,91.0,170721.0,21.0,591.0,933.0,802.0,166.0,1.16,240.0,12.0,2877350.0,2551
97,Daveeys,E-Xolos LAZER (ex),230.0,16.0,26.25,68.28,5.46,16.0,5.0,42.0,52213.0,7.0,168.0,281.0,239.0,57.0,1.18,69.0,6.0,841100.0,2773
98,Fisker,FAV gaming (ex),230.0,23.0,25.99,68.6,5.39,23.0,5.0,26.0,67294.0,8.0,241.0,365.0,368.0,82.0,0.99,99.0,2.0,1245800.0,1824
99,Twisten,BIG (ex),230.0,25.0,23.34,71.16,5.48,25.0,7.0,52.0,79263.0,9.0,336.0,410.0,403.0,109.0,1.02,108.0,14.0,1413250.0,1538
100,Moothie,CNJ Esports (ex),230.0,18.0,27.76,67.52,4.7,18.0,4.0,40.0,55928.0,4.0,183.0,315.0,268.0,49.0,1.18,80.0,8.0,914800.0,2306
101,ardiis,FunPlus Phoenix (ex),229.0,89.0,21.39,72.07,6.52,89.0,25.0,174.0,279229.0,25.0,859.0,1517.0,1325.0,400.0,1.14,395.0,65.0,4596350.0,3043
102,deLb,Alter Ego,229.0,22.0,23.94,69.96,6.08,22.0,3.0,31.0,73018.0,4.0,307.0,367.0,353.0,98.0,1.04,87.0,2.0,1287200.0,9957
103,trexx,Guild Esports,228.0,54.0,21.01,69.86,9.12,54.0,22.0,91.0,179409.0,26.0,675.0,911.0,831.0,374.0,1.1,231.0,53.0,3084050.0,966
104,TenZ,Sentinels,228.0,36.0,22.26,71.55,6.18,36.0,13.0,62.0,119867.0,14.0,389.0,647.0,609.0,142.0,1.06,169.0,23.0,2115450.0,3033
105,MOLSI,OG LDN UTD (ex),228.0,21.0,26.69,66.15,7.14,21.0,7.0,47.0,70629.0,18.0,295.0,361.0,344.0,137.0,1.05,87.0,20.0,1224550.0,2561
106,MOLSI,LDN UTD (ex),221.0,12.0,24.81,66.29,8.88,12.0,2.0,23.0,35072.0,5.0,134.0,175.0,171.0,70.0,1.02,42.0,12.0,580900.0,2561
107,Tacolilla,Leviatán,228.0,71.0,22.71,71.39,5.88,71.0,27.0,144.0,218845.0,32.0,675.0,1234.0,935.0,270.0,1.32,328.0,46.0,3446400.0,3532
108,Chibab,Maru Gaming,227.0,58.0,21.16,70.79,8.03,58.0,6.0,47.0,171113.0,13.0,632.0,904.0,910.0,242.0,0.99,237.0,13.0,3183150.0,8382
109,Nizzy,Fancy United Esports,227.0,5.0,25.44,70.67,3.88,5.0,0.0,12.0,18544.0,2.0,72.0,90.0,91.0,37.0,0.99,26.0,7.0,326000.0,2539
110,JinboongE,Brimstone (ex),227.0,7.0,35.13,59.79,5.06,7.0,4.0,7.0,21802.0,5.0,104.0,118.0,96.0,44.0,1.23,33.0,5.0,346900.0,2508
111,JinboongE,HolyMolly (ex),181.0,26.0,31.19,59.91,8.88,26.0,6.0,52.0,62283.0,9.0,302.0,314.0,382.0,131.0,0.82,67.0,29.0,1307650.0,2508
112,sScary,XERXIA Esports (ex),227.0,61.0,24.22,69.7,6.07,61.0,45.0,174.0,193709.0,21.0,793.0,1013.0,830.0,495.0,1.22,250.0,62.0,3187350.0,766
113,artzin,Stars Horizon (ex),226.0,8.0,21.76,73.83,4.4,8.0,1.0,12.0,24078.0,3.0,89.0,122.0,132.0,25.0,0.92,31.0,2.0,437850.0,20594
114,UdoTan,GoNGo Prince (ex),226.0,7.0,23.3,70.18,6.5,7.0,4.0,13.0,22690.0,5.0,86.0,121.0,130.0,24.0,0.93,29.0,4.0,409650.0,6702
115,Nexi,Rex Regum Qeon (ex),225.0,8.0,25.52,68.68,5.78,8.0,4.0,22.0,24826.0,1.0,97.0,131.0,117.0,26.0,1.12,33.0,4.0,400950.0,2097
116,Surf,XERXIA Esports (ex),225.0,61.0,22.82,72.21,4.96,61.0,7.0,110.0,184262.0,13.0,584.0,1032.0,948.0,177.0,1.09,267.0,28.0,3241700.0,21245
117,FREY,Gaimin Gladiators (ex),225.0,6.0,22.45,74.15,3.38,6.0,2.0,19.0,17035.0,2.0,53.0,95.0,85.0,16.0,1.12,27.0,2.0,283850.0,873
118,Rb,DRX,224.0,91.0,23.99,69.45,6.55,91.0,18.0,98.0,256644.0,38.0,1076.0,1438.0,1253.0,366.0,1.15,377.0,84.0,4847300.0,1550
119,Asuna,100 Thieves,224.0,55.0,20.46,73.19,6.34,55.0,11.0,60.0,171511.0,30.0,667.0,889.0,886.0,397.0,1.0,218.0,80.0,3091950.0,15630
120,Zander,Version1 (Inactive) (ex),224.0,21.0,26.34,67.59,6.06,21.0,11.0,39.0,62169.0,5.0,265.0,345.0,289.0,172.0,1.19,83.0,26.0,1048850.0,3798
121,AsLanM4shadoW,BBL Esports,224.0,26.0,29.11,63.8,7.08,26.0,10.0,44.0,82883.0,7.0,366.0,433.0,421.0,123.0,1.03,117.0,19.0,1478800.0,1852
122,hatty,ややーず (ex),224.0,2.0,27.19,50.87,21.92,2.0,1.0,2.0,6629.0,1.0,31.0,33.0,40.0,14.0,0.83,10.0,1.0,130850.0,1244
123,Retla,Bleed Esports (ex),223.0,10.0,22.1,70.58,7.3,10.0,4.0,24.0,30501.0,5.0,124.0,176.0,138.0,46.0,1.28,43.0,22.0,552900.0,954
124,DubsteP,Team Secret,223.0,27.0,25.55,67.54,6.89,27.0,8.0,52.0,80020.0,11.0,300.0,429.0,388.0,105.0,1.11,106.0,11.0,1344500.0,193
125,Xeppaa,Cloud9,223.0,47.0,22.21,69.85,7.93,47.0,15.0,72.0,144136.0,26.0,613.0,767.0,725.0,361.0,1.06,195.0,56.0,2714700.0,13591
126,Smoggy,EDward Gaming,223.0,3.0,31.78,63.56,4.65,3.0,0.0,2.0,9099.0,1.0,41.0,50.0,47.0,24.0,1.06,10.0,5.0,154000.0,4333
127,Halbae,World Game Star (ex),222.0,5.0,24.04,70.22,5.72,5.0,2.0,7.0,16222.0,1.0,63.0,80.0,59.0,28.0,1.36,23.0,6.0,223500.0,2662
128,Suka,Fancy United Esports (ex),222.0,5.0,28.05,66.54,5.39,5.0,1.0,23.0,17433.0,2.0,78.0,91.0,88.0,48.0,1.03,25.0,14.0,325800.0,4855
129,wannafly,Made in Thailand,222.0,28.0,22.66,71.04,6.29,28.0,17.0,76.0,92082.0,14.0,371.0,479.0,429.0,132.0,1.12,128.0,34.0,1534000.0,2957
130,kiNgg,Leviatán,222.0,71.0,22.34,69.36,8.29,71.0,19.0,101.0,216888.0,26.0,881.0,1147.0,991.0,423.0,1.16,288.0,69.0,3829200.0,6414
131,zekken,XSET (ex),222.0,66.0,21.74,70.38,7.87,66.0,10.0,113.0,207839.0,32.0,826.0,1079.0,993.0,390.0,1.09,272.0,60.0,3558450.0,3582
132,Dep,ZETA DIVISION,222.0,63.0,26.81,66.83,6.34,63.0,17.0,108.0,181602.0,22.0,756.0,1018.0,896.0,332.0,1.14,261.0,69.0,3327650.0,1593
133,TenzouEz,DeToNator (ex),222.0,3.0,40.6,55.63,3.75,3.0,3.0,8.0,10660.0,3.0,54.0,56.0,51.0,28.0,1.1,16.0,6.0,182000.0,12250
134,Jamppi,Team Liquid,221.0,75.0,25.7,68.96,5.32,75.0,28.0,129.0,229296.0,33.0,767.0,1271.0,1167.0,271.0,1.09,313.0,77.0,4036600.0,10211
135,RgLMeister,INGAMING Esports (ex),221.0,9.0,24.3,70.14,5.54,9.0,8.0,34.0,29975.0,5.0,114.0,159.0,131.0,45.0,1.21,42.0,34.0,481200.0,4771
136,RgLMeister,Keyd Stars (ex),204.0,35.0,22.57,72.53,4.89,29.0,17.0,85.0,87679.0,15.0,323.0,458.0,410.0,223.0,1.12,115.0,89.0,1608050.0,4771
137,SiuFatBB,Griffin E-Sports,221.0,16.0,31.14,65.78,3.07,16.0,4.0,33.0,48065.0,8.0,213.0,255.0,236.0,50.0,1.08,64.0,9.0,822950.0,2170
138,Maple,ORDER (ex),221.0,16.0,18.2,71.7,10.08,16.0,6.0,29.0,43426.0,4.0,148.0,226.0,206.0,110.0,1.1,54.0,29.0,771850.0,40
139,blurred,NAOS Esports,221.0,6.0,15.54,80.91,3.53,6.0,1.0,13.0,17201.0,4.0,44.0,85.0,98.0,28.0,0.87,19.0,2.0,320700.0,13576
140,tixx,Bonkers(OCE) (ex),221.0,8.0,28.1,65.42,6.46,8.0,1.0,19.0,26085.0,2.0,113.0,140.0,125.0,85.0,1.12,39.0,14.0,509000.0,10239
141,Medusa,REJECT (ex),220.0,31.0,26.96,68.39,4.64,31.0,12.0,52.0,89386.0,18.0,401.0,464.0,429.0,150.0,1.08,114.0,24.0,1571700.0,17422
142,Less,LOUD,220.0,67.0,22.99,71.22,5.78,67.0,20.0,96.0,194625.0,29.0,755.0,1075.0,846.0,312.0,1.27,281.0,45.0,3273650.0,4746
143,bdog,Luminosity Gaming (ex),220.0,33.0,23.25,71.55,5.19,33.0,11.0,89.0,101472.0,11.0,327.0,574.0,518.0,119.0,1.11,149.0,21.0,1850450.0,905
144,Brofeld,Hexad (ex),220.0,6.0,28.8,65.84,5.34,6.0,2.0,14.0,16982.0,2.0,70.0,94.0,78.0,14.0,1.21,21.0,1.0,295150.0,371
145,Brofeld,Jadeite,179.0,8.0,27.94,69.7,2.35,8.0,5.0,13.0,20171.0,6.0,95.0,105.0,135.0,39.0,0.78,28.0,9.0,438550.0,371
