"Ign","Team","Kills","Deaths","Assists","Kd"
"WRONSKI","ORDER (ex)",241,234,40,"1.03"
"Derrek","Rise (ex)",175,170,68,"1.03"
"mitch","Cloud9 (ex)",677,658,243,"1.03"
"AsLanM4shadoW","BBL Esports",433,421,123,"1.03"
"Reita","REJECT (ex)",434,422,190,"1.03"
"ban","Knights (ex)",279,272,54,"1.03"
"Boo","LDN UTD (ex)",163,159,73,"1.03"
"iRdy","World Game Star",792,773,345,"1.02"
"xnfri","NORTHEPTION (ex)",551,538,224,"1.02"
"MOLSI","LDN UTD (ex)",175,171,70,"1.02"
"Neal X","Insomnia (ex)",45,44,9,"1.02"
"Anker","Jadeite (ex)",181,177,67,"1.02"
"Vibhor","Velocity Gaming (ex)",92,90,41,"1.02"
"xeta","Cloud9 (ex)",369,361,159,"1.02"
"jawgemo","Evil Geniuses",611,598,205,"1.02"
"crashies","OpTic Gaming (ex)",1552,1520,791,"1.02"
"WIX","Maru Gaming (ex)",833,816,307,"1.02"
"zennakukinn","BLUE BEES.ESP (ex)",200,196,100,"1.02"
"Twisten","BIG (ex)",410,403,109,"1.02"
"yoman","Next eSports (ex)",60,59,10,"1.02"
"MerRy","Storks Phalanx (ex)",61,60,21,"1.02"
"mixwell","G2 Esports (Inactive) (ex)",817,804,222,"1.02"
"valyn","The Guard",795,783,403,"1.02"
"valyn","The Guard (ex)",795,783,403,"1.02"
"Derrek","100 Thieves",610,601,239,"1.01"
"Witz","Team Secret (ex)",342,337,112,"1.01"
"ryota-","SCARZ (ex)",73,72,39,"1.01"
"Jeong Hi","Maru Gaming (ex)",440,434,226,"1.01"
"RND","Los Grandes (ex)",302,298,57,"1.01"
"rubkkoide","PAMPAS (ex)",162,160,94,"1.01"
"blaZek1ng","BOOM Esports",656,648,322,"1.01"
"Mistic","FNATIC (ex)",991,979,525,"1.01"
"tehbotol","BOOM Esports (ex)",675,667,288,"1.01"
"foxz","XERXIA Esports (ex)",904,894,353,"1.01"
"s0m","NRG Esports",635,628,188,"1.01"
"Benkai","Paper Rex",809,802,400,"1.01"
"DeNaro","MIBR (ex)",254,252,131,"1.01"
"Will","100 Thieves (ex)",662,657,179,"1.01"
"Boostio","Evil Geniuses",594,590,138,"1.01"
"Zellsis","Sentinels (ex)",152,151,84,"1.01"
"Victor","OpTic Gaming (ex)",1685,1678,668,"1.00"
"Astell","Crazy Raccoon",503,501,253,"1.00"
"Has1ra14","CNJ Esports",265,264,114,"1.00"
"Asuna","100 Thieves",889,886,397,"1.00"
"SicK","Sentinels (ex)",376,376,151,"1.00"
"Bangnan","DAMWON Gaming (ex)",427,427,140,"1.00"
"noxxy","Alter Ego (si)",347,347,83,"1.00"
"frz","Sharks Esports (ex)",127,127,38,"1.00"
"Jemkin","BLUE BEES.ESP (ex)",104,104,24,"1.00"
"JitboyS","FW Esports (ex)",76,76,23,"1.00"
"EndU","Team GP",83,83,22,"1.00"
"sakurai","Hexad (ex)",93,93,18,"1.00"
"こころん","looking for a name",30,30,9,"1.00"
"RIA","ややーず (ex)",38,38,5,"1.00"
"Texta","ORDER (ex)",207,208,105,"1.00"
"Chibab","Maru Gaming",904,910,242,"0.99"
"Fisker","FAV gaming (ex)",365,368,82,"0.99"
"JoXJo","NORTHEPTION (ex)",540,545,301,"0.99"
"Izzy","SuperMassive",185,187,38,"0.99"
"musashi","BIG (ex)",181,183,42,"0.99"
"Nizzy","Fancy United Esports",90,91,37,"0.99"
"Fross","SunXet Club",173,175,54,"0.99"
"soulcas","Team Liquid",1097,1110,519,"0.99"
"RgLMeister","Keyd Stars (si)",80,81,40,"0.99"
"Mizu","9z Team",545,552,131,"0.99"
"JessieVash","Team Secret",370,375,176,"0.99"
"vanity","Cloud9",663,672,385,"0.99"
"TENNN","ZETA DIVISION",937,951,332,"0.99"
"Tuli","Movistar Optix (ex)",452,459,129,"0.98"
"RyZzi","Desperado (ex)",305,310,107,"0.98"
"YaBoiDre","Evil Geniuses (ex)",183,186,54,"0.98"
"Benecia","CNJ Esports",333,339,162,"0.98"
"JonahP","The Guard",773,789,336,"0.98"
"Luke","World Game Star",749,765,206,"0.98"
"Fung3","Griffin E-Sports",223,228,40,"0.98"
"Esperanza","DAMWON Gaming",797,815,354,"0.98"
"Redneval","CERBERUS Esports (ex)",131,134,20,"0.98"
"M4sh","EVA:e (ex)",43,44,22,"0.98"
"Redgar","Gambit Esports (ex)",83,85,33,"0.98"
"Tio","Movistar Optix",366,375,177,"0.98"
"v1xen","Keyd Stars (ex)",357,366,210,"0.98"
"C0M","Evil Geniuses",342,351,196,"0.97"
"DDcream","Pentagon",75,77,23,"0.97"
"LEXY","Bleed Esports (ex)",181,186,75,"0.97"
"Pepper","IGZIST (ex)",252,259,63,"0.97"
"krain","Liberty",286,294,112,"0.97"
"Flynch","Persija Esports (ex)",275,283,53,"0.97"
"maxie","Bleed Esports (ex)",529,545,279,"0.97"
"Eeyore","Persija Esports",263,271,62,"0.97"
"CHICHOO","EDward Gaming",64,66,37,"0.97"
"bezn1","Ninjas in Pyjamas (ex)",981,1012,389,"0.97"
"braveaf","FNATIC (ex)",278,287,134,"0.97"
"rez1v","Storks Phalanx",60,62,35,"0.97"
"something","Sengoku Gaming",60,62,7,"0.97"
"Anguuuuu","Storks Phalanx (ex)",59,61,23,"0.97"
"tex","NRG Esports (ex)",607,628,152,"0.97"
"BcJ","XSET (ex)",877,909,475,"0.96"
"Redgar","M3 Champions (ex)",487,505,223,"0.96"
"ParkJJong","Tartarus (si)",27,28,8,"0.96"
"BerserX","BOOM Esports",669,694,171,"0.96"
"YESicaN","Fancy United Esports",260,270,105,"0.96"
"f1cio","Fancy United Esports",206,214,35,"0.96"
"Delz1k","KRÜ Esports (ex)",958,996,514,"0.96"
"flippy","South Built Esports (ex)",147,153,56,"0.96"
"b3ta","Made in Thailand",170,177,128,"0.96"
"FifTy","DeToNator",48,50,10,"0.96"
"GodDead","On Sla2ers",653,681,309,"0.96"
"XXiF","Knights (ex)",245,256,118,"0.96"
"Starxo","Acend",522,546,180,"0.96"
"effys","Version1 (Inactive) (ex)",277,290,137,"0.96"
"fenNy","SunXet Club",170,178,22,"0.96"
"BRNWOWZK1","INGAMING Esports (ex)",146,153,29,"0.95"
"mazin","FURIA",733,770,278,"0.95"
"d3ffo","Gambit Esports (ex)",79,83,23,"0.95"
"L1NK","Team Liquid (ex)",492,517,244,"0.95"
"Ethan","NRG Esports (ex)",370,389,204,"0.95"
"Kongared","Made in Thailand",445,468,171,"0.95"
"Fuzari","Gamelanders Blue (ex)",357,376,102,"0.95"
"Turko","BBL Esports",317,334,146,"0.95"
"Wavy","CNJ Esports",351,370,201,"0.95"
"XiSTOU","SuperMassive (ex)",166,175,50,"0.95"
"DaeGi","Tartarus (ex)",202,213,41,"0.95"
"Klaus","KRÜ Esports",930,981,448,"0.95"
"Nozz","Bonkers(OCE) (ex)",127,134,56,"0.95"
"SUTHER","9z Team (ex)",457,484,182,"0.94"
"Xdll","BLUE BEES.ESP (ex)",185,196,104,"0.94"
"Kiuuuu","Oblivion Force",67,71,11,"0.94"
"neT","The Guard",753,798,204,"0.94"
