"Ign","Team","Headshot %","Bodyshot %","Legshot %","Matches"
"Xandrite","NORTHEPTION (ex)","17.49","75.84","6.65",14
"something","Sengoku Gaming","17.48","77.59","4.91",4
"mwzera","Keyd Stars (ex)","17.45","77.57","4.97",60
"REV1","Pentagon","17.21","74.72","8.05",5
"Shanks","Rise (ex)","17.13","74.70","8.16",12
"M4sh","EVA:e (ex)","16.98","75.47","7.54",3
"hsk","DetonatioN Gaming White","16.98","74.71","8.30",4
"LEXY","Bleed Esports (ex)","16.89","73.98","9.11",24
"AlKawai","Insomnia (ex)","16.85","70.78","12.35",3
"NeruFi","REJECT (si)","16.66","81.25","2.08",1
"asteriskk","Persija Esports","16.64","76.67","6.68",16
"kurtesy","Oasis Gaming","16.43","79.45","4.10",2
"Art","Sengoku Gaming (ex)","16.28","75.18","8.52",11
"Lore","Focus e-Sports (ex)","16.21","77.02","6.75",2
"diewijAs","PAMPAS (ex)","16.07","77.23","6.69",11
"SyouTa","REJECT (si)","16.00","72.00","12.00",1
"pleets","Los Grandes","15.90","72.76","11.33",19
"Yacine","Guild Esports","15.85","78.96","5.18",7
"Nozz","Bonkers(OCE) (ex)","15.68","77.69","6.61",8
"azuma","K2 eSports (ex)","15.66","80.72","3.61",2
"blurred","NAOS Esports","15.54","80.91","3.53",6
"Torrify","FUSION (ex)","15.51","79.19","5.29",12
"artn","Gaimin Gladiators (ex)","15.38","78.32","6.29",6
"skyeSG","No Namers (ex)","15.07","76.38","8.54",5
"kellyS","Rex Regum Qeon (ex)","15.06","81.44","3.49",8
"Bazzi","On Sla2ers (ex)","14.96","76.77","8.26",49
"Neal X","Insomnia (ex)","14.88","73.21","11.90",3
"JhoW","Keyd Stars (ex)","14.84","75.41","9.73",25
"侵略者","ややーず","14.67","71.55","13.76",2
"zepher","Crest Gaming ZST (si)","14.58","75.00","10.41",1
"RIA","ややーず (ex)","14.52","74.86","10.61",2
"Skyfull","DeToNator (ex)","14.42","78.36","7.21",3
"vanity","Cloud9","14.31","73.50","12.18",47
"sachi","Rebellion Arts (ex)","14.28","76.19","9.52",2
"Namikaze","SETOUCHI ENLIFE (ex)","13.88","66.66","19.44",2
"Ran","SETOUCHI ENLIFE (ex)","13.58","85.18","1.23",2
"ryotzz","TBK Esports","13.58","76.03","10.38",38
"CHIMEI","Oblivion Force","12.85","80.00","7.14",4
"Alex","Next eSports (ex)","12.44","76.88","10.66",4
"Haner","K2 eSports (ex)","11.00","83.00","6.00",2
"wait","KRÜ Esports (si)","4.65","81.39","13.95",1
