"Ign","Team","Headshots"
"Phantom","FAV gaming","204"
"krain","Liberty","202"
"DeNaro","MIBR (ex)","202"
"feqew","OG LDN UTD (ex)","202"
"redwater877","Team T5","201"
"NoriseN","REJECT (ex)","201"
"Felix","HolyMolly (ex)","198"
"zombs","Sentinels (ex)","197"
"GOLD","Desperado (ex)","196"
"Famouz","Persija Esports (ex)","195"
"gustt1nha","Los Grandes (ex)","192"
"axeLuvY","Alter Ego (ex)","192"
"baddyG","FunPlus Phoenix (ex)","192"
"Delend","Made in Thailand (ex)","192"
"Rain","CNJ Esports","191"
"mNdS","MIBR (ex)","191"
"WRONSKI","ORDER (ex)","190"
"Eeyore","Persija Esports","189"
"Fung3","Griffin E-Sports","187"
"rion","Crazy Raccoon","186"
"Texta","ORDER (ex)","186"
"Hyzee","Fancy United Esports (ex)","186"
"Famouz","BOOM Esports (ex)","185"
"curry","Cloud9 (ex)","184"
"dgzin","FURIA","184"
"effys","Version1 (Inactive) (ex)","184"
"zennakukinn","BLUE BEES.ESP (ex)","183"
"Moothie","CNJ Esports (ex)","183"
"gtnziN","MIBR (ex)","182"
"Genghsta","Knights (ex)","181"
"Flynch","Persija Esports (ex)","179"
"XXiF","Knights (ex)","179"
"Frosty","Knights (ex)","179"
"JhoW","Keyd Stars (ex)","177"
"Pepper","IGZIST (ex)","176"
"XiSTOU","SuperMassive (ex)","176"
"ban","Knights (ex)","175"
"Dispenser","Team Secret","174"
"W1nner","Griffin E-Sports","174"
"Delta","Maru Gaming (ex)","172"
"Kishi","CERBERUS Esports (ex)","171"
"frz","MIBR","169"
"Fantasy","Team T5","168"
"Daveeys","E-Xolos LAZER (ex)","168"
"RIPablo","IGZIST","165"
"DaeGi","Tartarus (ex)","164"
"YRSelect","Griffin E-Sports (si)","162"
"BandiCoot","E-Xolos LAZER","162"
"rDeeW","ORDER (ex)","162"
"pleets","Los Grandes","160"
"gMd","TSM (ex)","159"
"Jady","Natus Vincere (ex)","158"
"D1E","Movistar Optix","158"
"koalanoob","Ghost Gaming (ex)","157"
"JohnOlsen","FULL SENSE","155"
"Johnqt","Ghost Gaming (ex)","155"
"Xandrite","NORTHEPTION (ex)","155"
"Brave","SuperMassive (ex)","154"
"disk0","ORDER (ex)","153"
"poem","IGZIST","153"
"Foxy9","Reignite (ex)","152"
"supamen","Rise (ex)","152"
"ANDROID","NRG Esports (ex)","152"
"Wenty","Tartarus (ex)","150"
"Kr1stal","BLUE BEES.ESP (ex)","149"
"YaBoiDre","Evil Geniuses (ex)","149"
"Maple","ORDER (ex)","148"
"YaBoiLewis","FOKUS","147"
"neptune","Rise (ex)","145"
"Sơn KeKe","Fancy United Esports (ex)","145"
"wyz","FUSION","145"
"iluri","FOKUS (ex)","144"
"Fross","SunXet Club","144"
"Derrek","Rise (ex)","143"
"brawk","Ghost Gaming (ex)","143"
"musashi","BIG (ex)","142"
"Xdll","BLUE BEES.ESP (ex)","142"
"Bonecold","Acend (ex)","142"
"bmVz","Fancy United Esports (ex)","142"
"Rainy","Griffin E-Sports","142"
"kiles","Acend (ex)","141"
"Lok1","CERBERUS Esports (ex)","141"
"Boo","LDN UTD (ex)","141"
"Dcop","FUSION","140"
"ParkJJong","Tartarus (ex)","140"
"RND","Los Grandes (ex)","140"
"jfoen","E-Xolos LAZER","139"
"poised","Rise (ex)","138"
"Subroza","TSM (ex)","138"
"pho","Evil Geniuses (ex)","138"
"bucher","FOKUS (ex)","138"
"azys","South Built Esports (ex)","138"
"THEE","FULL SENSE","137"
"Hiko","100 Thieves (ex)","136"
"v1nNy","Gamelanders Blue (ex)","135"
"Jady","M3 Champions","135"
"MOLSI","LDN UTD (ex)","134"
"akashi","CERBERUS Esports (ex)","133"
"jotinha","SunXet Club (ex)","132"
"asteriskk","Persija Esports","132"
"Zellsis","Sentinels (ex)","131"
"Ethan","100 Thieves (ex)","131"
"MatiS","EBRO Gaming (ex)","131"
"Jemkin","Crest Gaming ZST (ex)","131"
"rubkkoide","PAMPAS (ex)","130"
"Anker","Jadeite (ex)","130"
"Mited","FUSION","130"
"NAOS JA","South Built Esports (ex)","130"
"PapiChulo","South Built Esports (ex)","129"
"Dreamas","LDN UTD (ex)","129"
"f1cio","Fancy United Esports","129"
"b3ta","Made in Thailand","128"
"Sushi","EBRO Gaming (ex)","128"
"LEXY","Bleed Esports (ex)","125"
"Destrian","LDN UTD (ex)","125"
"Retla","Bleed Esports (ex)","124"
"olzerr","PAMPAS (ex)","123"
"vong","FOKUS (ex)","122"
"roseaufy","Persija Esports","122"
"frz","Sharks Esports (ex)","122"
"david","PAMPAS (ex)","122"
"KimGyuTae","Desperado","121"
"corey","TSM (ex)","120"
"Brinks","Gamelanders Blue (si)","120"
"allow","Jadeite (ex)","120"
"SylFy","Jadeite (ex)","120"
"luckeRRR","BIG (ex)","118"
"luckeRRR","BIG (ex)","118"
"Glovee","SuperMassive (ex)","117"
"swag","Team Vikings (ex)","117"
"Kanpeki","Sentinels (ex)","117"
"Holbreak","EBRO Gaming (ex)","117"
