"Ign","Team","Plants"
"prince","Los Grandes (ex)","20"
"kiles","Acend (ex)","20"
"Yacine","Guild Esports","20"
"MOLSI","OG LDN UTD (ex)","20"
"ShahZaM","Sentinels (ex)","19"
"AsLanM4shadoW","BBL Esports","19"
"skrawl","Bonkers(OCE) (ex)","19"
"Pro","South Built Esports (ex)","19"
"Boo","LDN UTD (ex)","19"
"SUTHER","9z Team (ex)","19"
"tuyz","TBK Esports (ex)","19"
"2GE","Rex Regum Qeon","19"
"7ssk7","Natus Vincere (ex)","19"
"HANN","World Game Star","19"
"Bangnan","Team T5 (ex)","19"
"rubkkoide","PAMPAS (ex)","19"
"heat","Keyd Stars (ex)","19"
"v1nNy","Gamelanders Blue (ex)","19"
"Lakia","IGZIST (ex)","18"
"Dszera","Team Vikings (ex)","18"
"Felix","Brimstone (si)","18"
"shelbyN","EBRO Gaming (ex)","18"
"LEXY","Bleed Esports (ex)","18"
"xnfri","NORTHEPTION (ex)","18"
"SoGaTe","Tartarus (ex)","18"
"Rabbet","Rex Regum Qeon","18"
"ANDROID","NRG Esports (ex)","18"
"kurozooted","Reignite","18"
"nAts","Gambit Esports (ex)","18"
"wippie","Version1 (Inactive) (ex)","18"
"SSeeS","DetonatioN Gaming White (ex)","18"
"TORANECO","BLUE BEES.ESP (ex)","17"
"FuriousMeow","Oblivion Force","17"
"popogachi","Crazy Raccoon","17"
"prozin","Sharks Esports","17"
"swag","Team Vikings (ex)","17"
"bmVz","Fancy United Esports (ex)","17"
"poised","Rise (ex)","17"
"hype","OG LDN UTD (ex)","17"
"dgzin","Gamelanders Blue (ex)","17"
"cNed","Acend (ex)","17"
"DOGAO","Movistar Optix","17"
"Dhimorutoo","Reignite (ex)","17"
"Kush","Alter Ego","17"
"krain","Liberty","17"
"dicey","FaZe Clan","17"
"Jady","Natus Vincere (ex)","16"
"braveaf","FNATIC (ex)","16"
"flainzz","INGAMING Esports (ex)","16"
"roseaufy","Persija Esports","16"
"leaf","Cloud9","16"
"Akame","Jadeite","16"
"Texta","ORDER (ex)","16"
"bnj","9z Team (si)","15"
"tex","NRG Esports (ex)","15"
"rDeeW","ORDER (ex)","15"
"Sơn KeKe","Fancy United Esports (ex)","15"
"CyderX","SuperMassive (ex)","15"
"SEIDER","FunPlus Phoenix (si)","15"
"mnz","IXA","15"
"artn","Gaimin Gladiators (ex)","15"
"adrnking","Alter Ego","15"
"xand","Ninjas in Pyjamas (ex)","15"
"Eugene","DAMWON Gaming","14"
"Rawkus","Sentinels (ex)","14"
"leonzhett","PAMPAS (ex)","14"
"oitaN","IGZIST","14"
"disk0","ORDER (ex)","14"
"Suka","Fancy United Esports (ex)","14"
"wyz","FUSION","14"
"Flax","Hexad (ex)","14"
"SamuraiDeeper","Crest Gaming ZST (ex)","14"
"tixx","Bonkers(OCE) (ex)","14"
"Twisten","BIG (ex)","14"
"Minty","FAV gaming","14"
"LEXY","Bleed Esports (ex)","13"
"Brinks","Gamelanders Blue (si)","13"
"seven","TSM (ex)","13"
"Kakarot","NAOS Esports","13"
"Chibab","Maru Gaming","13"
"NANZIN","Stars Horizon","13"
"NANZIN","INGAMING Esports (ex)","13"
"Rain","CNJ Esports","13"
"gio","Movistar Optix","13"
"Hermes","HolyMolly (ex)","13"
"Feniz","E-Xolos LAZER","13"
"LAMMYSNAX","FULL SENSE (ex)","13"
"gMd","TSM (ex)","13"
"KimGyuTae","Desperado","13"
"Unnsto","EBRO Gaming (ex)","13"
"Fung3","Griffin E-Sports","12"
"Kaminari","Hexad (ex)","12"
"CHICHOO","EDward Gaming","12"
"eKo","Reignite (ex)","12"
"SeolHo","Spear Gaming (ex)","12"
"hellff","Velocity Gaming","12"
"BP","Veronica7","12"
"TORANECO","Hexad (ex)","12"
"Den2","Spear Gaming (ex)","12"
"Sayaplayer","The Guard (ex)","12"
"MOLSI","LDN UTD (ex)","12"
"Ssun","Spear Gaming (ex)","12"
"chase","Gamelanders Blue (ex)","12"
"Famouz","BOOM Esports (ex)","12"
"Art","Sengoku Gaming (ex)","12"
"Redgar","Gambit Esports (ex)","12"
"Biju","IXA (ex)","12"
"Munchkin","Crazy Raccoon (ex)","12"
"THEE","FULL SENSE","12"
"Draxii","Rex Regum Qeon (ex)","12"
"Deryeon","Bleed Esports (ex)","12"
"SylFy","Jadeite (ex)","11"
"Jremy","Team Secret","11"
"KappA","Global Esports","11"
"Will","100 Thieves (ex)","11"
"HellrangeR","Global Esports","11"
"10X","Brimstone (si)","11"
"Marmelo","Jadeite","11"
"hyouka","Reignite","11"
"aproto","Ghost Gaming (ex)","11"
"BerserX","BOOM Esports","11"
"RND","Los Grandes (ex)","11"
"liazzi","Liberty","11"
"Kaspe","BIG (ex)","11"
"dgzin","FURIA","11"
"PADO","Veronica7 (ex)","11"
"DubsteP","Team Secret","11"
"Gunny","GoNGo Prince","10"
"CTC","Los Grandes (ex)","10"
"Has1ra14","Maru Gaming (ex)","10"
"Xandrite","NORTHEPTION (ex)","10"
"侵略者","ややーず","10"
"Anguuuuu","Storks Phalanx (ex)","10"
"rite2ace","Velocity Gaming (ex)","10"
"GwangUh","Tartarus (ex)","10"
"Meteor","NORTHEPTION (ex)","10"
"STYRON","Gaimin Gladiators (ex)","10"
"C1nder","SCARZ (ex)","10"
"skyeSG","No Namers (ex)","10"
"BABYBAY","FaZe Clan","10"
"Wonjina","Next eSports","10"
"Dreamas","LDN UTD (ex)","10"
"Flynch","Persija Esports (ex)","10"
"Lawrence","GoNGo Prince","10"
"frz","Sharks Esports (ex)","10"
"skillZ","Global Esports","10"
"feqew","OG LDN UTD (ex)","10"
"Shanks","Rise (ex)","10"
"ryota-","SCARZ (ex)","9"
"DDcream","Pentagon","9"
"Zellsis","Sentinels (ex)","9"
"Toto","GyoGun","9"
"silver","K2 eSports (ex)","9"
"이토히로부비부빗","Team T5 (ex)","9"
"musashi","BIG (ex)","9"
"badsitoww","Meta Gaming (ex)","9"
"NeruFi","Crest Gaming ZST","9"
"SiuFatBB","Griffin E-Sports","9"
"Peloncito","E-Xolos LAZER","9"
"Derialy","FENNEL (ex)","9"
"D1E","Movistar Optix","9"
"LucasVade","Meta Gaming (ex)","9"
"Vibhor","Velocity Gaming (ex)","9"
"QutionerX","BBL Esports","9"
"Subroza","TSM (ex)","9"
"AztKk","FUSION (ex)","9"
"RHZ","Keyd Stars (si)","9"
"Hiko","100 Thieves (ex)","9"
"Sushi","EBRO Gaming (ex)","9"
"YRSelect","Griffin E-Sports (si)","9"
"LEXY","Bleed Esports (si)","9"
"Brofeld","Jadeite","9"
"CyderX","BBL Esports (si)","8"
"Shuzz","SCARZ (ex)","8"
"Torrify","FUSION (ex)","8"
"bucher","FOKUS (ex)","8"
"Wenty","Tartarus (ex)","8"
"Famouz","Persija Esports (ex)","8"
"sheydos","Gambit Esports (ex)","8"
"B4nnba","Pentagon","8"
"diewijAs","PAMPAS (ex)","8"
"NoriseN","Crest Gaming ZST (si)","8"
"allow","Jadeite (ex)","8"
"PapiChulo","South Built Esports (ex)","8"
"Moothie","CNJ Esports (ex)","8"
"Skyfull","DeToNator (ex)","8"
"ParkJJong","Team GP (ex)","8"
"Pepper","IGZIST (ex)","8"
"rion","Crazy Raccoon","8"
"SoGaTe","Tartarus (si)","8"
"nobody","EDward Gaming","8"
"PEPA","Team Vikings (ex)","8"
"pdr","INGAMING Esports (ex)","8"
