"Team","Map","Wins","Losses","Atk Round Wins","Atk Round Losses","Atk Round Win Percentage","Def Round Wins","Def Round Losses","Def Round Win Percentage"
"MIBR","Icebox",2,1,22,12,"65.00",14,13,"52.00"
"DetonatioN Gaming White","Breeze",1,0,6,3,"67.00",7,5,"58.00"
"Ghost Gaming","Breeze",3,2,25,29,"46.00",29,22,"57.00"
"Stars Horizon","Ascent",1,0,8,4,"67.00",5,7,"42.00"
"9z Team","Fracture",1,0,9,4,"69.00",5,8,"38.00"
"Fancy United Esports","Breeze",1,0,8,4,"67.00",5,6,"45.00"
"100 Thieves","Pearl",1,0,7,4,"64.00",6,6,"50.00"
"IXA","Breeze",1,0,9,3,"75.00",4,6,"40.00"
"Guild Esports","Fracture",5,4,55,47,"54.00",48,41,"54.00"
"Storks Phalanx","Breeze",1,0,4,6,"40.00",9,3,"75.00"
"IGZIST","Split",1,0,6,7,"46.00",8,5,"62.00"
"BLUE BEES.ESP","Haven",2,1,16,13,"55.00",17,17,"50.00"
"FaZe Clan","Haven",3,2,31,32,"49.00",24,22,"52.00"
"G2 Esports (Inactive)","Haven",4,3,30,33,"48.00",43,41,"51.00"
"Luminosity Gaming","Fracture",4,3,46,36,"56.00",35,44,"44.00"
"REJECT","Breeze",1,0,6,6,"50.00",7,5,"58.00"
"Brimstone","Breeze",2,1,14,17,"45.00",19,11,"63.00"
"GoNGo Prince","Split",1,0,10,3,"77.00",4,9,"31.00"
"MIBR","Bind",2,1,15,16,"48.00",23,14,"62.00"
"Version1 (Inactive)","Fracture",3,2,33,25,"57.00",26,28,"48.00"
"G2 Esports (Inactive)","Split",6,5,45,60,"43.00",79,44,"64.00"
"Acend","Icebox",3,2,33,26,"56.00",25,26,"49.00"
"OG LDN UTD","Breeze",2,1,23,15,"61.00",19,22,"46.00"
"Ghost Gaming","Haven",2,1,17,9,"65.00",20,11,"65.00"
"Bonkers(OCE)","Haven",2,1,16,17,"48.00",23,15,"61.00"
"The Guard","Bind",4,3,41,43,"49.00",32,30,"52.00"
"FunPlus Phoenix","Icebox",8,7,82,76,"52.00",81,90,"47.00"
"Crazy Raccoon","Breeze",2,1,13,15,"46.00",19,17,"53.00"
"Sengoku Gaming","Fracture",1,0,9,3,"75.00",4,1,"80.00"
"Natus Vincere","Haven",4,3,35,43,"45.00",40,34,"54.00"
"XSET","Bind",5,4,36,49,"42.00",61,43,"59.00"
"XERXIA Esports","Bind",4,3,48,35,"58.00",36,32,"53.00"
"Crest Gaming ZST","Fracture",1,0,8,2,"80.00",5,7,"42.00"
"FAV gaming","Ascent",2,1,18,13,"58.00",18,11,"62.00"
"Made in Thailand","Split",1,0,3,9,"25.00",10,0,"100.00"
"DetonatioN Gaming White","Haven",1,0,12,0,"100.00",1,0,"100.00"
"BLUE BEES.ESP","Bind",2,1,17,21,"45.00",23,15,"61.00"
"Knights","Breeze",2,1,18,10,"64.00",15,17,"47.00"
"Team Secret","Haven",4,3,39,30,"57.00",32,39,"45.00"
"100 Thieves","Haven",4,3,47,23,"67.00",30,56,"35.00"
"Spear Gaming","Icebox",1,0,7,5,"58.00",6,6,"50.00"
"INGAMING Esports","Haven",1,0,7,5,"58.00",6,5,"55.00"
"FW Esports","Bind",1,0,9,2,"82.00",4,8,"33.00"
"Brimstone","Ascent",1,0,4,3,"57.00",9,3,"75.00"
"FENNEL","Icebox",1,0,8,2,"80.00",5,7,"42.00"
"Alter Ego","Bind",4,3,39,35,"53.00",38,36,"51.00"
"Insomnia","Fracture",1,0,7,5,"58.00",6,5,"55.00"
"IGZIST","Fracture",2,1,14,13,"52.00",14,12,"54.00"
"HolyMolly","Split",2,1,11,17,"39.00",16,10,"62.00"
"FaZe Clan","Breeze",4,3,37,50,"43.00",42,34,"55.00"
"FULL SENSE","Split",1,0,9,3,"75.00",4,0,"100.00"
"Team Liquid","Fracture",4,3,34,38,"47.00",39,38,"51.00"
"Paper Rex","Split",4,3,44,36,"55.00",33,32,"51.00"
"NAOS Esports","Haven",1,0,7,0,"100.00",6,6,"50.00"
"NRG Esports","Split",2,1,13,16,"45.00",22,14,"61.00"
"FURIA","Bind",1,0,11,1,"92.00",2,2,"50.00"
"PAMPAS","Breeze",1,0,6,6,"50.00",7,2,"78.00"
"Bonkers(OCE)","Split",1,0,3,1,"75.00",10,2,"83.00"
"Brimstone","Split",1,0,9,2,"82.00",4,8,"33.00"
"Gambit Esports","Breeze",1,0,5,7,"42.00",8,1,"89.00"
"ORDER","Split",1,0,2,0,"100.00",11,1,"92.00"
"SCARZ","Breeze",1,0,6,6,"50.00",7,5,"58.00"
"Fancy United Esports","Icebox",2,1,19,11,"63.00",16,19,"46.00"
"Velocity Gaming","Icebox",1,0,10,2,"83.00",3,8,"27.00"
"OpTic Gaming","Ascent",12,11,103,134,"43.00",151,104,"59.00"
"EDward Gaming","Icebox",1,0,10,2,"83.00",3,3,"50.00"
"NAOS Esports","Bind",1,0,4,8,"33.00",9,3,"75.00"
"CERBERUS Esports","Icebox",1,0,6,6,"50.00",7,5,"58.00"
"Leviatán","Icebox",4,3,25,29,"46.00",51,34,"60.00"
"IGZIST","Ascent",2,1,13,18,"42.00",14,12,"54.00"
"ZETA DIVISION","Bind",5,4,54,47,"53.00",52,52,"50.00"
"ZETA DIVISION","Breeze",2,1,19,14,"58.00",15,14,"52.00"
"Team GP","Bind",1,0,4,7,"36.00",9,3,"75.00"
"CNJ Esports","Icebox",2,1,19,17,"53.00",18,9,"67.00"
"CNJ Esports","Haven",1,1,11,13,"46.00",12,10,"55.00"
"MIBR","Fracture",2,2,19,23,"45.00",28,20,"58.00"
"FOKUS","Ascent",1,1,10,14,"42.00",11,10,"52.00"
"Ninjas in Pyjamas","Fracture",4,4,49,36,"58.00",48,43,"53.00"
"DAMWON Gaming","Icebox",1,1,8,11,"42.00",13,11,"54.00"
"Sharks Esports","Fracture",1,1,10,6,"63.00",7,17,"29.00"
"Reignite","Icebox",1,1,8,12,"40.00",7,8,"47.00"
"Evil Geniuses","Icebox",4,4,54,47,"53.00",47,47,"50.00"
"Reignite","Bind",1,1,15,9,"63.00",9,7,"56.00"
"SCARZ","Haven",1,1,9,12,"43.00",13,11,"54.00"
"Storks Phalanx","Split",1,1,16,9,"64.00",9,16,"36.00"
"NORTHEPTION","Split",2,2,22,19,"54.00",23,22,"51.00"
"Pentagon","Breeze",1,1,8,9,"47.00",16,8,"67.00"
"XERXIA Esports","Breeze",3,3,32,34,"48.00",27,35,"44.00"
"Guild Esports","Icebox",4,4,41,55,"43.00",49,49,"50.00"
"Movistar Optix","Ascent",4,4,40,42,"49.00",44,48,"48.00"
"World Game Star","Split",3,3,23,31,"43.00",36,36,"50.00"
