"Ign","Team","Assists"
"Apinya","FW Esports (ex)","34"
"RHZ","Keyd Stars (si)","34"
"AlKawai","Insomnia (ex)","33"
"JohnOlsen","FULL SENSE","33"
"Redgar","Gambit Esports (ex)","33"
"hsk","DetonatioN Gaming White","33"
"Shun","No Namers (ex)","33"
"Harry","Brimstone (si)","32"
"Torrify","FUSION (ex)","32"
"CHIMEI","Oblivion Force","32"
"ringring","CNJ Esports","32"
"nAts","Gambit Esports (ex)","31"
"Flax","Hexad (ex)","31"
"Derialy","FENNEL (ex)","31"
"Veroneze","Team Vikings (ex)","31"
"iNTRO","DAMWON Gaming (ex)","31"
"GangPin","Sengoku Gaming (ex)","31"
"k1Ng","On Sla2ers (si)","30"
"Tempz","No Namers (ex)","30"
"Moose","Shopify Rebellion","30"
"HellrangeR","Global Esports","30"
"Kaminari","Hexad (ex)","30"
"Envy","FENNEL (ex)","30"
"Teerapong","FW Esports","30"
"AztKk","FUSION (ex)","30"
"Sk9Na","Team GP (ex)","29"
"10X","Brimstone (si)","29"
"mittiii","FENNEL (ex)","29"
"ParkJJong","Team GP (ex)","29"
"pollo","Team Vikings (ex)","29"
"CyderX","BBL Esports (si)","29"
"BRNWOWZK1","INGAMING Esports (ex)","29"
"dazzLe","Shopify Rebellion","28"
"TenzouEz","DeToNator (ex)","28"
"gaabxx","Sharks Esports (ex)","28"
"Halbae","World Game Star (ex)","28"
"Killer0714","DetonatioN Gaming White","28"
"skillZ","Global Esports","28"
"EROC","EVA:e (ex)","28"
"corey","TSM (ex)","28"
"blurred","NAOS Esports","28"
"Gunny","GoNGo Prince","27"
"Danielesflo","FUSION (ex)","27"
"Eugene","DAMWON Gaming","27"
"TS","On Sla2ers (si)","27"
"mnz","IXA","27"
"micr0","South Built Esports (ex)","27"
"Wenty","GoNGo Prince (ex)","27"
"BP","Veronica7","27"
"mada","Shopify Rebellion","27"
"Nexi","Rex Regum Qeon (ex)","26"
"sheydos","Gambit Esports (ex)","26"
"Daicute","CERBERUS Esports (ex)","26"
"PADO","Veronica7 (ex)","26"
"Wenty","Tartarus (ex)","26"
"Biju","IXA (ex)","26"
"Zerost","BLUE BEES.ESP (ex)","26"
"pdr","Stars Horizon (ex)","26"
"jEEE","NAOS Esports","26"
"Blas","NAOS Esports","25"
"artzin","Stars Horizon (ex)","25"
"Skyfull","DeToNator (ex)","25"
"Bazzi","On Sla2ers (si)","25"
"TORANECO","Hexad (ex)","25"
"Majestyy","FW Esports","24"
"Jemkin","BLUE BEES.ESP (ex)","24"
"dzii","Gaimin Gladiators (ex)","24"
"rDeeW","Bonkers(OCE) (ex)","24"
"something","BLUE BEES.ESP (ex)","24"
"Smoggy","EDward Gaming","24"
"UdoTan","GoNGo Prince (ex)","24"
"Lily","EVA:e","24"
"JitboyS","FW Esports (ex)","23"
"DDcream","Pentagon","23"
"d3ffo","Gambit Esports (ex)","23"
"AcMe","Veronica7","23"
"Haodong","EDward Gaming","23"
"Anguuuuu","Storks Phalanx (ex)","23"
"coco","Oasis Gaming","23"
"EndU","Team GP","22"
"ClarK","World Game Star (ex)","22"
"M4sh","EVA:e (ex)","22"
"Foxy9","Reignite (ex)","22"
"fenNy","SunXet Club","22"
"H1BER","FNATIC (si)","22"
"K1LLERS","Fancy United Esports (ex)","22"
"Wonjina","Next eSports","21"
"Darker","FUSION","21"
"thiefy","Sengoku Gaming (ex)","21"
"Vera","No Namers (ex)","21"
"MerRy","Storks Phalanx (ex)","21"
"Haxball","VPZ","20"
"Dualing","Storks Phalanx (ex)","20"
"Anthem","SCARZ (ex)","20"
"xeta","Cloud9 (si)","20"
"nobody","EDward Gaming","20"
